Country,Region,Selected,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Afeganistão,Ásia,,1,,
Ilhas Alanda,Europa,,2,,
Albânia,Europa,,3,,
Argélia,África,,4,,
Samoa Americana,Oceânia,,5,,
Andorra,Europa,,6,,
Angola,África,,7,,
Anguila,Américas,,8,,
Antártica,Polar,,9,,
Antígua e Barbuda,Américas,,10,,
Argentina,Américas,,11,,
Armênia,Ásia,,12,,
Aruba,Américas,,13,,
Austrália,Oceânia,,14,,
Áustria,Europa,,15,,
Azerbaijão,Ásia,,16,,
Bahrein,Ásia,,17,,
Bangladesh,Ásia,,18,,
Barbados,Américas,,19,,
Bielorrússia,Europa,,20,,
Bélgica,Europa,,21,,
Belize,Américas,,22,,
Benim,África,,23,,
Bermudas,Américas,,24,,
Butão,Ásia,,25,,
Bolívia,Américas,,26,,
"Bonaire, Santo Eustáquio e Saba",Américas,,27,,
Bósnia e Herzegovina,Europa,,28,,
Botsuana,África,,29,,
Ilha Bouvet,,,30,,
Brasil,Américas,,31,,
Território Britânico do Oceano Índico,África,,32,,
Brunei,Ásia,,33,,
Bulgária,Europa,,34,,
Burquina Faso,África,,35,,
Burundi,África,,36,,
Camboja,Ásia,,37,,
Camarões,África,,38,,
Canadá,Américas,,39,,
Cabo Verde,África,,40,,
Ilhas Cayman,Américas,,41,,
República Centro-Africana,África,,42,,
Chade,África,,43,,
Chile,Américas,,44,,
China,Ásia,,45,,
Ilha Natal,Oceânia,,46,,
Ilhas Cocos (Keeling),Oceânia,,47,,
Colômbia,Américas,,48,,
Comores,África,,49,,
Congo,África,,50,,
Ilhas Cook,Oceânia,,51,,
Costa Rica,Américas,,52,,
Costa do Marfim (Costa do Marfim),África,,53,,
Croácia,Europa,,54,,
Cuba,Américas,,55,,
Curaçao,Américas,,56,,
Chipre,Europa,,57,,
República Tcheca,Europa,,58,,
República Democrática do Congo,África,,59,,
Dinamarca,Europa,,60,,
Djibuti,África,,61,,
Domínica,Américas,,62,,
República Dominicana,Américas,,63,,
Equador,Américas,,64,,
Egito,África,,65,,
El Salvador,Américas,,66,,
Guiné Equatorial,África,,67,,
Eritreia,África,,68,,
Estônia,Europa,,69,,
Essuatíni,África,,70,,
Etiópia,África,,71,,
Ilhas Malvinas,Américas,,72,,
Ilhas Faroé,Europa,,73,,
Ilhas Fiji,Oceânia,,74,,
Finlândia,Europa,,75,,
França,Europa,,76,,
Guiana Francesa,Américas,,77,,
Polinésia Francesa,Oceânia,,78,,
Territórios Franceses do Sul,África,,79,,
Gabão,África,,80,,
Gâmbia O,África,,81,,
Geórgia,Ásia,,82,,
Alemanha,Europa,,83,,
Gana,África,,84,,
Gibraltar,Europa,,85,,
Grécia,Europa,,86,,
Groenlândia,Américas,,87,,
Granada,Américas,,89,,
Guadalupe,Américas,,90,,
Guam,Oceânia,,91,,
Guatemala,Américas,,92,,
Guernsey e Alderney,Europa,,93,,
Guiné,África,,94,,
Guiné-Bissau,África,,95,,
Guiana,Américas,,96,,
Haiti,Américas,,97,,
Ilha Heard e Ilhas McDonald,,,98,,
Honduras,Américas,,100,,
R.A.E. de Hong Kong,Ásia,,101,,
Hungria,Europa,,102,,
Islândia,Europa,,103,,
Índia,Ásia,,104,,
Indonésia,Ásia,,105,,
Irã,Ásia,,106,,
Iraque,Ásia,,107,,
Irlanda,Europa,,108,,
Israel,Ásia,,109,,
Itália,Europa,,110,,
Jamaica,Américas,,111,,
Japão,Ásia,,112,,
Jersey,Europa,,113,,
Jordânia,Ásia,,114,,
Cazaquistão,Ásia,,115,,
Quênia,África,,116,,
Quiribáti,Oceânia,,117,,
Kosovo,Europa,,118,,
Kuwait,Ásia,,119,,
Quirguistão,Ásia,,120,,
Laos,Ásia,,121,,
Letônia,Europa,,122,,
Líbano,Ásia,,123,,
Lesoto,África,,124,,
Libéria,África,,125,,
Líbia,África,,126,,
Liechtenstein,Europa,,127,,
Lituânia,Europa,,128,,
Luxemburgo,Europa,,129,,
R.E. de Macau,Ásia,,130,,
Madagáscar,África,,131,,
Maláui,África,,132,,
Malásia,Ásia,,133,,
Maldivas,Ásia,,134,,
Mali,África,,135,,
Malta,Europa,,136,,
Homem (Ilha de),Europa,,137,,
Ilhas Marshall,Oceânia,,138,,
Martinica,Américas,,139,,
Mauritânia,África,,140,,
Maurício,África,,141,,
Maiote,África,,142,,
México,Américas,,143,,
Micronésia,Oceânia,,144,,
Moldávia,Europa,,145,,
Mônaco,Europa,,146,,
Mongólia,Ásia,,147,,
Montenegro,Europa,,148,,
Montserrate,Américas,,149,,
Marrocos,África,,150,,
Moçambique,África,,151,,
Mianmar,Ásia,,152,,
Namíbia,África,,153,,
Nauru,Oceânia,,154,,
Nepal,Ásia,,155,,
Holanda,Europa,,156,,
Nova Caledônia,Oceânia,,157,,
Nova Zelândia,Oceânia,,158,,
Nicarágua,Américas,,159,,
Níger,África,,160,,
Nigéria,África,,161,,
Niue,Oceânia,,162,,
Ilha Norfolk,Oceânia,,163,,
Coréia do Norte,Ásia,,164,,
Macedônia do Norte,Europa,,165,,
Ilhas Marianas do Norte,Oceânia,,166,,
Noruega,Europa,,167,,
Omã,Ásia,,168,,
Paquistão,Ásia,,169,,
Palau,Oceânia,,170,,
Território Palestino Ocupado,Ásia,,171,,
Panamá,Américas,,172,,
Papua Nova Guiné,Oceânia,,173,,
Paraguai,Américas,,174,,
Peru,Américas,,175,,
Filipinas,Ásia,,176,,
Ilha Pitcairn,Oceânia,,177,,
Polônia,Europa,,178,,
Portugal,Europa,,179,,
Porto Rico,Américas,,180,,
Catar,Ásia,,181,,
Reunião,África,,182,,
Romênia,Europa,,183,,
Rússia,Europa,,184,,
Ruanda,África,,185,,
Santa Helena,África,,186,,
São Cristóvão e Nevis,Américas,,187,,
Santa Lúcia,Américas,,188,,
São Pedro e Miquelon,Américas,,189,,
São Vicente e Granadinas,Américas,,190,,
São Bartolomeu,Américas,,191,,
Saint-Martin (parte francesa),Américas,,192,,
Samoa,Oceânia,,193,,
São Marino,Europa,,194,,
São Tomé e Príncipe,África,,195,,
Arábia Saudita,Ásia,,196,,
Senegal,África,,197,,
Sérvia,Europa,,198,,
Seicheles,África,,199,,
Serra Leoa,África,,200,,
Cingapura,Ásia,,201,,
Sint Maarten (parte holandesa),Américas,,202,,
Eslováquia,Europa,,203,,
Eslovênia,Europa,,204,,
Ilhas Salomão,Oceânia,,205,,
Somália,África,,206,,
África do Sul,África,,207,,
Geórgia do Sul,Américas,,208,,
Coréia do Sul,Ásia,,209,,
Sudão do Sul,África,,210,,
Espanha,Europa,,211,,
Sri Lanka,Ásia,,212,,
Sudão,África,,213,,
Suriname,Américas,,214,,
Ilhas Svalbard e Jan Mayen,Europa,,215,,
Suécia,Europa,,216,,
Suíça,Europa,,217,,
Síria,Ásia,,218,,
Taiwan,Ásia,,219,,
Tadjiquistão,Ásia,,220,,
Tanzânia,África,,221,,
Tailândia,Ásia,,222,,
Bahamas,Américas,,223,,
Timor-Leste,Ásia,,224,,
Ir,África,,225,,
Toquelau,Oceânia,,226,,
Tonga,Oceânia,,227,,
Trinidad e Tobago,Américas,,228,,
Tunísia,África,,229,,
Peru,Ásia,,230,,
Turcomenistão,Ásia,,231,,
Ilhas Turcas e Caicos,Américas,,232,,
Tuvalu,Oceânia,,233,,
Uganda,África,,234,,
Ucrânia,Europa,,235,,
Emirados Árabes Unidos,Ásia,,236,,
Reino Unido,Europa,,237,,
Estados Unidos,Américas,,238,,
Ilhas Menores Distantes dos Estados Unidos,Américas,,239,,
Uruguai,Américas,,240,,
Uzbequistão,Ásia,,241,,
Vanuatu,Oceânia,,242,,
