Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Aminofilina (truphilina), R03DA05   , ATC     ,,,,,,,,,,1,,
"BECLOMETASONE (QVAR, BECONASE AQ)", R03BA01   , ATC     ,,,,,,,,,,2,,
Caspofungina (Cancidas), J02AX04   , ATC     ,,,,,,,,,,3,,
Cloroquina (Aralen), P01BA01   , ATC     ,,,1.0,,,,,1.0,,4,,
"Clobetasol (Temovate, Olux, Impoyz)",D07AD01,ATC,,,,,,,,,Topical,5,,
Fluconazol (diflucan), J02AC01   , ATC     ,,,,,,,,,,6,,
"Fluticasona (flovent, flonase)", R03BA05   , ATC     ,,,,,,,,,,7,,
Faloato de Fluticasona, R03BA09, ATC     ,,,,,,,,,,8,,
"Formoterol (Foradil, Perforomista)", R03AC13, ATC     ,,,,,,,,,,9,,
Formoterol e Beclometasone (Fostair), R03AK11   , ATC     ,,,,,,,,,,10,,
Formoterol e budesonida (Symbicort), R03AK07   , ATC     ,,,,,,,,,,11,,
Brometo de glicopirrronium (Seebri), R03BB06   , ATC     ,,,,,,,,,,12,,
Hidroxicloroquina (Plaquenil), P01BA02   , ATC     ,,,,,,,,,,13,,
"Imiquimod (Aldara, Zyclara)",D06BB10  ,ATC,,,,,,,,,Topical/Locally acting,14,,
Indacaterol e brometo de glicopirrronium (Ultibro Breezhaler), R03AL04, ATC     ,,,,,,,,,,15,,
Interferon alfa, L03AB01 , ATC     ,,,1.0,,,,,1.0,,16,,
Interferon beta, L03AB02 , ATC     ,,,1.0,,,,,1.0,,17,,
Brometo de ipratrópio (atrovent), R03BB01   , ATC     ,,,,,,,,,,18,,
Ivermectina (Stromectol), P02CF01   , ATC     ,,,,,,,,,,19,,
Mafenida (sulfamylon),D06BA03,ATC,,,,,,,,,Topical,20,,
"Mometasone (Asmanex, Nasonex)", R03BA07, ATC     ,,,,,,,,,,21,,
Montelukast (Singulair), R03DC03   , ATC     ,,,,,,,,,,22,,
MuPirocina (Bactroban),D06AX09,ATC,,,,,,,,,Topical/Locally acting,23,,
"Nistatina (Bio-Estatina, Nyamyc)",A02AA01,ATC,,,,,,,,,Locally acting,24,,
"Podofillotoxina (Podofilox, Condylox)",D06BB04 ,ATC,,,,,,,,,Topical,25,,
Primaquina, P01BA03   , ATC     ,,,,,,,,,,26,,
"Salbutamol (Ventolin, Proventil)", R03AC02   , ATC     ,,,,,,,,,,27,,
Salmeterol (Serevent), R03AC12   , ATC     ,1.0,,,,,,,,,28,,
"Salmeterol e fluticasona (Advair, Seretide)", R03AK06   , ATC     ,,,,,,,,,,29,,
"Enxofre, precipitado em petrolato",D10AB02,ATC,,,,,,,,,Topical,30,,
"Teofilina (Theo-24, Elixophyllin)", R03DA04   , ATC     ,,,,,,,,,,31,,
Brometo de tiotropium (Spiriva), R03BB04   , ATC     ,,,,,,,,,,32,,
Ácido tricloroacético,78151001,SNOMED,,,,,,,,,Topical,33,,
Vilanterol e Faloato de Fluticasona (Breo Ellipta), R03AK10   , ATC     ,,,,,,,,,,34,,
Vilanterol e umclidinium brometo (Anoro Ellipta),R03AL03, ATC     ,1.0,,,,,,,,,35,,
