Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Dor abdominal,R10.9,ICD10,21522001,SNOMED,,,,1,,
Perda de peso anormal,R63.4,ICD10,267024001,SNOMED,,,,2,,
Alopecia (perda de cabelo não escarling),L65.9,ICD10,56317004,SNOMED,,,,3,,
Consciência / confusão alterada (desorientação),R41.0,ICD10,62476001 |Disorientated (finding)|,SNOMED,,,,4,,
Anorexia,R63.0,ICD10,79890006,SNOMED,,,,5,,
Apnéia,R06.81,ICD10,1023001,SNOMED,,,,6,,
Ascites,R18.8,ICD10,389026000,SNOMED,,,,7,,
Sangramento (hemorragia),R58,ICD10,131148009,SNOMED,,,,8,,
Contusões (ecchimase espontânea),R23.3,ICD10,308492005,SNOMED,,,,9,,
Não consigo sentir um lado do corpo ou rosto (Hemiplegia),I69.959,ICD10,20022000,SNOMED,,,,10,,
Não é possível mover ou controlar completamente o movimento (síndrome paralítica),G83.9,ICD10,44695005,SNOMED,,,,11,,
Arritmia cardíaca,I49.9,ICD10,698247007,SNOMED,,,,12,,
Alterações na menstruação (menstruação irregular),N92.6,ICD10,80182007,SNOMED,,,,13,,
Mudanças na textura da pele,R23.4,ICD10,274672009,SNOMED,,,,14,,
Dor no peito,R07.9,ICD10,29857009,SNOMED,,,,15,,
Dor no peito na respiração,R07.1,ICD10,274664007,SNOMED,,,1.0,16,,
Calafrios (sem febre),R68.83,ICD10,43724002,SNOMED,,,,17,,
Comprometimento cognitivo (deficiências intelectuais não especificadas),F79,ICD10,386806002,SNOMED,,,,18,,
Conjuntivite,H10.9,ICD10,9826008,SNOMED,,,,19,,
Constipação,K59.0,ICD10,14760008,SNOMED,,,,20,,
Convulsões,R56.9,ICD10,91175000,SNOMED,,,,21,,
Tosse,R05,ICD10,49727002,SNOMED,,,1.0,22,,
Diarréia,R19.7,ICD10,267060006,SNOMED,,,,23,,
Dificuldade em comer ou beber (disfagia),R13.10,ICD10,40739000,SNOMED,,,,24,,
Dificuldade em caminhar,R26.2,ICD10,719232003,SNOMED,,,,25,,
Distúrbios do nariz e seios nasais,J34,ICD10,89488007,SNOMED,,,,26,,
Perturbação na atenção (estado mental alterado),R41.82,ICD10,419284004,SNOMED,,,,27,,
Tontura/cabeça de luz (tontura e vertigem),R42,ICD10,271789005,SNOMED,,,,28,,
Pele seca (xerose cutis),L85.3,ICD10,52475004,SNOMED,,,,29,,
Dor na orelha (Otalgia),H92.0,ICD10,301354004,SNOMED,,,,30,,
Disfunção erétil,N52.9,ICD10,860914002,SNOMED,,,,31,,
Desmaios / apagões (síncope e colapso),R55,ICD10,309585006,SNOMED,,,,32,,
Incontinência fecal,R15,ICD10,72042002,SNOMED,,,,33,,
Dificuldade de alimentação,R63.3,ICD10,78164000,SNOMED,,,,34,,
Febre,R50.9,ICD10,386661006,SNOMED,1.0,1.0,1.0,35,,
Sangramento gastrointestinal (hemorragia gastrointestinal),K92.2,ICD10,74474003,SNOMED,,,,36,,
Dor de cabeça,R51,ICD10,25064002,SNOMED,,,,37,,
Hepatomegalia,R16.0,ICD10,80515008,SNOMED,,,,38,,
Aumento da sede (polidipsia),R63.1,ICD10,249477003,SNOMED,,,,39,,
Maior micção (poliúria),R35.8,ICD10,28442001,SNOMED,,,,40,,
Irritabilidade,R45.4,ICD10,55929007,SNOMED,,,,41,,
Olho coceira,H57.8,ICD10,74776002,SNOMED,,,,42,,
Icterícia,R17,ICD10,18165001,SNOMED,,,,43,,
Dor articular (Artralgia),M25.5,ICD10,57676002,SNOMED,,,,44,,
Ceratite,H16.9,ICD10,5888003,SNOMED,,,,45,,
Fraqueza / paralisia dos membros (Monoplegia),G83.3,ICD10,713514005,SNOMED,,,,46,,
Edema localizado,R60.0,ICD10,274724004,SNOMED,,,,47,,
Perda de apetite (anorexia),R63.0,ICD10,79890006,SNOMED,,,,48,,
Perda de cheiro (Anosmia),R43.0,ICD10,44169009,SNOMED,,,,49,,
Perda de paladar (Parageusia),R43.2,ICD10,271801002,SNOMED,,,,50,,
Linfadenite,I88,ICD10,19471005,SNOMED,,,,51,,
Mal -estar e fadiga,R53,ICD10,271795006,SNOMED,,,,52,,
Úlceras na boca (aftais orais recorrentes),K12.0,ICD10,26284000,SNOMED,,,,53,,
Lesão da mucosa,,,427752005,SNOMED,1.0,1.0,,54,,
Dores musculares (mialgia),M79.1,ICD10,68962001,SNOMED,,,,55,,
Fraqueza muscular,M62.81,ICD10,26544005,SNOMED,,,,56,,
Congestão nasal,R09.81,ICD10,68235000,SNOMED,,,1.0,57,,
Náusea ou vômito,R11,ICD10,16932000,SNOMED,,,,58,,
Dor durante a micção (disúria),R30.0,ICD10,49650001,SNOMED,,,,59,,
Palidez,R23.1,ICD10,398979000,SNOMED,,,,60,,
Palpitações,R00.2,ICD10,80313002,SNOMED,,,,61,,
Parestesia da pele,R20.2,ICD10,91019004,SNOMED,,,,62,,
Problemas engolindo ou mastigar (disfagia),R13.10,ICD10,40739000,SNOMED,,,,63,,
Prurido,L29,ICD10,418363000,SNOMED,,,,64,,
Batimento/pulso rápido do coração (taquicardia),R00.0,ICD10,3424008,SNOMED,,,,65,,
Erupções cutâneas ou lesões de pele,R21,ICD10,271807003,SNOMED,,,,66,,
Retenção de urina,R33.9,ICD10,267064002,SNOMED,,,,67,,
Falta de ar (dispnéia),R06.0,ICD10,267036007,SNOMED,,,1.0,68,,
Lesão da pele,,,,SNOMED,1.0,,,69,,
Erupção cutânea,R21,ICD10,271807003,SNOMED,,1.0,,70,,
Transtorno do sono,F51.9,ICD10,39898005,SNOMED,,,,71,,
Espirrando,R06.7,ICD10,162367006,SNOMED,,,1.0,72,,
Dor de garganta (dor na garganta),R07.0,ICD10,267102003,SNOMED,,,1.0,73,,
Distúrbios da fala,R47.9,ICD10,29164008,SNOMED,,,,74,,
Hematomas espontâneos (ecchimases espontâneas),R23.3,ICD10,161887000,SNOMED,,,,75,,
Sweating (hiperidrose),R61,ICD10,312230002,SNOMED,,,,76,,
Linfonodos inchados (linfonodos ampliados),R59.9,ICD10,30746006,SNOMED,,,,77,,
Zumbido,H93.1,ICD10,60862001,SNOMED,,,,78,,
Tremor,R25.1,ICD10,26079004,SNOMED,,,,79,,
Incontinência urinária,R32,ICD10,165232002,SNOMED,,,,80,,
Distúrbios visuais,H53,ICD10,63102001,SNOMED,,,,81,,
Chiando,R06.2,ICD10,56018004,SNOMED,,,1.0,82,,
