Disease,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Adénovirus,,,,,1,,,,1,,,1,,
Infection du virus des Andes (hantavirus),,,,,,,1,,,359761005,SNOMED,2,,
Fièvre hémorragique argentine (virus Junin),,,,,,,1,,,58868000,SNOMED,3,,
Aviaire grippe A H7N9 / H5N1 / H5N8 / H7N7,,,,,1,,,,,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,4,,
Infection bactérienne,1,1,1,1,1,1,1,1,1,87628006,SNOMED,5,,
Fièvre hémorragique bolivienne (virus Machupo),,,,,,,1,,,67247008,SNOMED,6,,
Covid-19 (SARS-COV-2),,1,,,1,,,,1,840539006,SNOMED,7,,
Poulet (varicelle),,,,1,,,,1,,58750007,SNOMED,8,,
Fièvre hémorragique du Congo de Crimée (CCHF),,,,,,,1,,,43489008,SNOMED,9,,
Dengue,,,1,,,,1,,,38362002,SNOMED,10,,
Maladie du virus Ebola (EVD),,,,,,,1,,,37109004,SNOMED,11,,
Entérovirus,,,,,,,,,,53648006,SNOMED,12,,
Exposition à l'agent CBRN,,,,,,,,,,,,13,,
Exposition à l'énergie nocive,,,,,,,,,,,,14,,
HSV,,,,,,,,,,88594005,SNOMED,15,,
"Hépatite (général, non spécifié)",,,1,,,,,,,40468003,SNOMED,16,,
Infection par le virus de l'herpès simplex (HSV),,,,1,,,,1,,88594005,SNOMED,17,,
Infection par le virus de l'immunodéficience humaine (infection à VIH),,,,1,,,,1,,86406008,SNOMED,18,,
Grippe A H1N1,,,,,,,,,1,442352004,SNOMED,19,,
Grippe A H5N1,,,,,,,,,1,772827006,SNOMED,20,,
Grippe un H5N8,,,,,,,,,1,708527000,SNOMED,21,,
Grippe un H7N7,,,,,,,,,1,715346008,SNOMED,22,,
Grippe un H7N9,,,,,,,,,1,609444009,SNOMED,23,,
Virus de la grippe,,,,,,,,,1,407479009,SNOMED,24,,
Virus de la grippe B,,,,,,,,,1,407480007,SNOMED,25,,
Virus de la grippe,,,,,,,,,1,725894000,SNOMED,26,,
Je,,,,,,,,,,52947006,SNOMED,27,,
Fièvre lassa,,,,,,,1,,,19065005,SNOMED,28,,
Maladie du virus de Lujo,,,,,,,1,,,721784007,SNOMED,29,,
Maladie du virus de Marburg (MVD),,,,,,,1,,,77503002,SNOMED,30,,
Rougeole,,,,,,,,,,14189004,SNOMED,31,,
Syndrome respiratoire du Moyen-Orient (MERS),,,,,,,,,,6.51E+11,SNOMED,32,,
Mpox,1,,,1,,,,1,,359814004,SNOMED,33,,
Nipah,,,,,,,,,,406597005,SNOMED,34,,
Oropouche,,,,,,1,,,,72880002,SNOMED,35,,
Plague pneumonique (Yersinia pestis),,,,,,,,,,38976008,SNOMED,36,,
Infection du virus syncytial respiratoire (RSV),,,,,,,,,1,55256001,SNOMED,37,,
Hépatite pédiatrique aiguë sévère,,,,,,,,,,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,38,,
Syndrome respiratoire aigu sévère (SARS-Not Covid-19),,,,,,,,,1,398447004,SNOMED,39,,
Fièvre sévère avec syndrome de thrombocytopaenia (SFTS),,,,,,,,,,722401001,SNOMED,40,,
Grippe non définie,,,,,,,,,1,155559006,SNOMED,41,,
,,,,,,,,,,,,42,,
