Paper-like section,Text,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Title,CRF de base ISARIC,,
DESIGN OF THIS CASE REPORT FORM (CRF),Ce CRF est configuré en modules pour être utilisé pour enregistrer des données sur [PROJECT_NAME]. Vous trouverez ci-dessous un modèle d'instructions de remplissage. Il doit être adapté aux objectifs de votre collecte de données.,,
PRESENTATION FORM,TOUJOURS compléter le premier jour de présentation/admission/évaluation.,,
PRESENTATION FORM,Moment/Événements : Admission à l'hôpital / évaluation initiale,,
DAILY FORM,TOUJOURS compléter le premier jour de présentation/admission/évaluation,,
DAILY FORM,"LE CAS ÉCHÉANT, remplir le jour de l'admission en USI/unité de soins intensifs/soins intensifs (si la date est différente de la date de la première présentation/admission)",,
DAILY FORM,OPTION à compléter les jours où des échantillons spécifiques à la recherche sont prélevés,,
DAILY FORM,OPTION à compléter quotidiennement si cela présente un intérêt pour une analyse spécifique.,,
DAILY FORM,Moment/Événements : Admission à l'hôpital/évaluation initiale | Admission en unité de soins intensifs (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Conformément au protocole du site (facultatif),,
OUTCOME FORM,TOUJOURS compléter à la sortie ou au décès ou à la fin de la période d'étude,,
OUTCOME FORM,Moment/Événements : Sortie/Décès/Fin d'étude,,
FOLLOW-UP FORM,Horaire/Événements : Selon le protocole du site (facultatif),,
WITHDRAWAL FORM,Horaire/Événements : Selon le protocole du site (facultatif),,
Follow-up details,Continuer à suivre les patients qui sont transférés d’un service à l’autre.,,
Timing /Events,Admission à l'hôpital / évaluation initiale | Admission aux soins intensifs (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole du site (facultatif) | Sortie / décès / fin de l'étude,,
GENERAL GUIDANCE,Contactez le centre d'assistance mondial ISARIC à l'adresse data@isaric.org,,
GENERAL GUIDANCE,"Le CRF est conçu pour recueillir des données obtenues par examen, entretien, examen des notes d'hôpital ou extraction de dossiers médicaux électroniques. Les données peuvent être collectées de manière prospective ou rétrospective si le patient est inscrit après la date de présentation dans un établissement de santé.",,
GENERAL GUIDANCE,Veuillez vous référer au Guide de remplissage du CRF pour obtenir des conseils détaillés sur la façon de remplir ces formulaires.,,
GENERAL GUIDANCE,"Votre établissement peut capturer des données : <br/>(a) dans la base de données REDCap hébergée par ISARIC - contactez ISARIC pour y accéder, <br/>(b) dans une base de données REDCap hébergée dans votre établissement - contactez ISARIC si vous souhaitez une assistance pour la configuration, ou<br/>(c) dans une base de données ou un système de dossiers médicaux électroniques dans votre établissement - contactez ISARIC pour prendre en charge le mappage des données.",,
GENERAL GUIDANCE,"Les numéros d'identification des participants se composent d'un code de site à 5 chiffres et d'un numéro de participant à 4 chiffres. Veuillez obtenir un code de site et vous inscrire sur le système de gestion des données en contactant l'ISARIC. Les numéros de participants doivent être attribués séquentiellement pour chaque site en commençant par 0001 ou par blocs, éventuellement en incluant des caractères alphabétiques, si nécessaire. Par exemple, le service X attribuera des numéros à partir de 0001 ou A001 et le service Y attribuera des numéros à partir de 5001 ou B001.",,
GENERAL GUIDANCE,"Pour les participants qui reviennent pour être réadmis dans le même établissement, commencez un nouveau formulaire avec un numéro d'identification de participant différent. Veuillez cocher « OUI - admis précédemment dans cet établissement » dans la section RÉADMISSION. Saisissez 2 enregistrements distincts si vous utilisez une base de données REDCap (ou similaire).",,
GENERAL GUIDANCE,"Pour les participants qui sont transférés entre deux sites qui collectent tous deux des données sur ce formulaire, il est préférable que les données soient saisies par un seul site dans le cadre d'une admission unique, sous le même numéro d'identification du participant. Lorsque cela n'est pas possible, le premier site doit enregistrer « Transfert vers un autre établissement » comme RÉSULTAT, et le deuxième site doit commencer un nouveau formulaire avec un nouveau numéro de patient et indiquer « OUI-… puis transféré dans cet établissement » dans la section RÉADMISSION ET CODE PIN PRÉCÉDENT.",,
GENERAL GUIDANCE,Les sélections avec des cercles () sont des sélections uniques (choisissez une seule réponse). Les sélections avec des cases carrées () sont des sélections multiples (choisissez autant de réponses que nécessaire). Unk = Inconnu,,
