Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Aminophylline (truphylline), R03DA05   , ATC     ,,,,,,,,,,1,,
"Beclometasone (Qvar, Beconase aq)", R03BA01   , ATC     ,,,,,,,,,,2,,
Caspofungin (cancys), J02AX04   , ATC     ,,,,,,,,,,3,,
Chloroquine (aralen), P01BA01   , ATC     ,,,1.0,,,,,1.0,,4,,
"Clobetasol (Temovate, Olux, Impoyz)",D07AD01,ATC,,,,,,,,,Topical,5,,
Fluconazole (diflucan), J02AC01   , ATC     ,,,,,,,,,,6,,
"Fluticasone (Flovent, Flonase)", R03BA05   , ATC     ,,,,,,,,,,7,,
Fluticasone Furoate, R03BA09, ATC     ,,,,,,,,,,8,,
"Formooterol (Foradil, perforomiste)", R03AC13, ATC     ,,,,,,,,,,9,,
Formoterol et Beclometasone (Fostair), R03AK11   , ATC     ,,,,,,,,,,10,,
Formooterol et Budesonide (Symbicort), R03AK07   , ATC     ,,,,,,,,,,11,,
Bromure de glycopyrronium (Seebri), R03BB06   , ATC     ,,,,,,,,,,12,,
Hydroxychloroquine (plaquenil), P01BA02   , ATC     ,,,,,,,,,,13,,
"Imiquimod (Aldara, Zyclara)",D06BB10  ,ATC,,,,,,,,,Topical/Locally acting,14,,
Indacaterol et bromure de glycopyrronium (Ultibro Breezhaler), R03AL04, ATC     ,,,,,,,,,,15,,
Interféron alpha, L03AB01 , ATC     ,,,1.0,,,,,1.0,,16,,
Interféron bêta, L03AB02 , ATC     ,,,1.0,,,,,1.0,,17,,
Bromure d'ipratropium (atrovent), R03BB01   , ATC     ,,,,,,,,,,18,,
Ivermectine (stramectol), P02CF01   , ATC     ,,,,,,,,,,19,,
Mafénide (sulfamylon),D06BA03,ATC,,,,,,,,,Topical,20,,
"Mométasone (Asmanex, Nasonex)", R03BA07, ATC     ,,,,,,,,,,21,,
Montelukast (Singulair), R03DC03   , ATC     ,,,,,,,,,,22,,
Mupirocine (bactroban),D06AX09,ATC,,,,,,,,,Topical/Locally acting,23,,
"Nystatine (bio-statin, nyamyc)",A02AA01,ATC,,,,,,,,,Locally acting,24,,
"Podophyllotoxine (podofilox, condylox)",D06BB04 ,ATC,,,,,,,,,Topical,25,,
Primaquine, P01BA03   , ATC     ,,,,,,,,,,26,,
"Salbutamol (Ventolin, Proventil)", R03AC02   , ATC     ,,,,,,,,,,27,,
Salméterol (serevent), R03AC12   , ATC     ,1.0,,,,,,,,,28,,
"Salméterol et fluticasone (Advair, Seretide)", R03AK06   , ATC     ,,,,,,,,,,29,,
"Soufre, précipité en pétrolatum",D10AB02,ATC,,,,,,,,,Topical,30,,
"Théophylline (Theo-24, Elixophylline)", R03DA04   , ATC     ,,,,,,,,,,31,,
Bromure de tiotropium (spiriva), R03BB04   , ATC     ,,,,,,,,,,32,,
Acide trichloroacétique,78151001,SNOMED,,,,,,,,,Topical,33,,
Vilanterol et furoate de fluticasone (Breo Ellipta), R03AK10   , ATC     ,,,,,,,,,,34,,
Vilanterol et bromure d'Umeclidinium (Anoro Ellipta),R03AL03, ATC     ,1.0,,,,,,,,,35,,
