Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Aciclovir (acyclovir, zovirax)",J05AB01  ,ATC     ,,,,,,,,,,,1,,
"Amantadine (gocovri, osmolex er, symétrel)",N04BB01,ATC,,,,,,,1.0,,,,2,,
Atazanavir (reyataz),J05AE08,ATC     ,,,,,,,,,,,3,,
Baloxavir marboxil (xofluza),782500006,SNOMED,,,,,,1.0,1.0,,,,4,,
Brincidofovir,J05AB17,ATC     ,1.0,,,,1.0,,,,1.0,,5,,
Burevirtide (HepcludEx),J05AX28,ATC     ,,,,,,,,,,,6,,
Cidofovir (vistide),J05AB12,ATC     ,1.0,,,,1.0,,,,1.0,,7,,
Darunavir (prezista),J05AE10,ATC     ,,,,,,,,,,,8,,
Dolutegravir (Tivicay),J05AJ03,ATC     ,,,,,,,,,,,9,,
Efavirenz (SUTIVA),J05AG03,ATC     ,,,,,,,,,,,10,,
Emtricitabine (Emtriva),J05AF09,ATC     ,,,,,,,,,,,11,,
Famciclovir (famvir),J05AB09,ATC     ,,,,,,,,,,,12,,
Faviperavir (Avigan),J05AX27,ATC     ,,,1.0,,,1.0,1.0,1.0,,,13,,
Fluoxétine,N06AB03,ATC     ,,,,,,,,,,,14,,
Ganciclovir (cytovène),J05AB06,ATC     ,,,,,,,,,,,15,,
"Lamivudine (Epivir, 3tc)",J05AF05,ATC     ,,,,,,,,,,,16,,
Laninamivir,OMOP5173449,RxNorm Extension,,,,,,1.0,,,,,17,,
Lopinavir / ritonavir (kaletra),J05AR10  ,ATC     ,,,1.0,,,,,,,,18,,
Molnupiravir (lagevrio),J05AB18 ,ATC     ,,,,,,,,,,,19,,
Nirmatrelvir / Retonavir (Paxlovid),J05AE30,ATC     ,,,,,,,,,,,20,,
Oseltamivir (Tamiflu),J05AH02  ,ATC     ,,,1.0,,,1.0,1.0,,,,21,,
Penciclovir (Denavir),J05AB13  ,ATC     ,,,,,,,,,,,22,,
Peramivir,619693,RxNorm,,,,,,1.0,,,,,23,,
Pléconarille,J05AX06,ATC     ,,,,,,,,,,,24,,
Pocapavir,,,,,,,,,,,,,25,,
Raltegravir (iSendress),J05AJ01,ATC     ,,,,,,,,,,,26,,
Remdesivir (Veklury),J05AB16,ATC     ,,,1.0,,,,,1.0,,,27,,
"Ribavirine (Rebetol, Copegus)",J05AP01,ATC     ,,,,,,,,1.0,,,28,,
Rimantadine (flumadine),J05AC02,ATC     ,,,,,,,1.0,,,,29,,
Técovirimat,J05AX24,ATC     ,1.0,,,,1.0,,,,1.0,,30,,
Tenofovir Disoproxil (viread),J05AF07,ATC     ,,,,,,,,,,,31,,
Ténofovir alarénamide,J05AF13,ATC     ,,,,,,,,,,,32,,
UMIFENOVIR (Arbidol),J05AX13,ATC     ,,,,,,1.0,1.0,,,,33,,
Valaciclovir (Valtrex),J05AB11,ATC     ,,,,,,,,,,,34,,
Valganciclovir (Valcyte),J05AB14,ATC     ,,,,,,,,,,,35,,
Zalcitabine,J05AF03,ATC     ,,,,,,,,,,,36,,
Zanamivir (relenza),J05AH01,ATC     ,,,1.0,,,1.0,1.0,,,,37,,
"Zidovudine (rétrovir, AZT)",J05AF01,ATC     ,,,,,,,,,,,38,,
