Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,needs_manual
adsign_sys,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Signos sistémicos/generales,,Se refiere a signos y síntomas sistémicos/generales/inespecíficos.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta su presentación. ,
adsign_hypotherm,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Hipotermia,"1, Sí | 0, No | 99, Desconocido",Se refiere a una reducción anómala de la temperatura corporal debido a un fallo en la termorregulación.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta su presentación. ,
adsign_coldperiph,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Extremidades frías/húmedas,"1, Sí | 0, No | 99, Desconocido","Se refiere a una piel fría y húmeda al tacto, a menudo asociada con insuficiencia circulatoria y síntomas como inquietud e hipotensión.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta su presentación. ,
adsign_dehyrdation,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Deshidratación,"1, Sí | 0, No | 99, Desconocido",Se refiere a una pérdida excesiva de agua del cuerpo.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta su presentación. ,
adsign_oedema,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Edema,"1, Sí | 0, No | 99, Desconocido",Se refiere a la acumulación de una cantidad excesiva de líquido en las células o los tejidos intercelulares.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_oedema_site,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Localización del edema,"1, Pies | 2, Tobillos | 3, Piernas (por debajo de la rodilla) | 4, Piernas (por encima de la rodilla)  | 5, Escroto/Labios vaginales | 6, Sacro | 7, Abdomen | 8, Cuello | 9, Cara | 99, Desconocido | 88, Otros",Se refiere a la ubicación del edema.,"Si la respuesta es «Sí», especifique la ubicación del edema. Seleccione todas las opciones que correspondan.",
adsign_oedema_site_oth,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Especificar otras localizaciones del edema,,Se refiere a la ubicación del edema.,"Si la respuesta es «Otro», especifique la ubicación del edema.",
adsign_lymph,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Linfadenopatía,"1, Sí, doloroso | 2, Sí, no doloroso | 0, No | 99, Desconocido",Se define como un hallazgo clínico de agrandamiento anormal de los ganglios linfáticos. ,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_lymph_site,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Especificar localización de la linfadenopatía,"1, Axilar (axilas) | 2, Cervical (cuello) | 3, Inguinal (ingle) | 99, Desconocido | 88, Otro",Se refiere a la ubicación en la que se identificó la linfadenopatía.,Seleccione la opción o opciones más adecuadas que correspondan a la ubicación de la linfadenopatía. ,
adsign_lymph_site_oth,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Especificar otras localizaciones de la linfadenopatía,,Se refiere a la ubicación en la que se identificó la linfadenopatía.,"Si es «Otro», escriba la ubicación en la que se identificó la linfadenopatía.",
