Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,apresentação,,Número de identificação do participante (PIN),,O número de identificação do participante ou o PIN é um número exclusivo usado para identificar os dados do paciente (participante).,Escreva o número de identificação do participante (PIN).,,
inclu_disease,apresentação,Critérios de inclusão,Infecção suspeita ou confirmada,,Isso se refere a qualquer infecção suspeita ou confirmada.,"Se houver suspeita de mais de uma infecção, selecione a mais provável e complete a seção de teste de patógenos com confirmação de laboratório.",,
inclu_reason,apresentação,Critérios de inclusão,A infecção suspeita ou confirmada é o motivo da entrada hospitalar?,"1, sim | 0, não | 99, desconhecido",Isso refere -se a se a infecção suspeita ou confirmada com o patógeno de interesse se o motivo (indicação) para a admissão hospitalar.,"Indique 'sim' se suspeita ou confirmada infecção com o patógeno de interesse, se o motivo (indicação) para a admissão hospitalar. Indique 'não' se a infecção suspeita ou confirmada com o patógeno de interesse não for o motivo (indicação) para a admissão hospitalar.",,
inclu_case,apresentação,Critérios de inclusão,Status do caso,"1, confirmado | 2, provável | 3, suspeito | 4, descartado | 5, erro","Confirmado refere -se a um caso que é confirmado em laboratório e pode atender aos critérios clínicos, conforme descrito na definição do caso. Provável refere -se a uma doença clinicamente compatível que está epidemiologicamente ligada a um caso confirmado sem confirmação laboratorial da infecção pelo patógeno de interesse. Suspeito refere -se a uma doença clinicamente compatível sem ligação epidemiológica ou confirmação de laboratório. Descartado refere -se a um paciente com um teste de laboratório negativo e não conseguiu cumprir os critérios para um caso suspeito, provável ou confirmado.",Selecione a opção mais apropriada que representa o status do caso.,,
inclu_testreason,apresentação,Critérios de inclusão,Razão pela qual o paciente foi testado,"1, sintomático | 2, assintomático, traçado em contato | 3, campanha assintomática de testes em massa | 4, não testado",Isso se refere à razão pela qual o paciente foi testado para o patógeno de interesse.,Selecione a opção mais apropriada que corresponde ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,,
inclu_consentdes,apresentação,Critérios de inclusão,Consentimento:,,,,,
inclu_consent,apresentação,Critérios de inclusão,O participante (ou seu representante) forneceu consentimento para participar deste estudo.,"1, sim | 0, não, o participante não concordou em participar do estudo | 2, não, o Comitê de Ética aprovou uma renúncia ao consentimento | 99, desconhecido",Isso se refere ao fornecimento de consentimento informado pelo paciente ou seu representante para participação neste estudo.,Indique 'sim' se o paciente ou seu representante tiver fornecido seu consentimento informado para a participação neste estudo.,,
inclu_consent_date,apresentação,Critérios de inclusão,Data de consentimento,,Isso se refere até o momento em que o consentimento informado foi dado para a inclusão dos participantes neste estudo.,Escreva a data em que o consentimento informado foi dado para a inclusão dos participantes neste estudo. Use formato dd/mm/yyyy.,,
inclu_consent_who,apresentação,Critérios de inclusão,Consentimento fornecido por,"1, participante | 2, pai/responsável | 3, consultado | 4, clínico independente",Isso se refere a quem forneceu o consentimento para a participação neste estudo.,Selecione a opção mais apropriada que representa quem forneceu o consentimento para a participação neste estudo.,,
inclu_consent_whopg,apresentação,Critérios de inclusão,A criança ou jovem dá seu consentimento?,"1, sim | 0, não | 2, não competente","Isso se refere ao consentimento dado por um menor ou adulto que não consegue consentir em seu próprio nome, para participar de um estudo. O consentimento deve ser acompanhado pelo consentimento de um pai ou responsável legal para a participação total no estudo.",Selecione a opção mais apropriada que representa se foi concedido consentimento para a participação neste estudo.,,
