Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Ácido acetilsalicílico (aspirina, ascriptina, ecotrina)",N02BA01, ATC     ,1,1,1,1,,
Celecoxib (Celebrex), M01AH01 , ATC     ,1,1,1,2,,
"Diclofenaco (Voltaren, Cataflam)", M01AB05 , ATC     ,1,1,1,3,,
Etoricoxib (Arcoxia), M01AH05 , ATC     , , , ,4,,
"Flurbiprofeno (Ansaid, Ocufen)", M01AE09 , ATC     , , , ,5,,
"Ibuprofeno (Advil, Motrin)", M01AE01 , ATC     ,1,1,1,6,,
Indometacina (Indocina), M01AB01 , ATC     ,1,1,1,7,,
"Ketoprofeno (Orudis, Oruvail)", M01AE03 , ATC     , , , ,8,,
Ketorolaco (Toradol), M01AB15 , ATC     , , , ,9,,
Ácido mefenámico (Ponstel), M01AG01 , ATC     , , , ,10,,
Meloxicam (Mobic), M01AC06 , ATC     , , , ,11,,
Nabumetona (Relafen), M01AX01 , ATC     , , , ,12,,
"Naproxeno (Aleve, Naprosyn)", M01AE02 , ATC     ,1,1,1,13,,
Piroxicam (Feldene), M01AC01 , ATC     , , , ,14,,
Sulindac (Clinoril), M01AB02 , ATC     , , , ,15,,
