Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline
subjid,presentación,,Número de identificación del participante (PIN),,El número de identificación del participante o PIN es un número único que se utiliza para identificar los datos del paciente (participante).,Escriba el número de identificación del participante (PIN).
inclu_disease,presentación,CRITERIOS DE INCLUSIÓN,Infección sospechada o confirmada,,Se refiere a cualquier infección sospechosa o confirmada.,"Si se sospecha más de una infección, seleccione la más probable y complete la sección PRUEBAS DE PATÓGENOS con la confirmación del laboratorio."
inclu_reason,presentación,CRITERIOS DE INCLUSIÓN,¿Es la infección sospechada o confirmada el motivo del ingreso hospitalario?,"1, Sí | 0, No | 99, Desconocido",Se refiere a si la infección sospechosa o confirmada por el patógeno de interés es el motivo (indicación) del ingreso hospitalario.,Indique «Sí» si se sospecha o se confirma la infección por el patógeno de interés si es el motivo (indicación) del ingreso hospitalario. Indique «No» si la infección sospechada o confirmada por el patógeno de interés no es el motivo (indicación) del ingreso hospitalario.
inclu_case,presentación,CRITERIOS DE INCLUSIÓN,Estado del caso,"1, Confirmado | 2, Probable | 3, Sospechoso | 4, Descartado | 5, Error","Confirmado se refiere a un caso confirmado por laboratorio y que puede cumplir los criterios clínicos descritos en la definición del caso. Probable se refiere a una enfermedad clínicamente compatible que está relacionada epidemiológicamente con un caso confirmado sin confirmación de laboratorio de la infección por el patógeno de interés. Sospechoso se refiere a una enfermedad clínicamente compatible sin relación epidemiológica ni confirmación de laboratorio. Descartado se refiere a un paciente con una prueba de laboratorio negativa y que no cumple los criterios para ser considerado un caso sospechoso, probable o confirmado. ",Seleccione la opción más adecuada que represente el estado del caso. 
inclu_testreason,presentación,CRITERIOS DE INCLUSIÓN,Motivo por el que se realizó la prueba al paciente,"1, Sintomático | 2, Asintomático, rastreado | 3, Asintomático, campaña de pruebas masivas | 4, No se ha realizado la prueba",Se refiere al motivo por el que se realizó la prueba del patógeno de interés al paciente.,Seleccione la opción más adecuada que corresponda al motivo por el que se realizó la prueba del patógeno de interés al paciente.
inclu_testreason_otth,presentación,CRITERIOS DE INCLUSIÓN,Especifique otro motivo.,,Se refiere al motivo por el que se realizó la prueba al paciente para detectar el patógeno en cuestión.,Seleccione la opción más adecuada que corresponda al motivo por el que se realizó la prueba al paciente para detectar el patógeno en cuestión.
inclu_consentdes,presentación,CRITERIOS DE INCLUSIÓN,Consentimiento:,,,
inclu_consent,presentación,CRITERIOS DE INCLUSIÓN,El participante (o su representante) ha dado su consentimiento para participar en este estudio.,"1, Sí | 0, No, el participante no aceptó participar en el estudio | 2, No, el comité de ética aprobó una exención del consentimiento | 99, Desconocido",Se refiere al consentimiento informado del paciente o su representante para participar en este estudio.,Indique «Sí» si el paciente o su representante han dado su consentimiento informado para participar en este estudio.
inclu_consent_date,presentación,CRITERIOS DE INCLUSIÓN,Fecha del consentimiento,,Se refiere a la fecha en la que se obtuvo el consentimiento informado para la inclusión de los participantes en este estudio.,Escriba la fecha en la que se dio el consentimiento informado para la inclusión de los participantes en este estudio. Utilice el formato DD/MM/AAAA.
inclu_consent_who,presentación,CRITERIOS DE INCLUSIÓN,Consentimiento otorgado por,"1, Participante | 2, Padre/madre/tutor | 3, Persona consultada | 4, Médico independiente",Se refiere a quién dio el consentimiento para participar en este estudio.,Seleccione la opción más adecuada que represente quién dio el consentimiento para participar en este estudio.
inclu_consent_whopg,presentación,CRITERIOS DE INCLUSIÓN,¿El niño o joven da su asentimiento?,"1, Sí | 0, No | 2, No competente",Se refiere al consentimiento dado por un menor o un adulto que no puede dar su consentimiento por sí mismo para participar en un estudio. El consentimiento debe ir acompañado del consentimiento de un padre o tutor legal para la participación plena en el estudio.,Seleccione la opción más adecuada que represente si se dio el consentimiento para participar en este estudio.
inclu_consent2des,presentación,CRITERIOS DE INCLUSIÓN,"Uso secundario de los datos recopilados, el participante está de acuerdo con las siguientes declaraciones:",,,
inclu_consent_secrsch,presentación,CRITERIOS DE INCLUSIÓN,"Uso futuro de datos seudonimizados en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",Se refiere al consentimiento para el uso secundario futuro de datos seudonimizados en investigaciones aprobadas éticamente.,Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.
inclu_consent_secprod,presentación,CRITERIOS DE INCLUSIÓN,"Uso futuro de datos seudonimizados para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de datos seudonimizados para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.
inclu_consent_secgen,presentación,CRITERIOS DE INCLUSIÓN,"Uso futuro de datos genéticos seudonimizados en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",Se refiere al consentimiento para el uso secundario futuro de datos genéticos seudonimizados en investigaciones aprobadas éticamente.,Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.
inclu_consentsecsamp,presentación,CRITERIOS DE INCLUSIÓN,"Uso secundario de las muestras recogidas, el participante está de acuerdo con las siguientes declaraciones:",,,
inclu_consent_secsamprsch,presentación,CRITERIOS DE INCLUSIÓN,"Uso futuro de muestras seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.
inclu_consent_secsampprod,presentación,CRITERIOS DE INCLUSIÓN,"Uso futuro de muestras o materiales seudonimizados o de datos derivados de dichas muestras para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras o materiales seudonimizados o datos derivados de dichas muestras para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.
inclu_consent_secsampgen,presentación,CRITERIOS DE INCLUSIÓN,"Uso futuro de muestras genéticas seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras genéticas seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.
inclu_consentcont,presentación,CRITERIOS DE INCLUSIÓN,Contacto:,,,
inclu_consent_contnstudy,presentación,CRITERIOS DE INCLUSIÓN,"Ser contactado para participar en futuros trabajos, incluidos estudios de investigación.","1, Sí | 0, No","Se refiere al contacto que se utilizará para participar en trabajos futuros, incluida la investigación.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.
pres_onsetdate,presentación,INICIO Y PRESENTACIÓN,Fecha de aparición del primer síntoma o del síntoma más temprano.,,Se refiere a la fecha de aparición del primer síntoma o del síntoma más temprano que está clínicamente relacionado con el episodio actual de la enfermedad.,"Indique la fecha del primer síntoma que, según su criterio clínico, esté relacionado con este episodio de enfermedad en formato DD/MM/AAAA."
pres_symptpres,presentación,INICIO Y PRESENTACIÓN,¿Presentaba síntomas en la consulta inicial?,"1, Sí | 0, No | 99, Desconocido",Se refiere a si el paciente presentaba síntomas en la consulta inicial.,Indique «Sí» si el paciente presentaba síntomas en la consulta inicial.
pres_firstsym,presentación,INICIO Y PRESENTACIÓN,Síntomas durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).,,"Se refiere al primer síntoma, o síntomas (si se produjeron varios al mismo tiempo), que usted cree clínicamente que estaban relacionados con este episodio de la enfermedad.",Seleccione todos los síntomas que experimentó el paciente durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).
pres_consultdate,presentación,INICIO Y PRESENTACIÓN,Fecha de la primera consulta clínica.,,Se refiere a la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad.,Indique la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad en formato DD/MM/AAAA.
pres_date,presentación,INICIO Y PRESENTACIÓN,Fecha más reciente de presentación/ingreso en este centro.,,Se refiere a la fecha de hospitalización o ingreso del paciente en su centro por la enfermedad actual.,Introduzca la fecha de hospitalización/ingreso en su centro (en formato DD/MM/AAAA).
pres_adm,presentación,INICIO Y PRESENTACIÓN,Ingresado en el hospital.,"1, Sí | 0, No | 99, Desconocido",Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Indique «Sí» si el paciente fue ingresado en su centro.
pres_adm_reas,presentación,INICIO Y PRESENTACIÓN,Motivo de la hospitalización.,,Se refiere al motivo (indicación) de la hospitalización.,"Si la respuesta es «Sí», especifique el motivo (indicación) de la hospitalización."
pres_adm_time,presentación,INICIO Y PRESENTACIÓN,Hora del ingreso hospitalario.,,Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Introduzca la hora de ingreso en su centro en formato de 24 horas (00:00 - 24:00 horas).
pres_enrolmentdate,presentación,INICIO Y PRESENTACIÓN,Fecha de inscripción/inicio de la recopilación de datos.,,Se refiere a la fecha de inscripción/inicio de la recopilación de datos.,Introduzca la fecha de inscripción del paciente en el estudio en formato día/mes/año (DD/MM/AAAA).
readm_prev,presentación,REINGRESO Y PIN ANTERIOR,¿El paciente fue ingresado anteriormente o trasladado desde otro centro durante este episodio de la enfermedad?,"1, SÍ: ingresado anteriormente en este centro y dado de alta | 2, SÍ: ingresado en otro centro y dado de alta | 3, SÍ: ingresado en otro centro y trasladado a este centro | 0, No | 99, Desconocido",Se refiere a la admisión previa en un centro de salud o al traslado desde otro centro de salud durante el episodio actual de la enfermedad.,Seleccione la opción más adecuada que indique si el paciente ha sido ingresado anteriormente o trasladado desde otro centro durante este episodio de la enfermedad.
readm_prev_site,presentación,REINGRESO Y PIN ANTERIOR,Nombre del centro de traslado,,Se refiere al nombre del centro desde el que se admitió o trasladó previamente al paciente.,Introduzca el nombre del centro desde el que fue ingresado o trasladado el paciente.
readm_prev_date,presentación,REINGRESO Y PIN ANTERIOR,Fecha de presentación en el centro anterior,,Se refiere a la fecha de presentación en el centro en el que se admitió o trasladó previamente al paciente.,Introduzca la fecha de presentación en el centro en el que fue ingresado o trasladado el paciente.
readm_prev_num,presentación,REINGRESO Y PIN ANTERIOR,Número total de ingresos anteriores por esta infección,,Se refiere al número de veces (para esta infección) que el paciente ha sido admitido en un centro de salud.,Indique el número de veces (para esta infección) que el paciente ha sido ingresado en un centro sanitario.
readm_firstadmdate,presentación,REINGRESO Y PIN ANTERIOR,Fecha de la primera admisión por esta infección,,"Se refiere a la fecha de la primera admisión por esta enfermedad. Si el paciente fue «admitido primero en otro centro y luego trasladado a este centro», registre la fecha en que el paciente fue admitido en el otro centro de salud.",Escriba la fecha en formato DD/MM/AAAA.
