Question,Answer Options,Definition,Completion Guideline
Especifique otro motivo.,,Se refiere al motivo por el que se realizó la prueba al paciente para detectar el patógeno en cuestión.,Seleccione la opción más adecuada que corresponda al motivo por el que se realizó la prueba al paciente para detectar el patógeno en cuestión.
Fecha de aparición del primer síntoma o del síntoma más temprano.,,Se refiere a la fecha de aparición del primer síntoma o del síntoma más temprano que está clínicamente relacionado con el episodio actual de la enfermedad.,"Indique la fecha del primer síntoma que, según su criterio clínico, esté relacionado con este episodio de enfermedad en formato DD/MM/AAAA."
¿Presentaba síntomas en la consulta inicial?,"1, Sí | 0, No | 99, Desconocido",Se refiere a si el paciente presentaba síntomas en la consulta inicial.,Indique «Sí» si el paciente presentaba síntomas en la consulta inicial.
Síntomas durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).,,"Se refiere al primer síntoma, o síntomas (si se produjeron varios al mismo tiempo), que usted cree clínicamente que estaban relacionados con este episodio de la enfermedad.",Seleccione todos los síntomas que experimentó el paciente durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).
Fecha de la primera consulta clínica.,,Se refiere a la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad.,Indique la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad en formato DD/MM/AAAA.
Fecha más reciente de presentación/ingreso en este centro.,,Se refiere a la fecha de hospitalización o ingreso del paciente en su centro por la enfermedad actual.,Introduzca la fecha de hospitalización/ingreso en su centro (en formato DD/MM/AAAA).
Ingresado en el hospital.,"1, Sí | 0, No | 99, Desconocido",Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Indique «Sí» si el paciente fue ingresado en su centro.
Motivo de la hospitalización.,,Se refiere al motivo (indicación) de la hospitalización.,"Si la respuesta es «Sí», especifique el motivo (indicación) de la hospitalización."
Hora del ingreso hospitalario.,,Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Introduzca la hora de ingreso en su centro en formato de 24 horas (00:00 - 24:00 horas).
Fecha de inscripción/inicio de la recopilación de datos.,,Se refiere a la fecha de inscripción/inicio de la recopilación de datos.,Introduzca la fecha de inscripción del paciente en el estudio en formato día/mes/año (DD/MM/AAAA).
Edad calculada.,"datediff([demog_birthdate], [pres_date], «y»)",Se refiere a la edad del paciente.,"La edad se calcula, si se conoce la fecha de nacimiento, como la diferencia entre la fecha de nacimiento y la fecha más reciente de presentación o ingreso en el centro."
Fecha de la carga viral del VIH.,,Se refiere a la fecha del recuento de células CD4 más reciente disponible realizado en laboratorio.,Escriba la fecha en formato DD/MM/AAAA.
Resultados de HbA1C en los últimos 6 meses (%).,,"La hemoglobina A1C (HbA1C) es un análisis de sangre que mide el nivel medio de glucosa en sangre durante los tres meses anteriores al resultado del análisis. Se puede expresar en diferentes unidades (mmol/mol, mmol/L o %).",Introduzca el valor numérico del nivel de HbA1C expresado en porcentaje %.
Otras comorbilidades.,,,
Hepatitis B activa ,"1, Sí | 0, No | 99, Desconocido",Se refiere a un caso activo de infección por el virus de la hepatitis B.,Indique «Sí» si el paciente tiene actualmente una infección activa por hepatitis B.
Vacunado contra la fiebre amarilla,"1, Sí | 0, No | 99, Desconocido",Si alguna vez ha recibido una vacuna contra el virus de la fiebre amarilla.,Indique «Sí» si el paciente ha recibido alguna vez la  vacuna contra la fiebre amarilla.
Fecha más reciente de vacunación contra la fiebre amarilla,,Se refiere a la fecha de la vacuna más reciente contra la fiebre amarilla.,"Escriba la fecha de la  vacuna contra la fiebre amarilla más reciente en formato DD/MM/AAAA. Si se desconoce la fecha exacta, haga una estimación.  "
Vacunado contra la hepatitis B,"1, Sí | 0, No | 99, Desconocido",Si alguna vez ha recibido una vacuna contra el virus de la hepatitis B.,Indique «Sí» si el paciente ha recibido alguna vez la  vacuna contra la hepatitis B.
Fecha más reciente de vacunación contra la hepatitis B,,Se refiere a la fecha de la vacuna más reciente contra el virus de la hepatitis B.,"Escriba la fecha de la  vacuna contra la hepatitis B más reciente en formato DD/MM/AAAA. Si se desconoce la fecha exacta, haga una estimación.  "
Vacunado contra la varicela,"1, Sí | 0, No | 99, Desconocido",¿Alguna vez ha recibido una vacuna contra el virus varicela-zóster?,Indique «Sí» si el paciente ha recibido alguna vez la  vacuna contra la varicela.
Fecha más reciente de vacunación contra la varicela,,Se refiere a la fecha de la vacuna más reciente contra el virus varicela-zóster.,"Escriba la fecha de la última vacuna contra la varicela en el formato DD/MM/AAAA. Si no conoce la fecha exacta, haga una estimación.  "
Estornudos,"1, Sí | 0, No | 99, Desconocido","Se refiere a una exhalación repentina, violenta, espasmódica y audible por la nariz y la boca.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta su presentación. 
Dificultad para caminar,"1, Sí | 0, No | 99, Desconocido",Se refiere a cualquier problema persistente para caminar.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la presentación. 
Parotiditis,"1, Sí | 0, No | 99, Desconocido",Se refiere a la inflamación de las glándulas parótidas.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la presentación. 
Otros  síntomas,,,
Peso al nacer (g),,Se refiere al primer peso de un recién nacido obtenido después del nacimiento en kilogramos (kg).,Indique el peso al nacer en kilogramos (kg).
Escalofríos o rigidez,"1, Sí | 0, No | 99, Desconocido",Se define como escalofríos intensos con temblores violentos. Un rigor es un episodio de temblores o escalofríos exagerados que puede ocurrir con fiebre alta. ,Indique «Sí» si el paciente experimentó esto entre las 00:00 y las 24:00 del día de la evaluación.
Estornudos,"1, Sí | 0, No | 99, Desconocido","Se refiere a una exhalación repentina, violenta, espasmódica y audible por la nariz y la boca.",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. 
Dificultad para caminar,"1, Sí | 0, No | 99, Desconocido",Se refiere a cualquier problema persistente para caminar.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. 
Parotiditis,"1, Sí | 0, No | 99, Desconocido",Se refiere a la inflamación de las glándulas parótidas.,Indique «Sí» si el paciente ha experimentado esto entre las 00:00 y las 24:00 horas del día de la evaluación.
Otros  síntomas,,,
Otros  signos,,,
Tipo de muestra de PaO2,"1, Arterial | 2, Capilar | 3, Venoso | 99, Desconocido | 0, No realizado",Se refiere al tipo de muestra de sangre utilizada para medir la presión parcial de oxígeno en sangre (PaO2) mediante el análisis de gases en sangre.,Seleccione el tipo de muestra de sangre utilizada para medir la presión parcial de oxígeno.
Concentración media de hemoglobina corpuscular eritrocitaria / MCHC (g/L),,Concentración corpuscular media de hemoglobina en eritrocitos o MCHC.,Escriba la concentración media de hemoglobina corpuscular (g/L).
Concentración media de hemoglobina corpuscular eritrocitaria / MCHC (g/dL),,Concentración corpuscular media de hemoglobina en eritrocitos o MCHC.,Escriba la concentración media de hemoglobina corpuscular (g/L).
Calcio (mmol/L),,Se refiere al nivel de calcio sérico (Ca) en sangre.,Escriba el calcio sérico (mmol/L).
Calcio (mEq/L),,Se refiere al nivel de calcio sérico (Ca) en sangre.,Escriba el calcio sérico (mEq/L).
