Condition,Code,Library,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Shock séptico,76571007.0,SNOMED,,
Síndrome de dificultad respiratoria aguda (SDRA),67782005.0,SNOMED,,
Síndrome de insuficiencia renal aguda,14669001.0,SNOMED,,
Trombosis venosa profunda,128053003.0,SNOMED,,
Embolia pulmonar,59282003.0,SNOMED,,
Infarto de miocardio,22298006.0,SNOMED,,
Accidente cerebrovascular isquémico,422504002.0,SNOMED,,
Accidente cerebrovascular cardioembólico,413758000.0,SNOMED,,
Golpe cerebeloso,1.63717810001191e+16,SNOMED,,
Accidente cerebrovascular hemorrágico,1078001000000100.0,SNOMED,,
Accidente cerebrovascular trombótico,371040005.0,SNOMED,,
Sangrado gastrointestinal recurrente,307296008.0,SNOMED,,
Neumotórax,36118008.0,SNOMED,,
Coagulación intravascular diseminada (DIC),67406007.0,SNOMED,,
Septicemia,91302008.0,SNOMED,,
Paro cardiaco,410429000.0,SNOMED,,
Isquemia cerebral transitoria,266257000.0,SNOMED,,
Bacteriemia,5758002.0,SNOMED,,
Infección recurrente del tracto urinario,197927001.0,SNOMED,,
Neumonía,233604007.0,SNOMED,,
Hipotensión transitoria,94501000000000.0,SNOMED,,
Trastorno de coagulación adquirido,234466008.0,SNOMED,,
Hígado grande,80515008.0,SNOMED,,
Meningitis,7180009.0,SNOMED,,
Síndrome inflamatorio multisistema en adultos,1119306006.0,SNOMED,,
Síndrome inflamatorio multisistema en niños,895448002.0,SNOMED,,
Encefalitis,45170000.0,SNOMED,,
Neumonía asociada al ventilador,429271009.0,SNOMED,,
Empiema,312682007.0,SNOMED,,
Encefalopatía isquémica,389100007.0,SNOMED,,
Sangría,131148009.0,SNOMED,,
Shock cardiogénico,89138009.0,SNOMED,,
Descompensación,87228002.0,SNOMED,,
Hallazgo neurológico,102957003.0,SNOMED,,
Neumonía adquirida en el hospital,425464007.0,SNOMED,,
