Country,Region,Income group,Code,Selected,Value
Afeganistão,Latin America & Caribbean,High income,ABW,,1
Ilhas Alanda,South Asia,Low income,AFG,,2
Albânia,Sub-Saharan Africa,Lower middle income,AGO,,3
Argélia,Europe & Central Asia,Upper middle income,ALB,,4
Samoa Americana,Europe & Central Asia,High income,AND,,5
Andorra,Middle East & North Africa,High income,ARE,,6
Angola,Latin America & Caribbean,Upper middle income,ARG,,7
Anguila,Europe & Central Asia,Upper middle income,ARM,,8
Antártica,East Asia & Pacific,High income,ASM,,9
Antígua e Barbuda,Latin America & Caribbean,High income,ATG,,10
Argentina,East Asia & Pacific,High income,AUS,,11
Armênia,Europe & Central Asia,High income,AUT,,12
Aruba,Europe & Central Asia,Upper middle income,AZE,,13
Austrália,Sub-Saharan Africa,Low income,BDI,,14
Áustria,Europe & Central Asia,High income,BEL,,15
Azerbaijão,Sub-Saharan Africa,Lower middle income,BEN,,16
Bahrein,Sub-Saharan Africa,Low income,BFA,,17
Bangladesh,South Asia,Lower middle income,BGD,,18
Barbados,Europe & Central Asia,Upper middle income,BGR,,19
Bielorrússia,Middle East & North Africa,High income,BHR,,20
Bélgica,Latin America & Caribbean,High income,BHS,,21
Belize,Europe & Central Asia,Upper middle income,BIH,,22
Benim,Europe & Central Asia,Upper middle income,BLR,,23
Bermudas,Latin America & Caribbean,Upper middle income,BLZ,,24
Butão,North America,High income,BMU,,25
Bolívia,Latin America & Caribbean,Lower middle income,BOL,,26
"Bonaire, Santo Eustáquio e Saba",Latin America & Caribbean,Upper middle income,BRA,,27
Bósnia e Herzegovina,Latin America & Caribbean,High income,BRB,,28
Botsuana,East Asia & Pacific,High income,BRN,,29
Ilha Bouvet,South Asia,Lower middle income,BTN,,30
Brasil,Sub-Saharan Africa,Upper middle income,BWA,,31
Território Britânico do Oceano Índico,Sub-Saharan Africa,Low income,CAF,,32
Brunei,North America,High income,CAN,,33
Bulgária,Europe & Central Asia,High income,CHE,,34
Burquina Faso,Europe & Central Asia,High income,CHI,,35
Burundi,Latin America & Caribbean,High income,CHL,,36
Camboja,East Asia & Pacific,Upper middle income,CHN,,37
Camarões,Sub-Saharan Africa,Lower middle income,CIV,,38
Canadá,Sub-Saharan Africa,Lower middle income,CMR,,39
Cabo Verde,Sub-Saharan Africa,Low income,COD,,40
Ilhas Cayman,Sub-Saharan Africa,Lower middle income,COG,,41
República Centro-Africana,Latin America & Caribbean,Upper middle income,COL,,42
Chade,Sub-Saharan Africa,Lower middle income,COM,,43
Chile,Sub-Saharan Africa,Lower middle income,CPV,,44
China,Latin America & Caribbean,Upper middle income,CRI,,45
Ilha Natal,Latin America & Caribbean,Upper middle income,CUB,,46
Ilhas Cocos (Keeling),Latin America & Caribbean,High income,CUW,,47
Colômbia,Latin America & Caribbean,High income,CYM,,48
Comores,Europe & Central Asia,High income,CYP,,49
Congo,Europe & Central Asia,High income,CZE,,50
Ilhas Cook,Europe & Central Asia,High income,DEU,,51
Costa Rica,Middle East & North Africa,Lower middle income,DJI,,52
Costa do Marfim (Costa do Marfim),Latin America & Caribbean,Upper middle income,DMA,,53
Croácia,Europe & Central Asia,High income,DNK,,54
Cuba,Latin America & Caribbean,Upper middle income,DOM,,55
Curaçao,Middle East & North Africa,Lower middle income,DZA,,56
Chipre,Latin America & Caribbean,Upper middle income,ECU,,57
República Tcheca,Middle East & North Africa,Lower middle income,EGY,,58
República Democrática do Congo,Sub-Saharan Africa,Low income,ERI,,59
Dinamarca,Europe & Central Asia,High income,ESP,,60
Djibuti,Europe & Central Asia,High income,EST,,61
Domínica,Sub-Saharan Africa,Low income,ETH,,62
República Dominicana,Europe & Central Asia,High income,FIN,,63
Equador,East Asia & Pacific,Upper middle income,FJI,,64
Egito,Europe & Central Asia,High income,FRA,,65
El Salvador,Europe & Central Asia,High income,FRO,,66
Guiné Equatorial,East Asia & Pacific,Lower middle income,FSM,,67
Eritreia,Sub-Saharan Africa,Upper middle income,GAB,,68
Estônia,Europe & Central Asia,High income,GBR,,69
Essuatíni,Europe & Central Asia,Upper middle income,GEO,,70
Etiópia,Sub-Saharan Africa,Lower middle income,GHA,,71
Ilhas Malvinas,Europe & Central Asia,High income,GIB,,72
Ilhas Faroé,Sub-Saharan Africa,Lower middle income,GIN,,73
Ilhas Fiji,Sub-Saharan Africa,Low income,GMB,,74
Finlândia,Sub-Saharan Africa,Low income,GNB,,75
França,Sub-Saharan Africa,Upper middle income,GNQ,,76
Guiana Francesa,Europe & Central Asia,High income,GRC,,77
Polinésia Francesa,Latin America & Caribbean,Upper middle income,GRD,,78
Territórios Franceses do Sul,Europe & Central Asia,High income,GRL,,79
Gabão,Latin America & Caribbean,Upper middle income,GTM,,80
Gâmbia O,East Asia & Pacific,High income,GUM,,81
Geórgia,Latin America & Caribbean,High income,GUY,,82
Alemanha,East Asia & Pacific,High income,HKG,,83
Gana,Latin America & Caribbean,Lower middle income,HND,,84
Gibraltar,Europe & Central Asia,High income,HRV,,85
Grécia,Latin America & Caribbean,Lower middle income,HTI,,86
Groenlândia,Europe & Central Asia,High income,HUN,,87
Granada,East Asia & Pacific,Upper middle income,IDN,,89
Guadalupe,Europe & Central Asia,High income,IMN,,90
Guam,South Asia,Lower middle income,IND,,91
Guatemala,Europe & Central Asia,High income,IRL,,92
Guernsey e Alderney,Middle East & North Africa,Lower middle income,IRN,,93
Guiné,Middle East & North Africa,Upper middle income,IRQ,,94
Guiné-Bissau,Europe & Central Asia,High income,ISL,,95
Guiana,Middle East & North Africa,High income,ISR,,96
Haiti,Europe & Central Asia,High income,ITA,,97
Ilha Heard e Ilhas McDonald,Latin America & Caribbean,Upper middle income,JAM,,98
Honduras,Middle East & North Africa,Lower middle income,JOR,,100
R.A.E. de Hong Kong,East Asia & Pacific,High income,JPN,,101
Hungria,Europe & Central Asia,Upper middle income,KAZ,,102
Islândia,Sub-Saharan Africa,Lower middle income,KEN,,103
Índia,Europe & Central Asia,Lower middle income,KGZ,,104
Indonésia,East Asia & Pacific,Lower middle income,KHM,,105
Irã,East Asia & Pacific,Lower middle income,KIR,,106
Iraque,Latin America & Caribbean,High income,KNA,,107
Irlanda,East Asia & Pacific,High income,KOR,,108
Israel,Middle East & North Africa,High income,KWT,,109
Itália,East Asia & Pacific,Lower middle income,LAO,,110
Jamaica,Middle East & North Africa,Lower middle income,LBN,,111
Japão,Sub-Saharan Africa,Low income,LBR,,112
Jersey,Middle East & North Africa,Upper middle income,LBY,,113
