Microorganism,Code,Library,Type,Unnamed: 4,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acremonio,63996006.0,SNOMED,fungi,,,
Adenovirus,424470006.0,SNOMED,virus,,,
Ancylostoma duodenal,81559006.0,SNOMED,"parasite, helminth",,,
Ortohantavirus de los Andes,442001008.0,SNOMED,virus,,,
Arenavirus,243624009.0,SNOMED,virus,,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,
Aspergilo,2429008.0,SNOMED,fungi,,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,
Complejo Aspergillus fumigatus,719029007.0,SNOMED,fungi,,,
Aspergillus niger,89354002.0,SNOMED,fungi,,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,
Astrovirus,424055004.0,SNOMED,virus,,,
Gripe aviar tipo A H5N1,772827006.0,SNOMED,virus,,,
Influenza aviar A H7N9,609444009.0,SNOMED,virus,,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,
Bocavirus (Género),430902006.0,SNOMED,virus,,,
Brugia malaya,112443002.0,SNOMED,"parasite, helminth",,,
Bunyaviridae (familia),243615000.0,SNOMED,virus,,,
Caliciviridae (familia),243627002.0,SNOMED,virus,,,
Candida,3265006.0,SNOMED,fungi,,,
Candida albicans,53326005.0,SNOMED,fungi,,,
Candida auris,3490000000000.0,SNOMED,fungi,,,
Candida dubliniensis,115952006.0,SNOMED,fungi,,,
Candida glabrata,444877006.0,SNOMED,fungi,,,
Candida discreta,283871001.0,SNOMED,fungi,,,
Ortopsilosis por Candida,3690000000000.0,SNOMED,fungi,,,
Candida parapsilosis,61302002.0,SNOMED,fungi,,,
Candida tropicalis,47885008.0,SNOMED,fungi,,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,
Coccidioides,8672004.0,SNOMED,fungi,,,
Coccidioides immitis,23439005.0,SNOMED,fungi,,,
Coronaviridae (familia),243607003.0,SNOMED,virus,,,
Virus de la fiebre hemorrágica de Crimea-Congo (FHCC),79875007.0,SNOMED,virus,,,
Criptococo gattii,450862004.0,SNOMED,fungi,,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,,
Criptosporidio,83821001.0,SNOMED,"parasite, protozoa",,,
Criptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,
Criptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,
Curvularia lunata,33165007.0,SNOMED,fungi,,,
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",,,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,
Citomegalovirus,407444007.0,SNOMED,virus,,,
Deltavirus,83617006.0,SNOMED,virus,,,
Virus del dengue,34348001.0,SNOMED,virus,,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,
Virus del ébola,424206003.0,SNOMED,virus,,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,,
Enterovirus (género Enterovirus),243633006.0,SNOMED,virus,,,
Epidermofiton,112403007.0,SNOMED,fungi,,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,
Filoviridae (familia),407325004.0,SNOMED,virus,,,
Familia Flaviviridae,243602009.0,SNOMED,virus,,,
Hongos,414561005.0,SNOMED,fungi,,,
Fusarium,35238009.0,SNOMED,fungi,,,
Género Marburgvirus,424421007.0,SNOMED,virus,,,
Giardia,61419001.0,SNOMED,"parasite, protozoa",,,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,,
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",,,
Virus hanta,49445003.0,SNOMED,virus,,,
Virus Hendra,115510008.0,SNOMED,virus,,,
Hepadnavirus,422951006.0,SNOMED,virus,,,
Virus de la hepatitis A,32452004.0,SNOMED,virus,,,
virus de la hepatitis B,81665004.0,SNOMED,virus,,,
