Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Achromobacter,91620006.0,SNOMED,bacteria,,,,,,,,,,1,,
Achromobacter xilosoxidans,413424009.0,SNOMED,bacteria,,,,,,,,,,2,,
Acinetobacter,7757008.0,SNOMED,bacteria,,,,,,,,,,3,,
Acinetobacter anitrato,82550008.0,SNOMED,bacteria,,,,,,,,,,4,,
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,,,,,,5,,
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,,,,,,,,,6,,
Complejo de acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,,,,,,7,,
Acinetobacter Johnsonii,252000.0,SNOMED,bacteria,,,,,,,,,,8,,
Acremonio,63996006.0,SNOMED,fungi,,,,,,,,,,9,,
Actinomyces israelii,46369004.0,SNOMED,bacteria,,,,,,,,,,10,,
Adenoviridae,424470006.0,SNOMED,virus,,,,,,,1.0,1.0,,11,,
Aeromonas,88529008.0,SNOMED,bacteria,,,,,,,,,,12,,
Agregado,441718002.0,SNOMED,bacteria,,,,,,,,,,13,,
Bacterias anaeróbicas,59343002.0,SNOMED,bacteria,,,,,,,,,,14,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,,,,,,,,15,,
Andes ortohantavirus,442001008.0,SNOMED,virus,,,,,,,,,,16,,
Arenaviridae,243624009.0,SNOMED,virus,,,,,,,,,,17,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,,,,,,18,,
Aspergilo,2429008.0,SNOMED,fungi,,,,,,,,,,19,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,,,,,,20,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,,,,,,21,,
Complejo aspergillus fumigatus,719029007.0,SNOMED,fungi,,,,,,,,,,22,,
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,,,,,,23,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,,,,,,24,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,,,,,,25,,
Astroviridae,424055004.0,SNOMED,virus,,,,,,,,,,26,,
Influenza aviar A H5N1,772827006.0,SNOMED,virus,,,,,,,,,,27,,
Influenza aviar A H7N9,609444009.0,SNOMED,virus,,,,,,,,,,28,,
Bacilo,44762009.0,SNOMED,bacteria,,,,,,,,,,29,,
Bacillus anthracis,21927003.0,SNOMED,bacteria,,,,,,,,,,30,,
Bacillus cereus,84408007.0,SNOMED,bacteria,,,,,,,,,,31,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,,,,,,32,,
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,,,,,,33,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,,,,,,34,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,,,,,,,,35,,
Bocavirus (género),430902006.0,SNOMED,virus,,,,,,,,,,36,,
Bordetella ferina,5247005.0,SNOMED,bacteria,,,,,,,,,,37,,
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",,,,,,,,,,38,,
Bunyaviridae (familia),243615000.0,SNOMED,virus,,,,,,,,,,39,,
Burkholderia,414324002.0,SNOMED,bacteria,,,,,,,,,,40,,
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,,,,,,41,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,,,,,,42,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,,,,,,43,,
Caliciviridae (familia),243627002.0,SNOMED,virus,,,,,,,,,,44,,
Campylobacter,35408001.0,SNOMED,bacteria,,,,,,,,,,45,,
Candida,3265006.0,SNOMED,fungi,,,,,,,,,,46,,
Candida albicans,53326005.0,SNOMED,fungi,,,,,,,,,,47,,
Candida auris,3490000000000.0,SNOMED,fungi,,,,,,,,,,48,,
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,,,,,,49,,
Candida glabrata,444877006.0,SNOMED,fungi,,,,,,,,,,50,,
Candida inconspicua,283871001.0,SNOMED,fungi,,,,,,,,,,51,,
Ortopsilosis de candida,3690000000000.0,SNOMED,fungi,,,,,,,,,,52,,
Candida parapsilosis,61302002.0,SNOMED,fungi,,,,,,,,,,53,,
Candida Tropicalis,47885008.0,SNOMED,fungi,,,,,,,,,,54,,
Clamidia,16241000.0,SNOMED,bacteria,,,,,,,,,,55,,
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,,,,,,56,,
Chryseobacterium indologenos,113549008.0,SNOMED,bacteria,,,,,,,,,,57,,
Citrobacter,75972000.0,SNOMED,bacteria,,,,,,,,,,58,,
