Microorganism,Code,Library,Type,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Achromobacter,91620006.0,SNOMED,bacteria,,
Achromobacter xilosoxidans,413424009.0,SNOMED,bacteria,,
Acinetobacter,7757008.0,SNOMED,bacteria,,
Acinetobacter anitrato,82550008.0,SNOMED,bacteria,,
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,
Complejo de acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,
Acinetobacter Johnsonii,252000.0,SNOMED,bacteria,,
Actinomyces israelii,46369004.0,SNOMED,bacteria,,
Aeromonas,88529008.0,SNOMED,bacteria,,
Agregado,441718002.0,SNOMED,bacteria,,
Bacterias anaeróbicas,59343002.0,SNOMED,bacteria,,
Bacilo,44762009.0,SNOMED,bacteria,,
Bacillus anthracis,21927003.0,SNOMED,bacteria,,
Bacillus cereus,84408007.0,SNOMED,bacteria,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,
Bordetella ferina,5247005.0,SNOMED,bacteria,,
Burkholderia,414324002.0,SNOMED,bacteria,,
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,
Campylobacter,35408001.0,SNOMED,bacteria,,
Clamidia,16241000.0,SNOMED,bacteria,,
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,
Chryseobacterium indologenos,113549008.0,SNOMED,bacteria,,
Citrobacter,75972000.0,SNOMED,bacteria,,
Citrobacter braakii,114262000.0,SNOMED,bacteria,,
Citrobacter freundii,6265002.0,SNOMED,bacteria,,
Citrobacter koseri,114264004.0,SNOMED,bacteria,,
Clostridium botulinum,13080008.0,SNOMED,bacteria,,
Clostridium difficile,5933001.0,SNOMED,bacteria,,
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,,
Clostridium tetani,30917009.0,SNOMED,bacteria,,
Staphylococcus de coagulasa,116197008.0,SNOMED,bacteria,,
Bacteria coliforme,77309002.0,SNOMED,bacteria,,
Corynebacterium,77086004.0,SNOMED,bacteria,,
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,
Corynebacterium striatum,63815007.0,SNOMED,bacteria,,
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,
Corynebacterium xerosis,27101006.0,SNOMED,bacteria,,
Cryptococcus,17579001.0,SNOMED,bacteria,,
Cryptococcus neoformans,67168003.0,SNOMED,bacteria,,
Delftia,416493002.0,SNOMED,bacteria,,
Delftia Acidovorans,20432002.0,SNOMED,bacteria,,
Dermabacter,413976002.0,SNOMED,bacteria,,
Diferoide,54642001.0,SNOMED,bacteria,,
Eggerthella,414075007.0,SNOMED,bacteria,,
Elizabethkingia,426244005.0,SNOMED,bacteria,,
Bacterias entéricas,106544002.0,SNOMED,bacteria,,
Enterobacterista,58683007.0,SNOMED,bacteria,,
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,,
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,,
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,
Complejo Enterobacter cloacae,414102007.0,SNOMED,bacteria,,
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,,
Enterobacter kobei,114456008.0,SNOMED,bacteria,,
Enterobacteriaceae,106544002.0,SNOMED,bacteria,,
Enterococo,2785000.0,SNOMED,bacteria,,
Enterococcus avium,87875008.0,SNOMED,bacteria,,
Enterococcus faecalis,78065002.0,SNOMED,bacteria,,
Enterococcus faecium,90272000.0,SNOMED,bacteria,,
Enterococcus rffinosus,103437000.0,SNOMED,bacteria,,
Escherichia,64735005.0,SNOMED,bacteria,,
Escherichia coli,112283007.0,SNOMED,bacteria,,
Francisella tularensis,51526001.0,SNOMED,bacteria,,
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,,
Bacilo gramnegativo,87172008.0,SNOMED,bacteria,,
Bacilo gram-positivo,83514008.0,SNOMED,bacteria,,
Coccus gram-positivo,59206002.0,SNOMED,bacteria,,
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,
Haemophilus,71268004.0,SNOMED,bacteria,,
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,
Hafnia Alvei,76694001.0,SNOMED,bacteria,,
Helicobacter pylori,80774000.0,SNOMED,bacteria,,
Klebsiella,75032006.0,SNOMED,bacteria,,
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,,
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,
"Klebsiella pneumoniae, ESBL",409801009.0,SNOMED,bacteria,,
Klebsiella variicola,431976004.0,SNOMED,bacteria,,
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,
Legionella,7527002.0,SNOMED,bacteria,,
Legionella pneumophila,80897008.0,SNOMED,bacteria,,
Leptospira interroganos,116401006.0,SNOMED,bacteria,,
Listeria monocytogenes,36094007.0,SNOMED,bacteria,,
Staphylococcus aureus resistente a la meticilina (MRSA),115329001.0,SNOMED,bacteria,,
Meticilina Staphylococcus aureus (MSSA),417943000.0,SNOMED,bacteria,,
Micrococos,52864008.0,SNOMED,bacteria,,
Micrococcus luteus,48299003.0,SNOMED,bacteria,,
Mirabilis,79589007.0,SNOMED,bacteria,,
Moraxella,36361003.0,SNOMED,bacteria,,
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,
Morganella,50713005.0,SNOMED,bacteria,,
Morganella morganii,243301005.0,SNOMED,bacteria,,
Mycobacterium,243368001.0,SNOMED,bacteria,,
Mycobacterium leprae,58242002.0,SNOMED,bacteria,,
"Mycobacterium, no tuberculosis",110379001.0,SNOMED,bacteria,,
Mycobacterium tuberculosis,113861009.0,SNOMED,bacteria,,
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,,
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,,
Neisseria meningitidis,17872004.0,SNOMED,bacteria,,
Nocardia asteroides,30092002.0,SNOMED,bacteria,,
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,
Propionibacterium,34844008.0,SNOMED,bacteria,,
Propionibacterium acnes,39473003.0,SNOMED,bacteria,,
Proteo,50517009.0,SNOMED,bacteria,,
Proteus mirabilis,73457008.0,SNOMED,bacteria,,
Proteus vulgaris,45834001.0,SNOMED,bacteria,,
Providencia Rettgeri,14196002.0,SNOMED,bacteria,,
Providencia stuartii,1445008.0,SNOMED,bacteria,,
Pseudomonas,57032008.0,SNOMED,bacteria,,
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,
Pseudomonas putida,68608003.0,SNOMED,bacteria,,
Raoultella,417468005.0,SNOMED,bacteria,,
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,
Raoultella planticola,416264004.0,SNOMED,bacteria,,
Salmonela,27268008.0,SNOMED,bacteria,,
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,,
Serratia,42025004.0,SNOMED,bacteria,,
