Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Amikacine (amikin, biodacine, miacine)",J01GB06 ,ATC     ,1,,,,,,,,,,1,,
"Amoxicilline (amoxil, moxatag, trimox)",J01CA04 ,ATC     ,1,1.0,1.0,,,,1.0,,,,2,,
"Inhibiteur de l'amoxicilline / bêta-lactamase (amoxicilline / clavulanate, amoxicilline et acide clavulanique, augmentin, amoxyclav, co-amoxiclav)",J01CR02 ,ATC     ,1,1.0,1.0,,,,1.0,,,,3,,
"Amphotéricine (amphotéricine B, amphocine, fongizone, fongiline)",J02AA01 ,ATC     , ,,,,,,,,,,4,,
Ampicilline (polyflex),J01CA01,ATC,1,,,,,,,,,,5,,
"Inhibiteur de l'ampicilline / bêta-lactamase (ampicilline / sulbactam, sulacilline, unasyn)",J01CR01 ,ATC     ,1,,,,,,,,,,6,,
"Atovaquone (Mepron, Wellvone)",P01AX06,ATC,2,,,,,,,,,,7,,
"Azithromycine (Sumamed, Zithromax, Zmax)",J01FA10,ATC     ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,,
"Aztreonam (azactam, Cayston, primbactam)",J01DF01,ATC,2,,,,,,,,,,9,,
"Bacampicillin (Penglobe, Spectrobid)",J01CA06,ATC,2,,,,,,,,,,10,,
Bacitracine (baciguent),J01XX10,ATC,2,,,,,,,,,,11,,
Phénoxyméthylpénicilline de la benzathine (pénicilline V),J01CE10,ATC,,,,,,,,,,,12,,
"Benzylpénicilline (pénicilline G, bactracilline G,)",J01CE01,ATC     ,1,,,,,,,,,,13,,
Capréomycine (Capastat),J04AB30,ATC,2,,,,,,,,,,14,,
"Carbénicilline indanyl sodium (anabactyle, carbapen, carrindacilline, pyopen)",J01CA05 ,ATC,2,,,,,,,,,,15,,
Caspofungin (cancys),J02AX04,ATC, ,,,,,,,,,,16,,
"Cefaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,2,,,,,,,,,,17,,
Cefadroxil (duricef),J01DB05,ATC,2,,,,,,,,,,18,,
"Cefalexin (Cephalexin, Keflex, Daxbia)",J01DB01,ATC,1,,,,,,,,,,19,,
Cefamandole (mandol),J01DC03,ATC,2,,,,,,,,,,20,,
"Cefazoline (ANCEF, Kefzol)",J01DB04,ATC,1,,,,,,,,,,21,,
"Cefdinir (Cefzon, omnicef)",J01DD15,ATC,2,,,,,,,,,,22,,
CefDorgeren (Spectracef),J01DD16,ATC,2,,,,,,,,,,23,,
Cefepime (maxipime),J01DE01,ATC,1,,,,,,,,,,24,,
Cefixime (suprax),J01DD08,ATC,2,,,,,,,,,,25,,
Céfmétazole (zefazone),J01DC09,ATC,2,,,,,,,,,,26,,
Cefoperazone (Cefobid),J01DD12,ATC, ,,,,,,,,,,27,,
Cefotaxime (claforan),J01DD01,ATC,1,1.0,,,,,,,,,28,,
Cefotetan (cefotan),J01DC05,ATC,2,,,,,,,,,,29,,
"Céfoxitine (méfoxine, renoxiti)",J01DC01,ATC,2,,,,,,,,,,30,,
CEFPODOXIME Proxetil (Vantin),J01DD13  ,ATC,2,,,,,,,,,,31,,
"Cefprozil (cefproxil, cefproz, cefzil)",J01DC10,ATC,2,,,,,,,,,,32,,
"Ceftaroline Fosamil (Teflaro, Zinforo)",J01DI02  ,ATC,1,,,,,,,,,,33,,
"Ceftazidime (Fortaz, Tazicef)",J01DD02 ,ATC,1,1.0,,,,,,,,,34,,
"Inhibiteur de ceftazidime / bêta-lactamase (ceftazidime / avibactam, avyzaz, zavicefta)",J01DD52,ATC,,1.0,,,,,,,,,35,,
Ceftituten (CEDAX),J01DD14,ATC,2,,,,,,,,,,36,,
Ceftizoxime (cefizox),J01DD07,ATC, ,,,,,,,,,,37,,
Ceftobiprole Medocaril (Zeftera),J01DI01 ,ATC,1,,,,,,,,,,38,,
"Ceftriaxone (Rocephin, Wintriaxone)",J01DD04 ,ATC,1,1.0,1.0,1.0,,1.0,1.0,1.0,,,39,,
"Céfuroxime (ceftin, zinacef)",J01DC02,ATC,1,1.0,,,,,,,,,40,,
"Cephalexin (Cefalexin, Keflex, Daxbia)",J01DB01  ,ATC,2,,,,,,,,,,41,,
"Céphalothine (céfalotine,",J01DB03  ,ATC,2,,,,,,,,,,42,,
"Cephapirin (Cefapirin,",J01DB08,ATC,2,,,,,,,,,,43,,
"Céphradine (Cefradine, Velosef)",J01DB09,ATC,2,,,,,,,,,,44,,
"Chloramphénicol (chloromycétine, viceton)",J01BA01,ATC, ,1.0,,,,,,,,,45,,
Cinoxacin (Cinobac),J01MB06,ATC,2,,,,,,,,,,46,,
"Ciprofloxacine (Cetraxal, cipro, ciloxan, proquin)",J01MA02,ATC,1,,,,,,,,,,47,,
"Clarithromycine (biaxine, klacid)",J01FA09,ATC,1,1.0,,,,,,,,,48,,
"Clindamycine (cléocine, dalacine)",J01FF01,ATC,1,,,,,,,,,,49,,
"Cloxacilline (Tegopen, Cloxapen)",J01CF02,ATC, ,,,,,,,,,,50,,
"Colistin (colistiméthate, Coly Mycin M, Colobreathe, xylistin)",J01XB01,ATC, ,,,,,,,,,,51,,
Cyclosérine (séromycine),J04AB01,ATC,2,,,,,,,,,,52,,
"Daptomycine (dapzura, cubicine)",J01XX09 ,ATC, ,,,,,,,,,,53,,
Démeclocycline (déclomycine),J01AA01,ATC,2,,,,,,,,,,54,,
"Dicloxacilline (diclocil, dycil, dynapen)",J01CF01,ATC,2,,,,,,,,,,55,,
Dirithromycine (Dynabac),J01FA13  ,ATC,2,,,,,,,,,,56,,
"Doripenem (Doribax, Finibax)",J01DH04  ,ATC,2,,,,,,,,,,57,,
"Doxycycline (vibramycine, oracea, monodox)",J01AA02,ATC,1,1.0,1.0,,1.0,,,,1.0,,58,,
Énoxacine,J01MA04,ATC,2,,,,,,,,,,59,,
Ertapenem (Invanz),J01DH03,ATC,1,,,,,,,,,,60,,
"Érythromycine (eryc, érythrocine)",J01FA01,ATC,1,1.0,,,,,,,,,61,,
Éthambutol,J04AK02,ATC,,,,,,,,,,,62,,
"Flucloxacilline (Floxapen, Fluclox)",J01CF05  ,ATC,1,,,,,,,,,,63,,
Fluconazole (diflucan),J02AC01 ,ATC,1,,,,,,,,,,64,,
Fosfomycine (monurol),J01XX01 ,ATC,1,,,,,,,,,,65,,
Acide fusidique,J01XC01,ATC,,,,,,,,,,,66,,
Gatifloxacine (tequin),J01MA16,ATC, ,,,,,,,,,,67,,
Gemifloxacine (factive),J01MA15,ATC,2,,,,,,,,,,68,,
"Gentamicine (garamycine, gentak, génoptique)",J01GB03,ATC,1,,,,,,,,,,69,,
Grepafloxacine,J01MA11,ATC,2,,,,,,,,,,70,,
Imipenem / cilastatine (primaxin),J01DH51,ATC,1,,,,,,,,,,71,,
"ISoniazide (nydrazid, laniazide)",J04AC01,ATC,1,,,,,,,,,,72,,
Kanamycine (kanttrex),J01GB04 ,ATC, ,,,,,,,,,,73,,
"Levofloxacine (Levaquin, Levxin, Tavanic)",J01MA12,ATC,1,1.0,,,,1.0,1.0,,,,74,,
"Lincomycine (Linobac, Lincomed)",J01FF02,ATC,2,,,,,,,,,,75,,
Linezolid (Zyvox),J01XX08,ATC,1,1.0,,,,,,,,,76,,
Loméfloxacine,J01MA07,ATC,2,,,,,,,,,,77,,
"Meropenem (Merrem, Meronem)",J01DH02 ,ATC,1,1.0,,,,,,,,,78,,
"Méthénamine Hippurate (Hiprex, Urex)",J01XX05  ,ATC,2,,,,,,,,,,79,,
"Méthicilline (méticilline, staphcilline)",J01CF03,ATC,2,,,,,,,,,,80,,
"Métronidazole (Flagyl, Likmez)",J01XD01,ATC,1,,,,,,,,,,81,,
"Mezlocillin (Baypen, Mélocin, Bezlin, Optocilline)",J01CA10,ATC,2,,,,,,,,,,82,,
"Minocycline (Minocin, Ximino)",J01AA08,ATC,2,,,,,,,,,,83,,
"Moxifloxacine (velox, vigamox)",J01MA14,ATC,1,,,,,,,,,,84,,
Nafcillin,J01CF06,ATC,2,,,,,,,,,,85,,
"Acide nalidixique (Neggram, wintomylon)",J01MB02,ATC,2,,,,,,,,,,86,,
Néomycine (nevet),J01GB05,ATC,2,,,,,,,,,,87,,
Netilmicine (netromycine),J01GB07,ATC, ,,,,,,,,,,89,,
"Nitrofural (aldomycine, furacine, NFZ)",D08AF01,ATC,2,,,,,,,,,,90,,
