Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,Unnamed: 6,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acide acétylsalicylique (aspirine),B01AC06 , ATC     ,1,,,,,,,,1,,
AltePlase (Activase),B01AD02, ATC     ,,,,,,,,,2,,
Apixaban (Elimisis),B01AF02 , ATC     ,1,,1.0,,,,,,3,,
Argatroban (ACOVA),B01AE03, ATC     , ,,,,,,,,4,,
Bivalirudin (angiomax),B01AE06 , ATC     , ,,,,,,,,5,,
Clopidogrel (plavix),B01AC04 , ATC     ,1,,,,,,,,6,,
Étexilat du dabigatran (Pradaxa),B01AE07 , ATC     ,1,,,,,,,,7,,
Dalteparine (fragmin),B01AB04 , ATC     , ,,,,,,,,8,,
Desirudin (iPrivask),B01AE01, ATC     , ,,,,,,,,9,,
"Edoxaban (Savaysa, Lixiana)",B01AF03 , ATC     , ,,,,,,,,10,,
Énoxaparine (lovenox),B01AB05 , ATC     ,1,,1.0,,,1.0,,,11,,
Fondaparinux (Arixtra),B01AX05 , ATC     , ,,,,,,,,12,,
Héparine (héparine non fractionnée),B01AB01 , ATC     ,1,,,,,1.0,,,13,,
Lépirudin (reflude),B01AE02, ATC     , ,,,,,,,,14,,
Rivaroxaban (xarelto),B01AF01 , ATC     ,1,,1.0,,,,,,15,,
Streptokinase,B01AD01, ATC     ,,,,,,,,,16,,
Ticagrelor (Brilinta),B01AC24 , ATC     ,1,,,,,,,,17,,
Ticlopidine (ticlid,B01AC05,ATC,,,,,,,,,18,,
Tinzaparine (innohep),B01AB10, ATC     , ,,,,,,,,19,,
Urokinase (kinlytique),B01AD04, ATC     ,,,,,,,,,20,,
"Warfarine (Coumadin, Jantoven)",B01AA03 , ATC     ,1,,,,,,,,21,,
