Drugs,Code,Library,Selected,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype CRF_ARI,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Analgésique,373265006 |Analgesic (substance)|,SNOMED,1.0,,1.0,,,
Antibiotique,255631004 |Antibiotic (product)|,SNOMED,1.0,1.0,,1.0,,
Anticoagulant,372862008 |Anticoagulant (substance)|,SNOMED,,1.0,,1.0,,
Antifongique,373219008 |Substance with antifungal mechanism of action (substance)|,SNOMED,1.0,1.0,,1.0,,
Antihistamine,6425004 |Product containing histamine receptor antagonist (product)|,SNOMED,,,,,,
Antiprotozoaire,788027008 |Medicinal product acting as antiprotozoal agent (product)|,SNOMED,,,,,,
Antiprurite,312067003 |Local antipruritic agent (product)|,SNOMED,1.0,,,,,
Antiviral,372701006,SNOMED,1.0,1.0,1.0,1.0,,
Plasma de convalescence,1179779000,SNOMED,,,,,,
Corticostéroïde,116566001,SNOMED,1.0,1.0,1.0,1.0,,
Diurétiques,372695000,SNOMED,,,,,,
Immunomodulateur,372558009,SNOMED,,,1.0,,,
Médicaments immunosuppresseurs (non-stéroïde),69431002,SNOMED,,,1.0,,,
Inotropes / vasopresseur,373213009 |Inotropic agent (substance)|870406003 |Vasopressor (substance)|,SNOMED,,1.0,,1.0,,
Immunoglobuline intraveineuse,698802001,SNOMED,,,1.0,,,
Antibiotique topique,255631004 |Antibiotic (product)| 6064005 |Topical route (qualifier value)|,SNOMED,1.0,,,,,
