Country,Region,Income group,Code,Selected,Value
Afganistán,Latin America & Caribbean,High income,ABW,,1
Islas Aland,South Asia,Low income,AFG,,2
Albania,Sub-Saharan Africa,Lower middle income,AGO,,3
Argelia,Europe & Central Asia,Upper middle income,ALB,,4
Samoa Americana,Europe & Central Asia,High income,AND,,5
Andorra,Middle East & North Africa,High income,ARE,,6
Angola,Latin America & Caribbean,Upper middle income,ARG,,7
Anguila,Europe & Central Asia,Upper middle income,ARM,,8
Antártida,East Asia & Pacific,High income,ASM,,9
Antigua y Barbuda,Latin America & Caribbean,High income,ATG,,10
Argentina,East Asia & Pacific,High income,AUS,,11
Armenia,Europe & Central Asia,High income,AUT,,12
Aruba,Europe & Central Asia,Upper middle income,AZE,,13
Australia,Sub-Saharan Africa,Low income,BDI,,14
Austria,Europe & Central Asia,High income,BEL,,15
Azerbaiyán,Sub-Saharan Africa,Lower middle income,BEN,,16
Bahréin,Sub-Saharan Africa,Low income,BFA,,17
Bangladesh,South Asia,Lower middle income,BGD,,18
Barbados,Europe & Central Asia,Upper middle income,BGR,,19
Bielorrusia,Middle East & North Africa,High income,BHR,,20
Bélgica,Latin America & Caribbean,High income,BHS,,21
Belice,Europe & Central Asia,Upper middle income,BIH,,22
Benín,Europe & Central Asia,Upper middle income,BLR,,23
islas Bermudas,Latin America & Caribbean,Upper middle income,BLZ,,24
Bután,North America,High income,BMU,,25
bolivia,Latin America & Caribbean,Lower middle income,BOL,,26
"Bonaire, San Eustaquio y Saba",Latin America & Caribbean,Upper middle income,BRA,,27
Bosnia y Herzegovina,Latin America & Caribbean,High income,BRB,,28
Botsuana,East Asia & Pacific,High income,BRN,,29
Isla Bouvet,South Asia,Lower middle income,BTN,,30
Brasil,Sub-Saharan Africa,Upper middle income,BWA,,31
Territorio Británico del Océano Índico,Sub-Saharan Africa,Low income,CAF,,32
Brunéi,North America,High income,CAN,,33
Bulgaria,Europe & Central Asia,High income,CHE,,34
Burkina Faso,Europe & Central Asia,High income,CHI,,35
Burundi,Latin America & Caribbean,High income,CHL,,36
Camboya,East Asia & Pacific,Upper middle income,CHN,,37
Camerún,Sub-Saharan Africa,Lower middle income,CIV,,38
Canadá,Sub-Saharan Africa,Lower middle income,CMR,,39
Cabo Verde,Sub-Saharan Africa,Low income,COD,,40
Islas Caimán,Sub-Saharan Africa,Lower middle income,COG,,41
República Centroafricana,Latin America & Caribbean,Upper middle income,COL,,42
Chad,Sub-Saharan Africa,Lower middle income,COM,,43
Chile,Sub-Saharan Africa,Lower middle income,CPV,,44
Porcelana,Latin America & Caribbean,Upper middle income,CRI,,45
Isla de Navidad,Latin America & Caribbean,Upper middle income,CUB,,46
Islas Cocos (Keeling),Latin America & Caribbean,High income,CUW,,47
Colombia,Latin America & Caribbean,High income,CYM,,48
Comoras,Europe & Central Asia,High income,CYP,,49
Congo,Europe & Central Asia,High income,CZE,,50
Islas Cook,Europe & Central Asia,High income,DEU,,51
Costa Rica,Middle East & North Africa,Lower middle income,DJI,,52
Costa de Marfil (Costa de Marfil),Latin America & Caribbean,Upper middle income,DMA,,53
Croacia,Europe & Central Asia,High income,DNK,,54
Cuba,Latin America & Caribbean,Upper middle income,DOM,,55
Curazao,Middle East & North Africa,Lower middle income,DZA,,56
Chipre,Latin America & Caribbean,Upper middle income,ECU,,57
República Checa,Middle East & North Africa,Lower middle income,EGY,,58
República Democrática del Congo,Sub-Saharan Africa,Low income,ERI,,59
Dinamarca,Europe & Central Asia,High income,ESP,,60
Yibuti,Europe & Central Asia,High income,EST,,61
república dominicana,Sub-Saharan Africa,Low income,ETH,,62
República Dominicana,Europe & Central Asia,High income,FIN,,63
Ecuador,East Asia & Pacific,Upper middle income,FJI,,64
Egipto,Europe & Central Asia,High income,FRA,,65
Salvador,Europe & Central Asia,High income,FRO,,66
Guinea Ecuatorial,East Asia & Pacific,Lower middle income,FSM,,67
Eritrea,Sub-Saharan Africa,Upper middle income,GAB,,68
Estonia,Europe & Central Asia,High income,GBR,,69
Esuatini,Europe & Central Asia,Upper middle income,GEO,,70
Etiopía,Sub-Saharan Africa,Lower middle income,GHA,,71
Islas Malvinas,Europe & Central Asia,High income,GIB,,72
Islas Feroe,Sub-Saharan Africa,Lower middle income,GIN,,73
Islas Fiyi,Sub-Saharan Africa,Low income,GMB,,74
Finlandia,Sub-Saharan Africa,Low income,GNB,,75
Francia,Sub-Saharan Africa,Upper middle income,GNQ,,76
Guayana Francesa,Europe & Central Asia,High income,GRC,,77
Polinesia Francesa,Latin America & Caribbean,Upper middle income,GRD,,78
Territorios Australes Franceses,Europe & Central Asia,High income,GRL,,79
Gabón,Latin America & Caribbean,Upper middle income,GTM,,80
Gambia,East Asia & Pacific,High income,GUM,,81
Georgia,Latin America & Caribbean,High income,GUY,,82
Alemania,East Asia & Pacific,High income,HKG,,83
Ghana,Latin America & Caribbean,Lower middle income,HND,,84
Gibraltar,Europe & Central Asia,High income,HRV,,85
Grecia,Latin America & Caribbean,Lower middle income,HTI,,86
Tierra Verde,Europe & Central Asia,High income,HUN,,87
Indonesia,East Asia & Pacific,Upper middle income,IDN,,88
Granada,Europe & Central Asia,High income,IMN,,89
Guadalupe,South Asia,Lower middle income,IND,,90
Guam,Europe & Central Asia,High income,IRL,,91
Guatemala,Middle East & North Africa,Lower middle income,IRN,,92
Guernesey y Alderney,Middle East & North Africa,Upper middle income,IRQ,,93
Guinea,Europe & Central Asia,High income,ISL,,94
Guinea-Bisáu,Middle East & North Africa,High income,ISR,,95
Guayana,Europe & Central Asia,High income,ITA,,96
Haití,Latin America & Caribbean,Upper middle income,JAM,,97
Islas Heard y McDonald,Middle East & North Africa,Lower middle income,JOR,,98
Japón,East Asia & Pacific,High income,JPN,,99
Honduras,Europe & Central Asia,Upper middle income,KAZ,,100
RAE de Hong Kong,Sub-Saharan Africa,Lower middle income,KEN,,101
Hungría,Europe & Central Asia,Lower middle income,KGZ,,102
Islandia,East Asia & Pacific,Lower middle income,KHM,,103
India,East Asia & Pacific,Lower middle income,KIR,,104
Indonesia,Latin America & Caribbean,High income,KNA,,105
Irán,East Asia & Pacific,High income,KOR,,106
Irak,Middle East & North Africa,High income,KWT,,107
Irlanda,East Asia & Pacific,Lower middle income,LAO,,108
Israel,Middle East & North Africa,Lower middle income,LBN,,109
Italia,Sub-Saharan Africa,Low income,LBR,,110
Jamaica,Middle East & North Africa,Upper middle income,LBY,,111
Japón,Latin America & Caribbean,Upper middle income,LCA,,112
Jersey,Europe & Central Asia,High income,LIE,,113
Jordán,South Asia,Lower middle income,LKA,,114
Kazajstán,Sub-Saharan Africa,Lower middle income,LSO,,115
Kenia,Europe & Central Asia,High income,LTU,,116
Kiribati,Europe & Central Asia,High income,LUX,,117
Kosovo,Europe & Central Asia,High income,LVA,,118
Kuwait,East Asia & Pacific,High income,MAC,,119
Kirguistán,Latin America & Caribbean,High income,MAF,,120
Laos,Middle East & North Africa,Lower middle income,MAR,,121
Letonia,Europe & Central Asia,High income,MCO,,122
Líbano,Europe & Central Asia,Upper middle income,MDA,,123
Lesoto,Sub-Saharan Africa,Low income,MDG,,124
Liberia,South Asia,Upper middle income,MDV,,125
Libia,Latin America & Caribbean,Upper middle income,MEX,,126
Liechtenstein,East Asia & Pacific,Upper middle income,MHL,,127
Lituania,Europe & Central Asia,Upper middle income,MKD,,128
Luxemburgo,Sub-Saharan Africa,Low income,MLI,,129
RAE de Macao,Middle East & North Africa,High income,MLT,,130
Madagascar,East Asia & Pacific,Lower middle income,MMR,,131
Malaui,Europe & Central Asia,Upper middle income,MNE,,132
Malasia,East Asia & Pacific,Lower middle income,MNG,,133
Maldivas,East Asia & Pacific,High income,MNP,,134
Malí,Sub-Saharan Africa,Low income,MOZ,,135
Malta,Sub-Saharan Africa,Lower middle income,MRT,,136
Man (Isla de),Sub-Saharan Africa,Upper middle income,MUS,,137
Islas Marshall,Sub-Saharan Africa,Low income,MWI,,138
Martinica,East Asia & Pacific,Upper middle income,MYS,,139
Mauritania,Sub-Saharan Africa,Upper middle income,NAM,,140
Mauricio,East Asia & Pacific,High income,NCL,,141
Mayotte,Sub-Saharan Africa,Low income,NER,,142
México,Sub-Saharan Africa,Lower middle income,NGA,,143
Micronesia,Latin America & Caribbean,Lower middle income,NIC,,144
Moldavia,Europe & Central Asia,High income,NLD,,145
Mónaco,Europe & Central Asia,High income,NOR,,146
Mongolia,South Asia,Lower middle income,NPL,,147
Montenegro,East Asia & Pacific,High income,NRU,,148
Montserrat,East Asia & Pacific,High income,NZL,,149
Marruecos,Middle East & North Africa,High income,OMN,,150
Mozambique,South Asia,Lower middle income,PAK,,151
Birmania,Latin America & Caribbean,High income,PAN,,152
Namibia,Latin America & Caribbean,Upper middle income,PER,,153
Nauru,East Asia & Pacific,Lower middle income,PHL,,154
Nepal,East Asia & Pacific,Upper middle income,PLW,,155
Países Bajos,East Asia & Pacific,Lower middle income,PNG,,156
Nueva Caledonia,Europe & Central Asia,High income,POL,,157
Nueva Zelanda,Latin America & Caribbean,High income,PRI,,158
Nicaragua,East Asia & Pacific,Low income,PRK,,159
Níger,Europe & Central Asia,High income,PRT,,160
Nigeria,Latin America & Caribbean,Upper middle income,PRY,,161
Niue,Middle East & North Africa,Upper middle income,PSE,,162
Isla Norfolk,East Asia & Pacific,High income,PYF,,163
Corea del Norte,Middle East & North Africa,High income,QAT,,164
Macedonia del Norte,Europe & Central Asia,High income,ROU,,165
Islas Marianas del Norte,Europe & Central Asia,Upper middle income,RUS,,166
Noruega,Sub-Saharan Africa,Low income,RWA,,167
Omán,Middle East & North Africa,High income,SAU,,168
Pakistán,Sub-Saharan Africa,Low income,SDN,,169
Palaos,Sub-Saharan Africa,Lower middle income,SEN,,170
Territorio palestino ocupado,East Asia & Pacific,High income,SGP,,171
