Country,Region,Selected,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Afghanistan,Asie,,1,,
Îles Aland,Europe,,2,,
Albanie,Europe,,3,,
Algérie,Afrique,,4,,
Samoa américaine,Océanie,,5,,
Andorre,Europe,,6,,
Angola,Afrique,,7,,
Anguille,Amériques,,8,,
Antarctique,Polaire,,9,,
Antigua et Barbuda,Amériques,,10,,
Argentine,Amériques,,11,,
Arménie,Asie,,12,,
Aruba,Amériques,,13,,
Australie,Océanie,,14,,
Autriche,Europe,,15,,
Azerbaïdjan,Asie,,16,,
Bahreïn,Asie,,17,,
Bangladesh,Asie,,18,,
Barbade,Amériques,,19,,
Biélorussie,Europe,,20,,
Belgique,Europe,,21,,
Belize,Amériques,,22,,
Bénin,Afrique,,23,,
Bermudes,Amériques,,24,,
Bhoutan,Asie,,25,,
Bolivie,Amériques,,26,,
"Bonaire, Sint Eustatius et Saba",Amériques,,27,,
Bosnie et Herzégovine,Europe,,28,,
Botwana,Afrique,,29,,
Île Bouvet,,,30,,
Brésil,Amériques,,31,,
Territoire britannique de l'océan Indien,Afrique,,32,,
Brunei,Asie,,33,,
Bulgarie,Europe,,34,,
Burkina Faso,Afrique,,35,,
Burundi,Afrique,,36,,
Cambodge,Asie,,37,,
Cameroun,Afrique,,38,,
Canada,Amériques,,39,,
Cape Verde,Afrique,,40,,
Îles Caïmans,Amériques,,41,,
République centrafricaine,Afrique,,42,,
Tchad,Afrique,,43,,
Chili,Amériques,,44,,
Chine,Asie,,45,,
Île de Noël,Océanie,,46,,
Îles Cocos (Keeling),Océanie,,47,,
Colombie,Amériques,,48,,
Comores,Afrique,,49,,
Congo,Afrique,,50,,
Îles cuisinées,Océanie,,51,,
Costa Rica,Amériques,,52,,
Côte d'Ivoire (Côte d'Ivoire),Afrique,,53,,
Croatie,Europe,,54,,
Cuba,Amériques,,55,,
Curacao,Amériques,,56,,
Chypre,Europe,,57,,
République tchèque,Europe,,58,,
République démocratique du Congo,Afrique,,59,,
Danemark,Europe,,60,,
Djibouti,Afrique,,61,,
Dominique,Amériques,,62,,
République dominicaine,Amériques,,63,,
Equateur,Amériques,,64,,
Egypte,Afrique,,65,,
El Salvador,Amériques,,66,,
Guinée équatoriale,Afrique,,67,,
Érythrée,Afrique,,68,,
Estonie,Europe,,69,,
Eswatini,Afrique,,70,,
Ethiopie,Afrique,,71,,
Îles Falkland,Amériques,,72,,
Îles Féroé,Europe,,73,,
Îles Fidji,Océanie,,74,,
Finlande,Europe,,75,,
France,Europe,,76,,
Guyane française,Amériques,,77,,
Polynésie française,Océanie,,78,,
Territoires du Sud français,Afrique,,79,,
Gabon,Afrique,,80,,
Gambie le,Afrique,,81,,
Géorgie,Asie,,82,,
Allemagne,Europe,,83,,
Ghana,Afrique,,84,,
Gibraltar,Europe,,85,,
Grèce,Europe,,86,,
Groenland,Amériques,,87,,
Grenade,Amériques,,89,,
Guadeloupe,Amériques,,90,,
Guam,Océanie,,91,,
Guatemala,Amériques,,92,,
Guernesey et Alderney,Europe,,93,,
Guinée,Afrique,,94,,
