Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acremônio,63996006.0,SNOMED,fungi,1,,
Adenoviridae,424470006.0,SNOMED,virus,2,,
Ancilostoma duodenale,81559006.0,SNOMED,"parasite, helminth",3,,
Ortohantavírus dos Andes,442001008.0,SNOMED,virus,4,,
Arenaviridae,243624009.0,SNOMED,virus,5,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,,
Aspergillus,2429008.0,SNOMED,fungi,7,,
Aspergillus flavus,66821001.0,SNOMED,fungi,8,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,,
Complexo Aspergillus fumigatus,719029007.0,SNOMED,fungi,10,,
Aspergillus niger,89354002.0,SNOMED,fungi,11,,
Aspergillus terreus,26406003.0,SNOMED,fungi,12,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,,
Astroviridae,424055004.0,SNOMED,virus,14,,
Gripe Aviária A H5N1,772827006.0,SNOMED,virus,15,,
Gripe Aviária A H7N9,609444009.0,SNOMED,virus,16,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,,
Blastomyces dermatitedis,65615007.0,SNOMED,fungi,18,,
Bocavírus (gênero),430902006.0,SNOMED,virus,19,,
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",20,,
Bunyaviridae (família),243615000.0,SNOMED,virus,21,,
Caliciviridae (família),243627002.0,SNOMED,virus,22,,
Cândida,3265006.0,SNOMED,fungi,23,,
Candida albicans,53326005.0,SNOMED,fungi,24,,
Candida auris,3490000000000.0,SNOMED,fungi,25,,
Candida dubliniensis,115952006.0,SNOMED,fungi,26,,
Candida glabrata,444877006.0,SNOMED,fungi,27,,
Candida imperceptível,283871001.0,SNOMED,fungi,28,,
Candida ortopsilose,3690000000000.0,SNOMED,fungi,29,,
Candida parapsilosis,61302002.0,SNOMED,fungi,30,,
Candida tropicalis,47885008.0,SNOMED,fungi,31,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,,
Coccidioides,8672004.0,SNOMED,fungi,34,,
Coccidioides immitis,23439005.0,SNOMED,fungi,35,,
Coronaviridae (família),243607003.0,SNOMED,virus,36,,
Vírus da Febre Hemorrágica da Crimeia-Congo (CCHF),79875007.0,SNOMED,virus,37,,
Criptococcus gattii,450862004.0,SNOMED,fungi,38,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,39,,
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",40,,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",41,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",42,,
Curvularia lunata,33165007.0,SNOMED,fungi,43,,
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",44,,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45,,
Citomegalovírus,407444007.0,SNOMED,virus,46,,
Deltavírus,83617006.0,SNOMED,virus,47,,
Vírus da dengue,34348001.0,SNOMED,virus,48,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50,,
Vírus Ébola,424206003.0,SNOMED,virus,51,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",53,,
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",54,,
Entamoeba histolítica,4716008.0,SNOMED,"parasite, protozoa",55,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",56,,
Enterovírus (gênero Enterovírus),243633006.0,SNOMED,virus,57,,
Epidermófiton,112403007.0,SNOMED,fungi,58,,
Exophiala dermatite,20586007.0,SNOMED,fungi,59,,
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,60,,
Filoviridae (família),407325004.0,SNOMED,virus,61,,
Flaviviridae (família),243602009.0,SNOMED,virus,62,,
Fungos,414561005.0,SNOMED,fungi,63,,
Fusarium,35238009.0,SNOMED,fungi,64,,
Gênero Marburgvirus,424421007.0,SNOMED,virus,65,,
Giárdia,61419001.0,SNOMED,"parasite, protozoa",66,,
Giárdia intestinal,78181009.0,SNOMED,"parasite, protozoa",67,,
Giárdia lamblia,78181009.0,SNOMED,"parasite, protozoa",68,,
Hantavírus,49445003.0,SNOMED,virus,69,,
Vírus Hendra,115510008.0,SNOMED,virus,70,,
Hepadnaviridae,422951006.0,SNOMED,virus,71,,
Vírus da hepatite A,32452004.0,SNOMED,virus,72,,
Vírus da hepatite B,81665004.0,SNOMED,virus,73,,
Vírus da hepatite C,62944002.0,SNOMED,virus,74,,
Hepatite D,83617006.0,SNOMED,virus,75,,
Vírus da hepatite E,78475006.0,SNOMED,virus,76,,
Herpesviridae,128377001.0,SNOMED,virus,77,,
Histoplasma,81951003.0,SNOMED,fungi,78,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,79,,
"Herpesvírus humano 1 (HHV1, vírus Herpes simplex 1, HSV1)",407451003.0,SNOMED,virus,80,,
"Herpesvírus humano 2 (HHV2, vírus Herpes Simplex 2, HSV2)",407450002.0,SNOMED,virus,81,,
"Herpesvírus humano 3 (vírus Varicella-zoster, VZV)",19551004.0,SNOMED,virus,82,,
"Herpesvírus humano 4 (vírus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,83,,
"Herpesvírus humano 5 (Citomegalovírus humanbeta5, hCMV)",243579005.0,SNOMED,virus,84,,
Herpesvírus humano 6 (vírus Roseola infantum),103528003.0,SNOMED,virus,85,,
Vírus da Imunodeficiência Humana (HIV),19030005.0,SNOMED,virus,86,,
Vírus da imunodeficiência humana tipo 1 (HIV-1),89293008.0,SNOMED,virus,87,,
Vírus da imunodeficiência humana tipo 2 (HIV-2),36115006.0,SNOMED,virus,89,,
Metapneumovírus Humano (hMPV),416730002.0,SNOMED,virus,90,,
Vírus Parainfluenza Humano,407498006.0,SNOMED,virus,91,,
Vírus Parainfluenza Humano 1,407489008.0,SNOMED,virus,92,,
Vírus Parainfluenza Humano 2,407491000.0,SNOMED,virus,93,,
