Paper-like section,Text,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Título,Core CRF isaric,,
Diseño de este formulario de informe de caso (CRF),Este CRF está configurado en módulos para ser utilizados para grabar datos en [Project_Name].  Una plantilla para las instrucciones de finalización está a continuación. Esto debe adaptarse a los objetivos de su recopilación de datos.,,
Formulario de presentación,Siempre complete el primer día de presentación/admisión/evaluación.,,
Formulario de presentación,Tiempo / eventos: admisión hospitalaria / evaluación inicial,,
Forma diaria,Siempre complete el primer día de presentación/admisión/evaluación,,
Forma diaria,"Si corresponde, complete el día de admisión a la UCI/Unidad de Dependencia/Cuidado crítico (si es una fecha diferente a la fecha de la primera presentación/admisión)",,
Forma diaria,Opción para completar los días en que se toman muestras específicas de la investigación,,
Forma diaria,Opción para completar diariamente si es de interés para un análisis específico.,,
Forma diaria,Tiempo / Eventos: Admisión al hospital / Evaluación inicial | Admisión a la UCI (si corresponde) | Muestra de investigación tomada (opcional) | Según el protocolo del sitio (opcional),,
Forma de resultado,Siempre complete al alta o muerte o al final del período de estudio,,
Forma de resultado,Tiempo / eventos: alta / muerte / fin de estudio,,
Formulario de seguimiento,Tiempo /eventos: según el protocolo del sitio (opcional),,
Formulario de retiro,Tiempo /eventos: según el protocolo del sitio (opcional),,
Detalles de seguimiento,Continúe haciendo un seguimiento de los pacientes que se transfieren entre salas.,,
Tiempo /eventos,Admisión al hospital / Evaluación inicial | Admisión a la UCI (si corresponde) | Muestra de investigación tomada (opcional) | Según el protocolo del sitio (opcional) | Descarga / muerte / fin de estudio,,
Guía general,Póngase en contacto con el Centro de Soporte Global de Isaric en data@isaric.org,,
Guía general,"El CRF está diseñado para recopilar datos obtenidos a través del examen, la entrevista, la revisión de las notas del hospital o la extracción de los registros de salud electrónicos.  Los datos se pueden recopilar prospectiva o retrospectivamente si el paciente está inscrito después de la fecha de presentación a un centro de salud.",,
Guía general,Consulte la guía de finalización de CRF para obtener una guía detallada sobre cómo completar estos formularios.,,
Guía general,"Su institución puede capturar datos: <br/> (a) en la base de datos REDCAP alojada de ISARIC - Póngase en contacto con Isaric para acceder, <br/> (b) a una base de datos REDCAP alojada en su institución - Póngase en contacto con Isaric si desea que el soporte establezca para establecer Esto, o <br/> (c) en una base de datos o un sistema de registros de salud electrónico en su institución: comuníquese con Isaric para admitir el mapeo de datos.",,
Guía general,"Los números de identificación de participantes consisten en un código de sitio de 5 dígitos y un número de participante de 4 dígitos. <br/> Obtenga un código de sitio y regístrese en el sistema de gestión de datos contactando a ISARIC.  Los números de los participantes deben asignarse secuencialmente para cada sitio que comience con 0001 o en bloques, posiblemente incluyendo caracteres alfa, cuando sea útil.  Por ejemplo, Ward X asignará números desde 0001 o A001 en adelante y Ward Y asignará números de 5001 o B001 en adelante.",,
Guía general,"Para los participantes que regresan para la readmisión al mismo sitio, comience un nuevo formulario con un número de identificación de participantes diferente. Verifique ""YES-admitido previamente a esta instalación"" en la sección de readmisión. Ingrese como 2 registros separados si está utilizando una base de datos REDCAP (o similar).",,
Guía general,"Para los participantes que transfieren entre dos sitios que están recopilando datos en este formulario, se prefiere tener los datos ingresados ​​por un solo sitio como una sola admisión, bajo el mismo número de identificación de participantes. Cuando esto no es posible, el primer sitio debe registrar ""transferir a otra instalación"" como resultado, y el segundo sitio debe iniciar un nuevo formulario con un nuevo número de paciente e indicar ""sí ... ... luego transferido a esta instalación"" en la RE -Admisión y sección PIN anterior.",,
Guía general,Las selecciones con círculos () son selección única (elija una sola respuesta). Las selecciones con cuadros cuadrados () son selección múltiple (elija tantas respuestas que sean aplicables). Unk = desconocido,,
