Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,presentación,,Número de identificación del participante (PIN),,El número de identificación o PIN del participante es un número único utilizado para identificar los datos del paciente (del participante).,Escriba el número de identificación del participante (PIN).,,
inclu_phiinfect,presentación,Criterios de inclusión,Infección comprobada con patógeno de interés de salud pública,"1, sí | 0, no",,,,
inclu_phisusp,presentación,Criterios de inclusión,"Alta sospecha de exposición al patógeno, agente nocivo o energía dañina del interés de salud pública","1, sí | 0, no",,,,
inclu_disease,presentación,Criterios de inclusión,Infección sospechada o confirmada,,Esto se refiere a cualquier infección sospechada o confirmada.,"Si se sospecha más de una infección, seleccione lo más probable y complete la sección de pruebas de patógenos con confirmación de laboratorio.",,
inclu_reason,presentación,Criterios de inclusión,¿Es la infección sospecha o confirmada el motivo del ingreso hospitalario?,"1, sí | 0, no | 99, desconocido",Esto se refiere a si la infección sospechada o confirmada con el patógeno de interés si la razón (indicación) para el ingreso hospitalario.,Indique 'sí' si se sospecha o confirma la infección con el patógeno de interés si la razón (indicación) para el ingreso hospitalario. Indique 'no' si la infección sospechada o confirmada con el patógeno de interés no es la razón (indicación) para el ingreso hospitalario.,,
inclu_case,presentación,Criterios de inclusión,Estado del caso,"1, confirmado | 2, probable | 3, sospecha | 4, descartado | 5, error",,Seleccione la opción más apropiada que represente el estado del caso.,,
test_reason,presentación,Criterios de inclusión,Razón por qué el paciente fue probado,"1, sintomático | 2, Asintomático, con el contacto de contacto | 3, Campaña asintomática de pruebas masivas | 4, no probado",Esto se refiere a la razón por la cual el paciente fue probado para el patógeno de interés.,Seleccione la opción más apropiada que corresponde a la razón por la cual el paciente fue probado para el patógeno de interés.,,
inclu_pathreg,presentación,Criterios de inclusión,Región de infección,"1, endémico | 2, emergente | 99, desconocido",,,,
inclu_fever,presentación,Criterios de inclusión,¿El paciente ha informado / midió fiebre (temperatura axilar> 38.5 ° C [101.3 ° F])?,"1, sí | 0, no",Se refiere a un paciente informado o una fiebre medida (temperatura axilar> 38.5 ° C [101.3 ° F]) en esta enfermedad actual.,"Indique 'sí', si el paciente cumple con este criterio de inclusión. Si 'no', entonces el paciente no cumple con los criterios de inclusión, no continúe con este formulario de informe de caso.",,
inclu_enceph,presentación,Criterios de inclusión,"¿El paciente tiene evidencia de patología cerebral aguda (por ejemplo, estado mental alterado, nuevas convulsiones de inicio o un nuevo déficit neurológico, ya sea difuso o localizado en el cerebro).","1, sí | 0, no","Se refiere a la presencia de patología cerebral aguda en esta enfermedad actual. Esto puede incluir el estado mental alterado, las nuevas convulsiones de inicio o el nuevo déficit neurológico, ya sea difuso o localizado en el cerebro, identificado por el clínico tratante.","Indique 'sí', si el paciente cumple con este criterio de inclusión. Si 'no', entonces el paciente no cumple con los criterios de inclusión, no continúe con este formulario de informe de caso.",,
inclu_iccddrpat,presentación,Criterios de inclusión,"El participante está inscrito en el Programa de Vigilancia NIV de ICDDR, B-IDIR.","1, sí | 0, no",Este es un requisito de inclusión en este estudio.,"Indique 'sí', si el paciente cumple con este criterio de inclusión. Si 'no', entonces el paciente no cumple con los criterios de inclusión, no continúe con este formulario de informe de caso.",,
inclu_consent,presentación,Criterios de inclusión,El participante (o su representante) ha dado su consentimiento para participar en este estudio.,"1, sí | 0, no",Esto se refiere a la provisión de consentimiento informado por parte del paciente o su representante para la participación en este estudio.,Indique 'sí' si el paciente o su representante han proporcionado su consentimiento informado para participar en este estudio.,,
inclu_consent_date,presentación,Criterios de inclusión,Fecha de consentimiento,,Esto se refiere a la provisión de consentimiento informado por parte del paciente o su representante para la participación en este estudio.,Escriba la fecha en que se dio el consentimiento informado para la inclusión de los participantes en este estudio. Use el formato DD/MM/A yyyy.,,
inclu_consni,presentación,Criterios de inclusión,Opciones de consentimiento (seleccione todo a lo que el paciente estuvo de acuerdo),"1, estoy de acuerdo en que mis datos pueden usarse para otras investigaciones aprobadas éticamente no relacionadas en el Reino Unido o en otros lugares. | 2, estoy de acuerdo en que mis datos se pueden usar para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales. | 3, estoy de acuerdo en que mis datos no identificados y los resultados de los análisis pueden compartirse con otros científicos, incluidos los de otros países. | 4, acepto ser contactado por los investigadores para ser invitados a participar en el trabajo futuro, incluidos los estudios de investigación.",,Seleccione todo lo que se aplique.,,
inclu_conuk,presentación,Criterios de inclusión,"En Escocia e Irlanda del Norte, certifico que se ha obtenido el consentimiento para la recopilación de datos confidenciales, incluidos los identificadores personales:
NÓTESE BIEN. Según el Reglamento 3 del Servicio de Salud (Control de la Información del Paciente) Regulaciones 2002 (COPI), el consentimiento no es necesario para la recopilación de información confidencial del paciente con identificadores personales (datos) en Inglaterra y Gales durante un caso de interés de salud pública o sus consecuencias .","1, sí | 2, no | 99, desconocido",,,,
inclu_conukdna,presentación,Criterios de inclusión,"En todos los países del Reino Unido, se ha obtenido el consentimiento para la recolección de muestras, incluido el ADN:","1, sí | 2, no | 99, desconocido",,,,
inclu_conukops,presentación,Criterios de inclusión,Opciones de consentimiento (seleccione todo a lo que el paciente estuvo de acuerdo),"1, los datos y las muestras pueden usarse para otras investigaciones aprobadas éticamente no relacionadas en el Reino Unido o en otros lugares | 2, los datos y las muestras se pueden utilizar para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales | 3, los datos desidentificados y los resultados de los análisis, se pueden compartir con otros científicos, incluidos los de otros países | 4, los investigadores pueden ser contactados para ser invitados a ser invitados a participar en trabajos futuros, incluidos estudios de investigación.",,Seleccione todo lo que se aplique.,,
inclu_cons,presentación,Criterios de inclusión,Consentimiento isarico,,,,,
inclu_cons_yn,presentación,Criterios de inclusión,El paciente acepta participar en este estudio de investigación,"1, sí | 0, no",,,,
inclu_cons_who,presentación,Criterios de inclusión,Consentimiento proporcionado por,"1, paciente | 2, padre/tutor | 3, consultor",,,,
inclu_cons_rsch,presentación,Criterios de inclusión,Uso futuro de los datos en la investigación aprobada éticamente,"1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_futgen,presentación,Criterios de inclusión,Uso futuro de datos genéticos,"1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_futsmpl,presentación,Criterios de inclusión,Uso futuro de muestras,"1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_nstudy,presentación,Criterios de inclusión,Contactado en el futuro para otros estudios,"1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_photo,presentación,Criterios de inclusión,"Estoy de acuerdo en que las fotografías digitales de partes relevantes de mi cuerpo pueden tomarse como parte de este estudio, y puedo negarme a tener áreas específicas de mi cuerpo fotografiadas.","1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_usage,presentación,Criterios de inclusión,Permito que el consentimiento opcional sea utilizado por,"1, otros investigadores | 2, entidades comerciales (excluyendo compañías de seguros)",,,,
exclu_othdiag,presentación,Criterios de exclusión,¿El paciente tiene un diagnóstico no infeccioso alternativo claro (ya sea un diagnóstico clínico o confirmado de laboratorio / imagen) que explica la presentación aguda?,"1, sí | 0, no",,"Indique 'sí', si hay un diagnóstico claro no infeccioso que explica esta presentación aguda. Si 'sí', el paciente cumple este criterio de exclusión, no continúe con este formulario de informe de caso.",,
dates_onsetdate,presentación,Inicio y presentación,Fecha de inicio del primer / primer síntoma,,Esto se refiere a la fecha de inicio del primer / primer síntoma que está clínicamente relacionado con el episodio actual de enfermedad.,Proporcione la fecha del primer síntoma que cree clínicamente estaba relacionado con este episodio de enfermedad en formato DD/MM/A yyyy.,,
dates_consult,presentación,Inicio y presentación,Fecha de la primera consulta clínica,,Esto se refiere a la fecha de la primera consulta clínica relacionada con el episodio actual de enfermedad.,Proporcione la fecha de la primera consulta clínica relacionada con el episodio actual de enfermedades en formato DD/MM/YYYY.,,
dates_case,presentación,Inicio y presentación,El caso de la fecha se informó por primera vez,,,,,
