Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,présentation,,Numéro d'identification du participant (PIN),,Le numéro d'identification ou le PIN des participants est un numéro unique utilisé pour identifier les données du patient (participant).,Écrivez le numéro d'identification des participants (PIN).,,
inclu_disease,présentation,Critères d'inclusion,Infection suspectée ou confirmée,,Cela fait référence à toute infection suspectée ou confirmée.,"Si plus d'une infection est suspectée, sélectionnez la section de test des agents pathogènes et complétez la section des agents de pathogène avec confirmation de laboratoire.",,
inclu_reason,présentation,Critères d'inclusion,L'infection suspectée ou confirmée est-elle la raison de l'admission à l'hôpital ?,"1, oui | 0, non | 99, inconnu",Cela fait référence à l'infection suspectée ou confirmée par l'agent pathogène d'intérêt si la raison (indication) de l'admission à l'hôpital.,Indiquez «oui» si une infection suspectée ou confirmée par l'agent pathogène d'intérêt si la raison (indication) de l'admission à l'hôpital. Indiquez «non» si l'infection suspectée ou confirmée par l'agent pathogène d'intérêt n'est pas la raison (indication) de l'admission à l'hôpital.,,
inclu_case,présentation,Critères d'inclusion,Statut du cas,"1, confirmé | 2, probable | 3, suspecté | 4, jeté | 5, erreur","Confirmé fait référence à un cas confirmé en laboratoire et peut remplir les critères cliniques comme décrit dans la définition du cas. Probable fait référence à une maladie cliniquement compatible qui est liée épidémiologiquement à un cas confirmé sans confirmation de laboratoire de l'infection par un agent pathogène d'intérêt. Soupçonné se réfère à une maladie cliniquement compatible sans lien épidémiologique ni confirmation de laboratoire. Je suis rejeté fait référence à un patient avec un test de laboratoire négatif et n'a pas réussi à remplir les critères d'un cas suspect, probable ou confirmé.",Sélectionnez l'option la plus appropriée qui représente l'état du boîtier.,,
inclu_testreason,présentation,Critères d'inclusion,Raison pour laquelle le patient a été testé,"1, symptomatique | 2, asymptomatique, tracé en contact | 3, Campagne asymptomatique de test de masse | 4, non testé",Cela fait référence à la raison pour laquelle le patient a été testé pour le pathogène d'intérêt.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour le pathogène d'intérêt.,,
inclu_consentdes,présentation,Critères d'inclusion,Consentement,,,,,
inclu_consent,présentation,Critères d'inclusion,Le participant (ou son représentant) a donné son consentement pour participer à cette étude.,"1, oui | 0, non, le participant n'a pas accepté de participer à l'étude | 2, non, le comité d'éthique a approuvé une renonciation au consentement | 99, inconnu",Cela fait référence à la fourniture d'un consentement éclairé par le patient ou à leur représentant pour participer à cette étude.,Indiquez «oui» si le patient ou son représentant a donné son consentement éclairé pour la participation à cette étude.,,
inclu_consent_date,présentation,Critères d'inclusion,Date du consentement,,Cela se réfère à ce jour à laquelle un consentement éclairé a été donné pour l'inclusion des participants dans cette étude.,Écrivez la date à laquelle le consentement éclairé a été donné pour l'inclusion des participants dans cette étude. Utilisez le format DD / MM / YYYY.,,
inclu_consent_who,présentation,Critères d'inclusion,Consentement donné par,"1, participant | 2, parent / tuteur | 3, consulté | 4, clinicien indépendant",Cela fait référence à qui a donné le consentement à la participation à cette étude.,Sélectionnez l'option la plus appropriée qui représente qui a donné le consentement à la participation à cette étude.,,
inclu_consent_whopg,présentation,Critères d'inclusion,L'enfant ou l'adolescent donne-t-il son accord ?,"1, oui | 0, non | 2, pas compétent","Cela fait référence à l'assentiment donné par un mineur ou un adulte qui n'est pas en mesure de donner son consentement en leur nom, pour participer à une étude. L'assentiment doit être accompagné du consentement d'un parent ou d'un tuteur légal pour toute participation à l'étude.",Sélectionnez l'option la plus appropriée qui représente si l'assentiment a été fourni pour participer à cette étude.,,
