Paper-like section,Text,Paper-like section_translation,Text_translation,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Title,ISARIC CORE CRF,Titre,CRF de base ISARIC,,
DESIGN OF THIS CASE REPORT FORM (CRF),This CRF is set up in modules to be used for recording data on [PROJECT_NAME].  A template for completion instructions is below. This should be tailored to the objectives of your data collection.,CONCEPTION DE CE FORMULAIRE DE RAPPORT DE CAS (CRF),Ce CRF est configuré en modules pour être utilisé pour enregistrer des données sur [PROJECT_NAME]. Vous trouverez ci-dessous un modèle d'instructions de remplissage. Il doit être adapté aux objectifs de votre collecte de données.,,
PRESENTATION FORM, ALWAYS complete on the first day of presentation/admission/assessment. ,FICHE DE PRÉSENTATION,TOUJOURS compléter le premier jour de présentation/admission/évaluation.,,
PRESENTATION FORM,Timing /Events: Hospital admission / initial assessment,FICHE DE PRÉSENTATION,Moment/Événements : Admission à l'hôpital / évaluation initiale,,
DAILY FORM, ALWAYS complete on the first day of presentation/admission/assessment,FORME QUOTIDIENNE,TOUJOURS compléter le premier jour de présentation/admission/évaluation,,
DAILY FORM," IF APPLICABLE, complete on the day of admission to ICU/high dependency unit/critical care (if different date to the date of first presentation/admission)",FORME QUOTIDIENNE,"LE CAS ÉCHÉANT, remplir le jour de l'admission en USI/unité de soins intensifs/soins intensifs (si la date est différente de la date de la première présentation/admission)",,
DAILY FORM, OPTION to complete on days that research specific samples are taken,FORME QUOTIDIENNE,OPTION à compléter les jours où des échantillons spécifiques à la recherche sont prélevés,,
DAILY FORM, OPTION to complete daily if of interest for specific analysis. ,FORME QUOTIDIENNE,OPTION à compléter quotidiennement si cela présente un intérêt pour une analyse spécifique.,,
DAILY FORM,Timing /Events: Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional),FORME QUOTIDIENNE,Moment/Événements : Admission à l'hôpital / évaluation initiale | Admission aux soins intensifs (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole du site (facultatif),,
OUTCOME FORM, ALWAYS complete at discharge or death or at the end of the study period,FORMULAIRE DE RÉSULTAT,TOUJOURS compléter à la sortie ou au décès ou à la fin de la période d'étude,,
OUTCOME FORM,Timing /Events: Discharge / death / end of study,FORMULAIRE DE RÉSULTAT,Moment/Événements : Sortie / décès / fin de l'étude,,
FOLLOW-UP FORM,Timing /Events: As per site protocol (optional),FORMULAIRE DE SUIVI,Horaire/Événements : Selon le protocole du site (facultatif),,
WITHDRAWAL FORM,Timing /Events: As per site protocol (optional),FORMULAIRE DE RETRAIT,Horaire/Événements : Selon le protocole du site (facultatif),,
Follow-up details,Continue to follow-up patients who transfer between wards.,Détails de suivi,Continuer à suivre les patients qui sont transférés d’un service à l’autre.,,
Timing /Events,Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional) | Discharge / death / end of study,Calendrier / événements,Admission à l'hôpital / évaluation initiale | Admission aux soins intensifs (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole du site (facultatif) | Sortie / décès / fin de l'étude,,
GENERAL GUIDANCE,Contact ISARIC Global Support Centre at data@isaric.org,ORIENTATION GÉNÉRALE,Contactez le centre d'assistance mondial ISARIC à l'adresse data@isaric.org,,
GENERAL GUIDANCE,"The CRF is designed to collect data obtained through examination, interview, review of hospital notes, or extraction from electronic health records.  Data may be collected prospectively or retrospectively if the patient is enrolled after the date of presentation to a health facility. ",ORIENTATION GÉNÉRALE,"Le CRF est conçu pour recueillir des données obtenues par examen, entretien, examen des notes d'hôpital ou extraction de dossiers médicaux électroniques. Les données peuvent être collectées de manière prospective ou rétrospective si le patient est inscrit après la date de présentation dans un établissement de santé.",,
GENERAL GUIDANCE,Please refer to the CRF Completion Guideline for detailed guidance on how to complete these forms.,ORIENTATION GÉNÉRALE,Veuillez vous référer au Guide de remplissage du CRF pour obtenir des conseils détaillés sur la façon de remplir ces formulaires.,,
GENERAL GUIDANCE,"Your institution may capture data: <br/>(a) on the ISARIC hosted REDCap database - contact ISARIC for access, <br/>(b) to a REDCap database hosted at your institution - contact ISARIC if you would like support to set this up, or<br/>(c) on a database or electronic health record system at your institution - contact ISARIC to support data mapping.  ",ORIENTATION GÉNÉRALE,"Votre établissement peut capturer des données : <br/>(a) dans la base de données REDCap hébergée par ISARIC - contactez ISARIC pour y accéder, <br/>(b) dans une base de données REDCap hébergée dans votre établissement - contactez ISARIC si vous souhaitez une assistance pour la configuration, ou<br/>(c) dans une base de données ou un système de dossiers médicaux électroniques dans votre établissement - contactez ISARIC pour prendre en charge le mappage des données.",,
GENERAL GUIDANCE,"Participant Identification Numbers consist of a 5-digit site code and a 4-digit participant number. <br/>Please obtain a site code and register on the data management system by contacting ISARIC.  Participant numbers should be assigned sequentially for each site beginning with 0001 or in blocks, possibly including alpha characters, where useful.  E.g., Ward X will assign numbers from 0001 or A001 onwards and Ward Y will assign numbers from 5001 or B001 onwards.",ORIENTATION GÉNÉRALE,"Les numéros d'identification des participants se composent d'un code de site à 5 chiffres et d'un numéro de participant à 4 chiffres. Veuillez obtenir un code de site et vous inscrire sur le système de gestion des données en contactant l'ISARIC. Les numéros de participants doivent être attribués séquentiellement pour chaque site en commençant par 0001 ou par blocs, éventuellement en incluant des caractères alphabétiques, si nécessaire. Par exemple, le service X attribuera des numéros à partir de 0001 ou A001 et le service Y attribuera des numéros à partir de 5001 ou B001.",,
GENERAL GUIDANCE,"For participants who return for re-admission to the same site, start a new form with a different Participant Identification Number. Please check ""YES-admitted previously to this facility"" in the RE-ADMISSION section. Enter as 2 separate records if you are using a REDCap (or similar) database. ",ORIENTATION GÉNÉRALE,"Pour les participants qui reviennent pour être réadmis dans le même établissement, commencez un nouveau formulaire avec un numéro d'identification de participant différent. Veuillez cocher « OUI - admis précédemment dans cet établissement » dans la section RÉADMISSION. Saisissez 2 enregistrements distincts si vous utilisez une base de données REDCap (ou similaire).",,
GENERAL GUIDANCE,"For participants who transfer between two sites that are both collecting data on this form, it is preferred to have the data entered by a single site as a single admission, under the same Participant Identification Number. When this is not possible, the first site should record ""Transfer to other facility"" as an OUTCOME, and the second site should start a new form with a new patient number and indicate ""YES-… then transferred to this facility"" in the RE-ADMISSION AND PREVIOUS PIN section. ",ORIENTATION GÉNÉRALE,"Pour les participants qui sont transférés entre deux sites qui collectent tous deux des données sur ce formulaire, il est préférable que les données soient saisies par un seul site dans le cadre d'une admission unique, sous le même numéro d'identification du participant. Lorsque cela n'est pas possible, le premier site doit enregistrer « Transfert vers un autre établissement » comme RÉSULTAT, et le deuxième site doit commencer un nouveau formulaire avec un nouveau numéro de patient et indiquer « OUI-… puis transféré dans cet établissement » dans la section RÉADMISSION ET CODE PIN PRÉCÉDENT.",,
GENERAL GUIDANCE,Selections with circles () are single selection (choose one answer only). Selections with square boxes () are multiple selection (choose as many answers as are applicable). Unk = Unknown,ORIENTATION GÉNÉRALE,Les sélections avec des cercles () sont des sélections uniques (choisissez une seule réponse). Les sélections avec des cases carrées () sont des sélections multiples (choisissez autant de réponses que nécessaire). Unk = Inconnu,,
