Microorganism,Code,Library,Type,Selected,preset_Syndrome_VHF,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acromobacter,91620006.0,SNOMED,bacteria,,,,,
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,,,,,
Acinetobacter,7757008.0,SNOMED,bacteria,,,,,
Bactéria acinetobacter anitratus,82550008.0,SNOMED,bacteria,,,,,
Bactéria Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,,,,
Complexo Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,,,,,
Acremônio,63996006.0,SNOMED,fungi,,,,,
Actinomyces israelii,46369004.0,SNOMED,bacteria,,,,,
Adenovírus,424470006.0,SNOMED,virus,,,,,
Aeromonas,88529008.0,SNOMED,bacteria,,,,,
Bactérias agregadas,441718002.0,SNOMED,bacteria,,,,,
Bactérias anaeróbicas,59343002.0,SNOMED,bacteria,,,,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,,,
Orthohantavirus dos Andes,442001008.0,SNOMED,virus,,,,,
Arenaviridae,243624009.0,SNOMED,virus,,,,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,
Aspergillus,2429008.0,SNOMED,fungi,,,,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,
Complexo Aspergillus fumigatus,719029007.0,SNOMED,fungi,,,,,
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,
Astrovírus,424055004.0,SNOMED,virus,,,,,
Gripe Aviária A H5N1,772827006.0,SNOMED,virus,1.0,,,,
Gripe Aviária A H7N9,609444009.0,SNOMED,virus,1.0,,,,
Bacilo,44762009.0,SNOMED,bacteria,,,,,
Bacilo antracis,21927003.0,SNOMED,bacteria,,,,,
Bacilo cereus,84408007.0,SNOMED,bacteria,,,,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,,,
Bocavírus (Gênero),430902006.0,SNOMED,virus,,,,,
Bordetella pertussis,5247005.0,SNOMED,bacteria,,,,,
Brugia malaia,112443002.0,SNOMED,"parasite, helminth",,,,,
Bunyaviridae (Família),243615000.0,SNOMED,virus,,,,,
Burkholderia,414324002.0,SNOMED,bacteria,,,,,
