Drugs,Code, Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"0,18%-0,3% Cloruro de Sodio + 4% Glucosa (Solución salina hipotónica con dextrosa)",,,,,,1,,,1,1,,,1,,
"0,45 % de cloruro de sodio (solución salina medio normal)",,,,,,1,,,1,1,,,2,,
"Solución salina normal al 0,45 % + glucosa al 4 % (solución salina medio normal con dextrosa)",,,,,,1,,,1,1,,,3,,
"0,9 % cloruro de sodio (solución salina normal)",,,,,,1,,,1,1,,,4,,
5% Glucosa (Dextrosa 5% en Agua),,,,,,1,,,1,1,,,5,,
Albúmina,,,,,,1,,,1,1,,,6,,
gelatinas,,,,,,1,,,1,1,,,7,,
Timbres lactatos (USP),,,,,,1,,,1,1,,,8,,
plasmalito,,,,,,1,,,1,1,,,9,,
Acetato de timbres,,,,,,1,,,1,1,,,10,,
Almidones,,,,,,1,,,1,1,,,11,,
