Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Beclometasona (Beclometasone, Beconase)",R03BA01,ATC,,,,,,,,,,,1,,
"Betametasona (Celestone, Betnelan)",H02AB01,ATC, ,,,,,,,,,,2,,
Budesonide (pulmicort),R03BA02,ATC,,,,,,,,,,,3,,
Cortisona (cortone),H02AB10 ,ATC,,,,,,1.0,,,,,4,,
"Dexametasona (decadrón, dexasone, diodex)",H02AB02,ATC,1,,1.0,,1.0,,1.0,1.0,1.0,,5,,
"Fludrocortisona (Astonin, Florinef)",H02AA02,ATC,,,,,,,,,,,6,,
"Fluticasona (Flovente, Flonase)",R03BA05,ATC,,,,,,,,,,,7,,
"Hidrocortisona (Cortef, Solu-Cortef)",H02AB09,ATC,1,,1.0,,1.0,,1.0,1.0,1.0,,8,,
"Metilprednisolona (Medrol, Solu-Medrol)",H02AB04 ,ATC,1,,1.0,,1.0,,1.0,1.0,1.0,,9,,
"Mometasone (Asmanex, Elocon, Nasonex)",R03BA07,ATC,,,,,,,,,,,10,,
"Prednisolona (prelone, orapred)",H02AB06 ,ATC,1,,1.0,,,,1.0,1.0,,,11,,
Prednisona (Deltasone),H02AB07 ,ATC,1,,,,1.0,,,,1.0,,12,,
"Triamcinolona (Kenalog, Aristocort)",H02AB08 ,ATC, ,,,,,,,,,,13,,
