Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_ARI,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Amikacina (amikin, biodacina, miacina)",J01GB06 ,ATC     ,1,,,,,,,,,,,
"Amoxicilina (amoxil, moxatag, tridox)",J01CA04 ,ATC     ,1,1.0,1.0,,,,1.0,,,,,
"Inhibidor de amoxicilina/beta-lactamasa (amoxicilina/clavulanato, amoxicilina y ácido clavulánico, Augmentin, Amoxyclav, Co-Amoxiclav)",J01CR02 ,ATC     ,1,1.0,1.0,,,,1.0,,,,,
"Anfotericina (anfotericina B, anfocina, fungizona, fungilina)",J02AA01 ,ATC     , ,,,,,,,,,,,
Ampicilina (PolyFlex),J01CA01,ATC,1,,,,,,,,,,,
"Inhibidor de ampicilina/beta-lactamasa (ampicilina/sulbactam, sulacilina, Unasyn)",J01CR01 ,ATC     ,1,,,,,,,,,,,
"Atovaquone (Mepron, Wellvone)",P01AX06,ATC,2,,,,,,,,,,,
"Azitromicina (Sumamed, Zithromax, Zmax)",J01FA10,ATC     ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"Aztreonam (Azactam, Cayston, Primbactam)",J01DF01,ATC,2,,,,,,,,,,,
"Bacampicilina (Penglobe, Spectrobid)",J01CA06,ATC,2,,,,,,,,,,,
Bacitracina (baciguent),J01XX10,ATC,2,,,,,,,,,,,
Fenoximetilpenicilina benzatina (penicilina V),J01CE10,ATC,,,,,,,,,,,,
"Bencilpenicilina (Penicilina G, Bactracilina G,)",J01CE01,ATC     ,1,,,,,,,,,,,
Capreomicina (capastat),J04AB30,ATC,2,,,,,,,,,,,
"Carbenicilina indanilo sodio (anabactyl, carbapen, carindacilina, pyopen)",J01CA05 ,ATC,2,,,,,,,,,,,
Caspofungin (Cancidas),J02AX04,ATC, ,,,,,,,,,,,
"Cefaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,2,,,,,,,,,,,
Cefadroxil (Duricef),J01DB05,ATC,2,,,,,,,,,,,
"Cefalexina (Cephalexin, Keflex, Daxbia)",J01DB01,ATC,1,,,,,,,,,,,
Cefamandole (mandol),J01DC03,ATC,2,,,,,,,,,,,
"Cefazolina (Ancef, Kefzol)",J01DB04,ATC,1,,,,,,,,,,,
"Cefdinir (Cefzon, Omnicef)",J01DD15,ATC,2,,,,,,,,,,,
Cefditoren (SpectraceF),J01DD16,ATC,2,,,,,,,,,,,
Cefepime (Maxipime),J01DE01,ATC,1,,,,,,,,,,,
Cefixime (suprax),J01DD08,ATC,2,,,,,,,,,,,
Cefmetazol (zefazone),J01DC09,ATC,2,,,,,,,,,,,
Cefoperazona (Cefobid),J01DD12,ATC, ,,,,,,,,,,,
Cefotaxime (Claforan),J01DD01,ATC,1,1.0,,,,,,,,,,
Cefotetan (Cefotan),J01DC05,ATC,2,,,,,,,,,,,
"Cefoxitina (mefoxina, renoxitina)",J01DC01,ATC,2,,,,,,,,,,,
Cefpodoxime proxetil (Vantin),J01DD13  ,ATC,2,,,,,,,,,,,
"Cefprozil (Cefproxil, Cefproz, Cefzil)",J01DC10,ATC,2,,,,,,,,,,,
"Ceftarolina Fosamil (Teflaro, Zinforo)",J01DI02  ,ATC,1,,,,,,,,,,,
"Ceftazidime (Fortaz, Tazicef)",J01DD02 ,ATC,1,1.0,,,,,,,,,,
"Inhibidor de ceftazidima/beta-lactamasa (Ceftazidime/Avibactam, Avycaz, Zavicefta)",J01DD52,ATC,,1.0,,,,,,,,,,
Ceftibuten (Cedax),J01DD14,ATC,2,,,,,,,,,,,
Ceftizoxime (Cefizox),J01DD07,ATC, ,,,,,,,,,,,
CeftoBiprole Medocaril (Zeftera),J01DI01 ,ATC,1,,,,,,,,,,,
"Ceftriaxone (Rocephin, Wintriaxone)",J01DD04 ,ATC,1,1.0,1.0,1.0,,1.0,1.0,1.0,,,,
"Cefuroxima (Ceftin, Zinacef)",J01DC02,ATC,1,1.0,,,,,,,,,,
"Cefalexina (Cefalexina, Keflex, Daxbia)",J01DB01  ,ATC,2,,,,,,,,,,,
"Cephalothin (cefalotina,",J01DB03  ,ATC,2,,,,,,,,,,,
"Cefapirina (cefapirina,",J01DB08,ATC,2,,,,,,,,,,,
"Cefradina (Cefradine, Velosef)",J01DB09,ATC,2,,,,,,,,,,,
"Cloranfenicol (cloromicetina, Viceton)",J01BA01,ATC, ,1.0,,,,,,,,,,
Cinoxacin (Cinobac),J01MB06,ATC,2,,,,,,,,,,,
"Ciprofloxacina (cetraxal, cipro, ciloxan, proquin)",J01MA02,ATC,1,,,,,,,,,,,
"Claritromicina (Biaxin, Klacid)",J01FA09,ATC,1,1.0,,,,,,,,,,
"Clindamicina (Cleocin, Dalacina)",J01FF01,ATC,1,,,,,,,,,,,
"Cloxacilina (Tegopen, Cloxapen)",J01CF02,ATC, ,,,,,,,,,,,
"Colistin (Colistimetato, Coly Mycin M, Colobreathe, Xylistin)",J01XB01,ATC, ,,,,,,,,,,,
Cicloserina (seromicina),J04AB01,ATC,2,,,,,,,,,,,
"Daptomicina (Dapzura, Cubicina)",J01XX09 ,ATC, ,,,,,,,,,,,
Demeclociclina (declomicina),J01AA01,ATC,2,,,,,,,,,,,
"Dicloxacilina (diclocil, Dycill, Dynapen)",J01CF01,ATC,2,,,,,,,,,,,
Diritromicina (Dynabac),J01FA13  ,ATC,2,,,,,,,,,,,
"Doripenem (Doribax, Finibax)",J01DH04  ,ATC,2,,,,,,,,,,,
"Doxiciclina (vibramicina, oracea, monodoxa)",J01AA02,ATC,1,1.0,1.0,,1.0,,,,1.0,,,
Enoxacina,J01MA04,ATC,2,,,,,,,,,,,
Ertapenem (Invanz),J01DH03,ATC,1,,,,,,,,,,,
"Eritromicina (eryc, eritrocina)",J01FA01,ATC,1,1.0,,,,,,,,,,
Etambutol,J04AK02,ATC,,,,,,,,,,,,
"Flucloxacilina (Floxapen, Fluclox)",J01CF05  ,ATC,1,,,,,,,,,,,
Fluconazol (diflucan),J02AC01 ,ATC,1,,,,,,,,,,,
Fosfomicina (monurol),J01XX01 ,ATC,1,,,,,,,,,,,
Ácido fusídico,J01XC01,ATC,,,,,,,,,,,,
Gatifloxacina (Tequin),J01MA16,ATC, ,,,,,,,,,,,
Gemifloxacina (Factive),J01MA15,ATC,2,,,,,,,,,,,
"Gentamicina (garamicina, gentak, genóptico)",J01GB03,ATC,1,,,,,,,,,,,
Gepafloxacina,J01MA11,ATC,2,,,,,,,,,,,
Imipenem/cilastatina (primaxin),J01DH51,ATC,1,,,,,,,,,,,
"Isoniazida (nydrazid, laniazid)",J04AC01,ATC,1,,,,,,,,,,,
Kanamycin (Kantrex),J01GB04 ,ATC, ,,,,,,,,,,,
"LEVOFLOXACIN (LevAquin, Levxin, Tavanic)",J01MA12,ATC,1,1.0,,,,1.0,1.0,,,,,
"Lincomicina (Linobac, Lincomed)",J01FF02,ATC,2,,,,,,,,,,,
Linezolid (Zyvox),J01XX08,ATC,1,1.0,,,,,,,,,,
Lomefloxacina,J01MA07,ATC,2,,,,,,,,,,,
"Meropenem (Merrem, Meroonem)",J01DH02 ,ATC,1,1.0,,,,,,,,,,
"Metenamina Hipate (Hiprex, Urex)",J01XX05  ,ATC,2,,,,,,,,,,,
"Meticilina (meticilina, estafcilina)",J01CF03,ATC,2,,,,,,,,,,,
"Metronidazol (Flagyl, Likmez)",J01XD01,ATC,1,,,,,,,,,,,
"Mezlocilina (Baypen, Melocin, Bezlin, Optocillin)",J01CA10,ATC,2,,,,,,,,,,,
"Minociclina (Minocin, Ximino)",J01AA08,ATC,2,,,,,,,,,,,
"Moxifloxacina (Avelox, Vigamox)",J01MA14,ATC,1,,,,,,,,,,,
Nafcilina,J01CF06,ATC,2,,,,,,,,,,,
"Ácido nalidíxico (Neggram, Wintomylon)",J01MB02,ATC,2,,,,,,,,,,,
Neomicina (neovet),J01GB05,ATC,2,,,,,,,,,,,
Netilmicina (netromicina),J01GB07,ATC, ,,,,,,,,,,,
"Nitrofural (aldomicina, furacina, NFZ)",D08AF01,ATC,2,,,,,,,,,,,
"Nitrofurantoína (macrobid, macrodantina)",J01XE01  ,ATC,1,,,,,,,,,,,
"Norfloxacina (trizolina, noroxina)",J01MA06,ATC,2,,,,,,,,,,,
Novobiocina (Albadry),90220005,SNOMED,2,,,,,,,,,,,
"Ofloxacina (Floxin, Ocuflox)",J01MA01,ATC,2,,,,,,,,,,,
Oxacilina (Bactocill),J01CF04,ATC,2,,,,,,,,,,,
"Oxitetraciclina (Agrimicina, Noromicina)",J01AA06,ATC,2,,,,,,,,,,,
Piperacilina,J01CA12,ATC,,,,,,,,,,,,
"Inhibidor de piperacilina/beta-lactamasa (piperacilina/tazobactam, Pip-Taz, Tazocel, Tazocina, Zosyn,",J01CR05 ,ATC,1,1.0,,,,,,,,,,
PivMecillinam (SelExid),J01CA08 ,ATC,1,,,,,,,,,,,
Plazomicina (Zemdri),J01GB14,ATC,,,,,,,,,,,,
"Polimixina B (Poly-Rx, Polisporin)",J01XB02,ATC, ,,,,,,,,,,,
"Procaine bencilpenicilina (Penicilina G, Bactracilina G, Norocilina)",J01CE09,ATC,,,,,,,,,,,,
Pirazinamida,J04AK01,ATC,,,,,,,,,,,,
Quinupristina/dalfopristina (Synergid),J01FG02  ,ATC,2,,,,,,,,,,,
Retapamulina (Altabax),D06AX13,ATC,2,,,,,,,,,,,
"Rifampicina (Rifadin, Rimactane)",J04AB02  ,ATC,1,,,,,,,,,,,
Rifapentina (priftin),J04AB05,ATC,2,,,,,,,,,,,
Rifaximina (xifaxan),A07AA11,ATC,1,,,,,,,,,,,
