Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,Unnamed: 6,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Ácido acetilsalicílico (aspirina),B01AC06 , ATC     ,1,,,,,,,,1,,
Alteplase (Activase),B01AD02, ATC     ,,,,,,,,,2,,
Apixaban (Eliquis),B01AF02 , ATC     ,1,,1.0,,,,,,3,,
Argatroban (ACOVA),B01AE03, ATC     , ,,,,,,,,4,,
Bivalirudina (Angiomax),B01AE06 , ATC     , ,,,,,,,,5,,
Clopidogrel (Plavix),B01AC04 , ATC     ,1,,,,,,,,6,,
Dabigatrán Etexilate (Pradaxa),B01AE07 , ATC     ,1,,,,,,,,7,,
Dalteparina (fragmín),B01AB04 , ATC     , ,,,,,,,,8,,
Desirudin (Iprivask),B01AE01, ATC     , ,,,,,,,,9,,
"Edoxaban (Savaya, Lixiana)",B01AF03 , ATC     , ,,,,,,,,10,,
Enoxaparina (Lovenox),B01AB05 , ATC     ,1,,1.0,,,1.0,,,11,,
Fondaparinux (Arixtra),B01AX05 , ATC     , ,,,,,,,,12,,
Heparina (heparina no fracturada),B01AB01 , ATC     ,1,,,,,1.0,,,13,,
Lepirudina (refludan),B01AE02, ATC     , ,,,,,,,,14,,
Rivaroxaban (Xarelto),B01AF01 , ATC     ,1,,1.0,,,,,,15,,
Estreptoquinasa,B01AD01, ATC     ,,,,,,,,,16,,
Ticagrelor (Brilinta),B01AC24 , ATC     ,1,,,,,,,,17,,
Ticlopidina (ticlid,B01AC05,ATC,,,,,,,,,18,,
Tinzaparina (innohep),B01AB10, ATC     , ,,,,,,,,19,,
Uroquinasa (Kinlytic),B01AD04, ATC     ,,,,,,,,,20,,
"Warfarina (Coumadin, Jantoven)",B01AA03 , ATC     ,1,,,,,,,,21,,
