Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,présentation,,Numéro d'identification des participants (PIN):,,Le numéro d'identification du patient ou la broche est un numéro unique utilisé pour identifier les données du patient.,,,
inclu_disease,présentation,Critères d'inclusion,Lequel des énoncés suivants est-il soupçonné / confirmé par l'individu?,,,,,
inclu_case,présentation,Critères d'inclusion,Statut de cas,"1, confirmé | 2, probable | 3, suspecté | 4, jeté | 5, erreur",,,,
inclu_pathreg,présentation,Critères d'inclusion,Région d'infection,"1, endémique | 2, émergeant | 99, inconnu",,,,
inclu_fever,présentation,Critères d'inclusion,"Le patient a-t-il signalé / mesuré la fièvre (température axillaire> 38,5 ° C [101,3 ° F])?","1, oui | 0, non","Fait référence à un patient signalé ou à une fièvre mesurée (température axillaire> 38,5 ° C [101,3 ° F]) dans cette maladie actuelle.","Indiquez «oui», si le patient répond à ce critère d'inclusion. Si «non», le patient ne répond pas aux critères d'inclusion, veuillez ne pas continuer avec ce formulaire de rapport de cas.",,
inclu_enceph,présentation,Critères d'inclusion,"Le patient a-t-il des signes de pathologie cérébrale aiguë (par exemple, un état mental altéré, de nouvelles crises d'apparition ou un nouveau déficit neurologique diffus ou localisé dans le cerveau).","1, oui | 0, non","Fait référence à la présence d'une pathologie cérébrale aiguë dans cette maladie actuelle. Cela peut inclure un état mental altéré, de nouvelles crises d'apparition ou un nouveau déficit neurologique diffus ou localisé dans le cerveau identifié par le clinicien traité.","Indiquez «oui», si le patient répond à ce critère d'inclusion. Si «non», le patient ne répond pas aux critères d'inclusion, veuillez ne pas continuer avec ce formulaire de rapport de cas.",,
inclu_iccddrpat,présentation,Critères d'inclusion,"Le participant est inscrit au programme de surveillance ICDDR, B-IDCR NIV.","1, oui | 0, non",Ceci est une exigence d'inclusion dans cette étude.,"Indiquez «oui», si le patient répond à ce critère d'inclusion. Si «non», le patient ne répond pas aux critères d'inclusion, veuillez ne pas continuer avec ce formulaire de rapport de cas.",,
inclu_mpox,présentation,Critères d'inclusion,MPOX suspecté ou confirmé,"1, oui | 0, non","Reportez-vous aux définitions de cas de l'Organisation mondiale de la santé (OMS) ou de vos définitions locales de cas de santé publique. 
L'OMS définit un cas confirmé comme: une personne atteinte d'infection par le virus MPOX confirmé en laboratoire par détection de séquences uniques d'ADN viral par réaction en chaîne en polymérase en temps réel (PCR) et / ou séquençage.
L'OMS définit une affaire suspectée comme: 
je. Une personne qui est un contact d'un cas MPOX probable ou confirmé dans les 21 jours avant le début des signes ou des symptômes, et qui présente l'un des éléments suivants: début aigu de fièvre (> 38,5 ° C), maux de tête, myalgie (muscle (muscle Douleur / corps corporel), maux de dos, faiblesse ou fatigue profonde. 
OU
ii Une personne présentant depuis le 01 janvier 2022 avec une éruption cutanée aiguë inexpliquée, des lésions muqueuses orlymphadénopathie (ganglions lymphatiques gonflés). L'éruption cutanée peut inclure des lésions uniques ou multiples dans la région ano-génitale ou ailleurs sur le corps. Les lésions muqueuses peuvent inclure des lésions orales, conjonctivales, conjonctivales, urétrales, péniennes, vaginales ou ano-rectales. Les lésions ano-rectales peuvent également se manifester sous forme d'inflammation ano-rectale (proctite), de douleur et / ou de saignement.
ET
Pour lequel les causes courantes suivantes des lésions aiguës des éruptions cutanées ou des lésions cutanées n'expliquent pas pleinement l'image clinique: varicelle zoster, herpès zoster, rougeole, herpès simplex, infections cutanées bactériennes, infection de gonococcus disséminée, syphilisme primaire ou secondaire, channroïde, lymphogranulome vereum, granulome inguinale, molluscum contagiosum, réaction allergique (par exemple, à plantes); et toutes les autres causes communes localement pertinentes d'une éruption papuleuse ou vésiculaire.",Indiquez «oui» si le patient répond aux définitions de cas pour un cas MPOX suspecté ou confirmé.,,
inclu_consent,présentation,Critères d'inclusion,Le participant (ou leur représentant légal) a donné son consentement à participer à cette étude.,"1, oui | 0, non",,Indiquez «oui» si le patient ou son représentant légal a donné son consentement éclairé pour participer à cette étude.,,
inclu_consukops,présentation,Critères d'inclusion,Options de consentement <u> (Sélectionnez tout auquel le patient a convenu) </u>:,"1, les données et les échantillons peuvent être utilisés pour d'autres recherches non approuvées éthiques au Royaume-Uni ou ailleurs | 2, les données et les échantillons peuvent être utilisés pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux | 3, les données et les résultats des analyses, peuvent être partagés avec d'autres scientifiques, y compris ceux des autres pays | 4, les participants peuvent être contactés par les enquêteurs pour être invités à participer à de futurs travaux, y compris des études de recherche",,,,
inclu_cons,présentation,Critères d'inclusion,Consentement isarique,,,,,
inclu_cons_yn,présentation,Critères d'inclusion,Le patient accepte de participer à cette étude de recherche,"1, oui | 0, non",,,,
inclu_cons_who,présentation,Critères d'inclusion,Consentement fourni par,"1, patient | 2, parent / tuteur | 3, consulté",,,,
inclu_cons_rsch,présentation,Critères d'inclusion,Utilisation future des données dans la recherche éthiquement approuvée,"1, oui | 0, non",,Il s'agit d'une question de consentement facultative et n'est pas requise pour l'achèvement du CRF restant.,,
inclu_cons_futgen,présentation,Critères d'inclusion,Utilisation future des données génétiques,"1, oui | 0, non",,Il s'agit d'une question de consentement facultative et n'est pas requise pour l'achèvement du CRF restant.,,
inclu_cons_futsmpl,présentation,Critères d'inclusion,Utilisation future des échantillons,"1, oui | 0, non",,Il s'agit d'une question de consentement facultative et n'est pas requise pour l'achèvement du CRF restant.,,
inclu_cons_nstudy,présentation,Critères d'inclusion,Contacté dans le futur pour d'autres études,"1, oui | 0, non",,Il s'agit d'une question de consentement facultative et n'est pas requise pour l'achèvement du CRF restant.,,
inclu_cons_photo,présentation,Critères d'inclusion,"Je suis d'accord que les photographies numériques des parties pertinentes de mon corps peuvent être prises dans le cadre de cette étude, et je peux refuser de photographier des zones spécifiques de mon corps","1, oui | 0, non",,Il s'agit d'une question de consentement facultative et n'est pas requise pour l'achèvement du CRF restant.,,
inclu_cons_usage,présentation,Critères d'inclusion,J'autorise le consentement facultatif à utiliser par,"1, d'autres chercheurs | 2, entités commerciales (excluant les compagnies d'assurance)",,,,
exclu_othdiag,présentation,Critères d'exclusion,Le patient a-t-il un diagnostic non infectieux alternatif clair (diagnostic confirmé clinique ou en laboratoire / imagerie) qui explique la présentation aiguë,"1, oui | 0, non",,"Indiquez «oui», s'il existe un diagnostic clair non infectieux qui explique cette présentation aiguë. Si «oui», le patient remplit ce critère d'exclusion, veuillez ne pas continuer avec ce formulaire de rapport de cas.",,
dates_consent,présentation,Début et entrée,Date de consentement,,,Rédiger la date à laquelle un consentement éclairé a été donné pour l'inclusion des participants dans cette étude. Utilisez le format DD / MM / YYYY.,,
dates_enrolment,présentation,Début et entrée,Date d'inscription / démarrage de la collecte de données,,,Entrez la date de l'inscription de l'étude des patients au format du jour / mois / an (DD / mm / yyyy).,,
dates_case,présentation,Début et entrée,L'affaire de date a été signalée pour la première fois,,,,,
dates_consult,présentation,Début et entrée,Date de la première consultation clinique,,,,,
dates_hosp,présentation,Début et entrée,Dans quelle hôpital / communauté le participant a-t-il été inscrit?,,,Écrivez le nom de l'établissement de santé ou de la communauté dans laquelle le patient a été inscrit.,,
dates_onsetdate,présentation,Début et entrée,Date de début du premier / ancien symptôme,,"Veuillez fournir la date du début du patient du premier symptôme qui, selon vous, était lié à cet épisode de maladie.","Fournir la date du premier symptôme qui, selon vous, était lié à cet épisode de maladie au format DD / mm / yyyy.",,
dates_firstsym,présentation,Début et entrée,Premier symptôme (sélectionnez plusieurs si cela est survenu en même temps),,"Cela fait référence au premier symptôme, ou symptômes (s'il s'est produit en même temps), que vous croyez cliniquement lié à cet épisode de maladie.","Sélectionnez l'option ou les options les plus appropriées (si plusieurs ont eu lieu en même temps). Si «autres symptômes systémiques», spécifiez dans l'espace ci-dessous.",,
dates_firstsymoth,présentation,Début et entrée,Spécifier d'autres symptômes,,,"Spécifiez le premier symptôme, ou symptômes (si plusieurs se sont produits en même temps), que vous croyez cliniquement lié à cet épisode de maladie.",,
dates_adm,présentation,Début et entrée,Admis à l'hôpital,"1, oui | 0, non | 99, inconnu",,"Indiquez «oui», si ce patient a été admis sur votre site.",,
dates_adm_reas,présentation,Début et entrée,Raison de l'hospitalisation,,,,,
dates_admdate,présentation,Début et entrée,Date d'admission à l'hôpital,,,Entrez la date d'entrée sur votre site (au format DD / MM / YYYY).,,
dates_admtime,présentation,Début et entrée,Heure de l'admission à l'hôpital,,,Entrez le temps d'entrée sur votre site au format 24 heures sur 24 (00:00 - 24h00).,,
dates_recadm,présentation,Début et entrée,Date de l'admission à l'hôpital le plus récent,,,Entrez la date de l'admission la plus récente (au format DD / MM / YYYY).,,
dates_mpoxhist,présentation,Début et entrée,Historique de contact avec un cas MPOX suspecté ou confirmé?,"1, oui | 0, non | 99, inconnu","Cela fait référence au patient ayant des antécédents de contact avec toute personne présentant des symptômes similaires ou avec un cas confirmé connu, ou avec du matériel contaminé à partir d'un cas suspecté ou confirmé (par exemple, les fluides de Blody, les objets, la literie, etc.).","Indiquez «oui», s'il y a des antécédents de contact avec un cas MPOX suspecté ou confirmé?",,
dates_contactid,présentation,Début et entrée,ID de contact confirmé / suspecté,,,,,
dates_mpoxknown,présentation,Début et entrée,Les participants connaissent-ils la date de contact avec un cas suspecté ou confirmé?,"1, oui | 0, non | 99, inconnu",,Indiquez «oui» si la date de contact est connue.,,
dates_mpoxdate,présentation,Début et entrée,"Si oui, date de contact:",,,Écrivez la date de contact avec le cas MPOX suspecté ou confirmé au format DD / mm / yyyy.,,
dates_mpoxexpo,présentation,Début et entrée,Type d'exposition,"1, Contact communautaire | 2, transmission verticale | 3, exposition aux agents de santé | 88, autre | 4, pas connu",Cela fait référence au mode d'exposition à un cas suspecté ou confirmé. Le contact communautaire fait référence à l'événement d'exposition en dehors des soins de santé. La transmission verticale fait référence à la transmission de la mère-enfant. L'exposition aux agents de santé fait référence à un événement d'exposition dans un cadre de soins de santé.,Sélectionnez tout ce qui s'applique.,,
dates_mpoxexpo_oth,présentation,Début et entrée,Spécifier un autre type d'exposition,,,,,
dates_setting,présentation,Début et entrée,Paramètre de contact,"1, ménage | 2, lieu de travail | 3, école / crèche | 4, soins de santé | 5, fête | 6, bar / restaurant / petit événement | 7, grand événement | 8, grand événement avec contact sexuel | 88, autre | 99, inconnu",,"""Party"" fait référence aux contacts sexuels dans un club de nuit, une fête privée, un sauna, etc. ""grand événement"" fait référence aux festivals, aux événements sportifs, etc.",,
dates_setting_oth,présentation,Début et entrée,Spécifiez un autre paramètre de contact,,,,,
readm_prevadm,présentation,Réadmission et broche précédente,Le patient a-t-il été admis auparavant ou transféré d'une autre installation au cours de cet épisode de maladie?,"1, oui-admis précédemment à cette installation et déchargé | 2, oui-admis à d'autres installations et libéré | 3, oui-admis à une autre installation, puis transféré dans cette installation | 0, non | 99, inconnu",,,,
readm_prevsite,présentation,Réadmission et broche précédente,Nom de l'installation de transfert,,,Entrez le nom de l'installation à partir duquel le patient a été transféré.,,
readm_numprev,présentation,Réadmission et broche précédente,Nombre total d'admissions précédentes pour cette infection,,Cela fait référence au nombre de fois (pour cette infection) que le patient a été admis dans un établissement de santé.,Écrivez le nombre d'admissions d'hôpital précédentes.,,
readm_firstadmdt,présentation,Réadmission et broche précédente,Date de l'admission la plus précoce pour cette infection,,"Cela fait référence à la date de la première admission pour cette maladie. Si le patient était d'abord «admis dans d'autres établissements, puis transféré dans le dossier de cet établissement, la date à laquelle le patient a été admis dans l'autre établissement.",Écrivez la date au format DD / mm / Yyyy.,,
readm_difpin,présentation,Réadmission et broche précédente,Les données du patient ont-elles été précédemment collectées sous un autre numéro d'identification du patient?,"1, oui | 0, non | 99, inconnu",Le numéro d'identification du patient ou la broche est un numéro unique utilisé pour identifier les données du patient.,"Indiquez «oui», si le patient a déjà été attribué un numéro d'identification des participants différents.",,
readm_prevpin,présentation,Réadmission et broche précédente,Numéro d'identification précédent des participants (PIN),,,,,
readm_covid,présentation,Réadmission et broche précédente,Le patient est-il réadmis avec ou en raison de Covid-19?,"1, oui | 0, non | 99, inconnu",,,,
demog_sex,présentation,Démographie,Sexe à la naissance,"1, mâle | 2, femme | 88, autre | 99, non spécifié / inconnu",,,,
demog_sex_oth,présentation,Démographie,Spécifiez le sexe à la naissance,,,,,
demog_birthdate,présentation,Démographie,Date de naissance,,,Enregistrez la date de naissance des participants au format DD / mm / yyyy.,,
demog_gender,présentation,Démographie,Genre,"1, homme | 2, femme | 3, transgenre | 4, non binaire | 88, autre | 99, inconnu",,,,
demog_gender_oth,présentation,Démographie,Spécifier le genre,,,,,
demog_age,présentation,Démographie,Âge,,Cela fait référence à l'âge du patient.,"Entrez la valeur numérique de l'âge du patient, entier. Dans la question suivante, spécifiez les unités (années, mois ou jours). Pour les participants de plus de deux ans, veuillez signaler l'âge en années. Pour les enfants de moins d'un an, veuillez vous présenter en mois. Pour les nouveau-nés, en dessous de l'âge d'un mois, veuillez vous présenter en quelques jours.",,
demog_age_units,présentation,Démographie,Unités d'âge,"1, années | 2, mois | 3, jours",,Sélectionnez l'option la plus appropriée pour indiquer les unités de l'âge du patient.,,
demog_height,présentation,Démographie,Hauteur (sélectionnez les unités),,Estimation réelle ou la plus proche de la hauteur au moment de l'admission.,,,
demog_height_cm,présentation,Démographie,Hauteur (cm),,Estimation réelle ou la plus proche de la hauteur au moment de l'admission.,"INIDSADE La hauteur des patients en centimètres (cm). Pour les enfants de moins de 2 ans, veuillez utiliser la durée.",,
demog_height_in,présentation,Démographie,Hauteur (in),,Estimation réelle ou la plus proche de la hauteur au moment de l'admission.,"Indiquez la hauteur des patients en pouces (in). Pour les enfants de moins de 2 ans, veuillez utiliser la durée.",,
demog_weight,présentation,Démographie,Poids (Sélectionnez Unités),,Estimation réelle ou la plus proche du poids au moment de l'admission.,,,
demog_weight_kg,présentation,Démographie,Poids (kg),,Estimation réelle ou la plus proche du poids au moment de l'admission.,Indiquez le poids des patients en kilogrammes (kg).,,
demog_weight_lb,présentation,Démographie,Poids (LB),,Estimation réelle ou la plus proche du poids au moment de l'admission.,Indiquez le poids des patients en livres (LB).,,
