Condition,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Síndrome do desconforto respiratório agudo (SDRA),67782005.0,SNOMED,1,,
Bacteremia,5758002.0,SNOMED,2,,
Infarto do Miocárdio,22298006.0,SNOMED,3,,
Achado neurológico,102957003.0,SNOMED,4,,
Pneumonia,233604007.0,SNOMED,5,,
Embolia Pulmonar,59282003.0,SNOMED,6,,
Choque Séptico,76571007.0,SNOMED,7,,
Distúrbio de coagulação adquirido,234466008.0,SNOMED,8,,
Síndrome de insuficiência renal aguda,14669001.0,SNOMED,9,,
Sangramento,131148009.0,SNOMED,10,,
Parada cardíaca,410429000.0,SNOMED,11,,
AVC cardioembólico,413758000.0,SNOMED,12,,
Choque Cardiogênico,89138009.0,SNOMED,13,,
AVC cerebelar,1.63717810001191e+16,SNOMED,14,,
Descompensação,87228002.0,SNOMED,15,,
Trombose venosa profunda,128053003.0,SNOMED,16,,
Coagulação Intravascular Disseminada (DIC),67406007.0,SNOMED,17,,
Empiema,312682007.0,SNOMED,18,,
Encefalite,45170000.0,SNOMED,19,,
AVC hemorrágico,1078001000000100.0,SNOMED,20,,
Pneumonia adquirida no hospital,425464007.0,SNOMED,21,,
Encefalopatia isquêmica,389100007.0,SNOMED,22,,
AVC isquêmico,422504002.0,SNOMED,23,,
Fígado grande,80515008.0,SNOMED,24,,
Meningite,7180009.0,SNOMED,25,,
Síndrome inflamatória multissistêmica em adultos,1119306006.0,SNOMED,26,,
Síndrome inflamatória multissistêmica em crianças,895448002.0,SNOMED,27,,
Pneumotórax,36118008.0,SNOMED,28,,
Sangramento gastrointestinal recorrente,307296008.0,SNOMED,29,,
Infecção urinária recorrente,197927001.0,SNOMED,30,,
Sepse,91302008.0,SNOMED,31,,
AVC trombótico,371040005.0,SNOMED,32,,
Isquemia cerebral transitória,266257000.0,SNOMED,33,,
Hipotensão transitória,94501000000000.0,SNOMED,34,,
Pneumonia associada ao ventilador,429271009.0,SNOMED,35,,
