Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acremonium,63996006.0,SNOMED,fungi,1,,
Adenoviridae,424470006.0,SNOMED,virus,2,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",3,,
Andes Orthohantavirus,442001008.0,SNOMED,virus,4,,
Arenaviridae,243624009.0,SNOMED,virus,5,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,,
Aspergillus,2429008.0,SNOMED,fungi,7,,
Aspergillus flavus,66821001.0,SNOMED,fungi,8,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,,
Complexo Aspergillus Fumigatus,719029007.0,SNOMED,fungi,10,,
Aspergillus niger,89354002.0,SNOMED,fungi,11,,
Aspergillus terreus,26406003.0,SNOMED,fungi,12,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,,
Astroviridae,424055004.0,SNOMED,virus,14,,
Influenza aviária A H5N1,772827006.0,SNOMED,virus,15,,
Influenza aviária A H7N9,609444009.0,SNOMED,virus,16,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,18,,
Bocavírus (gênero),430902006.0,SNOMED,virus,19,,
Brugia Malayi,112443002.0,SNOMED,"parasite, helminth",20,,
Bunyaviridae (família),243615000.0,SNOMED,virus,21,,
Caliciviridae (família),243627002.0,SNOMED,virus,22,,
Candida,3265006.0,SNOMED,fungi,23,,
Candida Albicans,53326005.0,SNOMED,fungi,24,,
Candida Auris,3490000000000.0,SNOMED,fungi,25,,
Candida Dubliniensis,115952006.0,SNOMED,fungi,26,,
Candida Glabrata,444877006.0,SNOMED,fungi,27,,
Candida disciplique,283871001.0,SNOMED,fungi,28,,
Candida Ortopsilosis,3690000000000.0,SNOMED,fungi,29,,
Candida parapsilosis,61302002.0,SNOMED,fungi,30,,
Candida tropicalis,47885008.0,SNOMED,fungi,31,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,,
Coccidioides,8672004.0,SNOMED,fungi,34,,
Coccidioides imitis,23439005.0,SNOMED,fungi,35,,
Coronaviridae (família),243607003.0,SNOMED,virus,36,,
Vírus da febre hemorrágica da Crimeia-Congo (CCHF),79875007.0,SNOMED,virus,37,,
Cryptococcus gattii,450862004.0,SNOMED,fungi,38,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,39,,
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",40,,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",41,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",42,,
Curvularia lunata,33165007.0,SNOMED,fungi,43,,
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",44,,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45,,
Citomegalovírus,407444007.0,SNOMED,virus,46,,
Deltavírus,83617006.0,SNOMED,virus,47,,
Vírus da dengue,34348001.0,SNOMED,virus,48,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50,,
Vírus do Ebola,424206003.0,SNOMED,virus,51,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",53,,
Entamoeba Dispar,415987008.0,SNOMED,"parasite, protozoa",54,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",55,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",56,,
Enterovírus (gênero enterovírus),243633006.0,SNOMED,virus,57,,
Epidermophyton,112403007.0,SNOMED,fungi,58,,
Exophiala Dermatitidis,20586007.0,SNOMED,fungi,59,,
Falciformispora senegalensis (anteriormente leptosphaeria senegalensis),48529007.0,SNOMED,fungi,60,,
Filoviridae (família),407325004.0,SNOMED,virus,61,,
Flaviviridae (família),243602009.0,SNOMED,virus,62,,
Fungi,414561005.0,SNOMED,fungi,63,,
Fusarium,35238009.0,SNOMED,fungi,64,,
Gênero Marburgvírus,424421007.0,SNOMED,virus,65,,
Giardia,61419001.0,SNOMED,"parasite, protozoa",66,,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",67,,
Giardia Lamblia,78181009.0,SNOMED,"parasite, protozoa",68,,
Hantavírus,49445003.0,SNOMED,virus,69,,
Vírus Hendra,115510008.0,SNOMED,virus,70,,
Hepadnaviridae,422951006.0,SNOMED,virus,71,,
Vírus da hepatite A.,32452004.0,SNOMED,virus,72,,
Vírus da hepatite B.,81665004.0,SNOMED,virus,73,,
Vírus da hepatite C.,62944002.0,SNOMED,virus,74,,
Hepatite D.,83617006.0,SNOMED,virus,75,,
Vírus da hepatite E.,78475006.0,SNOMED,virus,76,,
Herpesviridae,128377001.0,SNOMED,virus,77,,
Histoplasma,81951003.0,SNOMED,fungi,78,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,79,,
"Herpesvírus humano 1 (HHV1, vírus herpes simplex 1, HSV1)",407451003.0,SNOMED,virus,80,,
"Herpesvírus humano 2 (hhv2, vírus herpes simplex 2, hsv2)",407450002.0,SNOMED,virus,81,,
"Herpesvírus humano 3 (Vírus Varicella-Zoster, VZV)",19551004.0,SNOMED,virus,82,,
"Herpesvírus humano 4 (vírus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,83,,
"Herpesvírus Humano 5 (Cytomegalovírus humano5, HCMV)",243579005.0,SNOMED,virus,84,,
Herpesvírus humano 6 (vírus Roseola infantum),103528003.0,SNOMED,virus,85,,
Vírus da imunodeficiência humana (HIV),19030005.0,SNOMED,virus,86,,
Vírus da imunodeficiência humana tipo 1 (HIV-1),89293008.0,SNOMED,virus,87,,
Vírus da imunodeficiência humana tipo 2 (HIV-2),36115006.0,SNOMED,virus,89,,
Metapneumovírus humano (HMPV),416730002.0,SNOMED,virus,90,,
Vírus da parainfluenza humano,407498006.0,SNOMED,virus,91,,
Vírus da parainfluenza humano 1,407489008.0,SNOMED,virus,92,,
Vírus da parainfluenza humano 2,407491000.0,SNOMED,virus,93,,
Vírus de parainfluenza humano 3,407493002.0,SNOMED,virus,94,,
Vírus da parainfluenza humano 4,89117003.0,SNOMED,virus,95,,
Parvovírus humano B19,63603005.0,SNOMED,virus,96,,
Vírus sincicial respiratório humano (RSV),6415009.0,SNOMED,virus,97,,
Bocavírus humano,446373002.0,SNOMED,virus,98,,
Coronavírus nos humanos,84101006.0,SNOMED,virus,100,,
Hymenolepis Diminuta,23895005.0,SNOMED,"parasite, helminth",101,,
Hymenolepis Nana,74311004.0,SNOMED,"parasite, helminth",102,,
Influenza a subtipo H5n8,708527000.0,SNOMED,virus,103,,
Influenza a suptype h7n7,715346008.0,SNOMED,virus,104,,
Influenza um vírus,407479009.0,SNOMED,virus,105,,
Influenza um subtipo de vírus H1N1,442352004.0,SNOMED,virus,106,,
Influenza A Subtipo de vírus H5N1,772827006.0,SNOMED,virus,107,,
Influenza A Vírus subtipo H7N9,609444009.0,SNOMED,virus,108,,
Vírus influenza B.,407480007.0,SNOMED,virus,109,,
Vírus influenza,725894000.0,SNOMED,virus,110,,
Isopora Belli,12633005.0,SNOMED,"parasite, protozoa",111,,
Vírus da encefalite japonesa (JEV),243603004.0,SNOMED,virus,112,,
Vírus de Junin,26352009.0,SNOMED,virus,113,,
Vírus Lassa,85944001.0,SNOMED,virus,114,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",115,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",116,,
Leishmania brasiliensis,83196002.0,SNOMED,"parasite, protozoa",117,,
Complexo Leishmania Braziliensis,7400004.0,SNOMED,"parasite, protozoa",118,,
Complexo Leishmania Donovani,79781008.0,SNOMED,"parasite, protozoa",119,,
Lichthiemia,734206002.0,SNOMED,fungi,120,,
LomentoSpora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,121,,
Vírus Lujo,450622000.0,SNOMED,virus,122,,
Vírus da coriomeningite linfocítica (LCMV),82518003.0,SNOMED,virus,123,,
Mers-Cov,697932005.0,SNOMED,virus,124,,
Vírus Machupo,71489006.0,SNOMED,virus,125,,
Madurella,23009007.0,SNOMED,fungi,126,,
Malassezia Pachydermatis,51257000.0,SNOMED,fungi,127,,
Morbillivirus de sarampo,52584002.0,SNOMED,virus,128,,
Metapneumovírus,407501006.0,SNOMED,virus,129,,
Meyerozyma Guilliermondii,29812000.0,SNOMED,fungi,130,,
Microsporidia,418382009.0,SNOMED,"parasite, protozoa",131,,
Microsporum,11983001.0,SNOMED,fungi,132,,
Coronavírus da síndrome da síndrome respiratória do Oriente Médio,697932005.0,SNOMED,virus,133,,
Vírus MPOX,59774002.0,SNOMED,virus,134,,
Mucor,49782006.0,SNOMED,fungi,135,,
Vírus da caxumba,50384007.0,SNOMED,virus,136,,
Necator Americanus,43905006.0,SNOMED,"parasite, helminth",137,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,138,,
Vírus Nipah,115511007.0,SNOMED,virus,139,,
Norovírus,407359000.0,SNOMED,virus,140,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",141,,
Orthomyxoviridae (vírus influenza),55014007.0,SNOMED,virus,142,,
