Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,présentation,,Numéro d'identification des participants (PIN),,Le numéro d'identification ou le PIN des participants est un numéro unique utilisé pour identifier les données du patient (participant).,Écrivez le numéro d'identification des participants (PIN).,,
inclu_phiinfect,présentation,Critères d'inclusion,Infection éprouvée par l'agent pathogène de l'intérêt de la santé publique,"1, oui | 0, non",,,,
inclu_phisusp,présentation,Critères d'inclusion,"Suspicion élevé d'exposition à l'agent pathogène, à l'agent nocif ou à l'énergie nocive de l'intérêt de la santé publique","1, oui | 0, non",,,,
inclu_disease,présentation,Critères d'inclusion,Infection suspectée ou confirmée,,Cela fait référence à toute infection suspectée ou confirmée.,"Si plus d'une infection est suspectée, sélectionnez la section de test des agents pathogènes et complétez la section des agents de pathogène avec confirmation de laboratoire.",,
inclu_reason,présentation,Critères d'inclusion,L'infection suspectée ou confirmée est-elle la raison de l'admission à l'hôpital?,"1, oui | 0, non | 99, inconnu",Cela fait référence à l'infection suspectée ou confirmée par l'agent pathogène d'intérêt si la raison (indication) de l'admission à l'hôpital.,Indiquez «oui» si une infection suspectée ou confirmée par l'agent pathogène d'intérêt si la raison (indication) de l'admission à l'hôpital. Indiquez «non» si l'infection suspectée ou confirmée par l'agent pathogène d'intérêt n'est pas la raison (indication) de l'admission à l'hôpital.,,
inclu_case,présentation,Critères d'inclusion,Statut de cas,"1, confirmé | 2, probable | 3, suspecté | 4, jeté | 5, erreur",,Sélectionnez l'option la plus appropriée qui représente l'état du boîtier.,,
test_reason,présentation,Critères d'inclusion,Raison pour laquelle le patient a été testé,"1, symptomatique | 2, asymptomatique, tracé en contact | 3, Campagne asymptomatique de test de masse | 4, non testé",Cela fait référence à la raison pour laquelle le patient a été testé pour le pathogène d'intérêt.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour le pathogène d'intérêt.,,
inclu_pathreg,présentation,Critères d'inclusion,Région d'infection,"1, endémique | 2, émergeant | 99, inconnu",,,,
inclu_fever,présentation,Critères d'inclusion,"Le patient a-t-il signalé / mesuré la fièvre (température axillaire> 38,5 ° C [101,3 ° F])?","1, oui | 0, non","Fait référence à un patient signalé ou à une fièvre mesurée (température axillaire> 38,5 ° C [101,3 ° F]) dans cette maladie actuelle.","Indiquez «oui», si le patient répond à ce critère d'inclusion. Si «non», le patient ne répond pas aux critères d'inclusion, veuillez ne pas continuer avec ce formulaire de rapport de cas.",,
inclu_enceph,présentation,Critères d'inclusion,"Le patient a-t-il des signes de pathologie cérébrale aiguë (par exemple, un état mental altéré, de nouvelles crises d'apparition ou un nouveau déficit neurologique diffus ou localisé dans le cerveau).","1, oui | 0, non","Fait référence à la présence d'une pathologie cérébrale aiguë dans cette maladie actuelle. Cela peut inclure un état mental altéré, de nouvelles crises d'apparition ou un nouveau déficit neurologique diffus ou localisé dans le cerveau identifié par le clinicien traité.","Indiquez «oui», si le patient répond à ce critère d'inclusion. Si «non», le patient ne répond pas aux critères d'inclusion, veuillez ne pas continuer avec ce formulaire de rapport de cas.",,
