Disease,Code,Library,Selected,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype CRF_ARI,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Adénovirus,,,,,,,1.0,,,,1.0,,
Infection du virus des Andes (hantavirus),359761005,SNOMED,,,,,,,1.0,,,,
Fièvre hémorragique argentine (virus Junin),58868000,SNOMED,,,,,,,1.0,,,,
Aviaire grippe A H7N9 / H5N1 / H5N8 / H7N7,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,1.0,,,,,,
Infection bactérienne,87628006,SNOMED,,,,,,,,,,,
Fièvre hémorragique bolivienne (virus Machupo),67247008,SNOMED,,,,,,,1.0,,,,
Poulet (varicelle),58750007,SNOMED,,,,1.0,,,,1.0,,,
Covid-19 (SARS-COV-2),840539006,SNOMED,,1.0,,,1.0,,,,1.0,,
Fièvre hémorragique du Congo de Crimée (CCHF),43489008,SNOMED,,,,,,,1.0,,,,
Dengue,38362002,SNOMED,,,1.0,,,,1.0,,,,
Maladie du virus Ebola (EVD),37109004,SNOMED,,,,,,,1.0,,,,
Entérovirus,53648006,SNOMED,,,,,,,,,,,
Exposition à l'agent CBRN,,,,,,,,,,,,,
Exposition à l'énergie nocive,,,,,,,,,,,,,
"Hépatite (général, non spécifié)",40468003,SNOMED,,,1.0,,,,,,,,
Infection par le virus de l'herpès simplex (HSV),88594005,SNOMED,,,,1.0,,,,1.0,,,
HSV,88594005,SNOMED,,,,,,,,,,,
Infection par le virus de l'immunodéficience humaine (infection à VIH),86406008,SNOMED,,,,1.0,,,,1.0,,,
Grippe A H1N1,442352004,SNOMED,,,,,,,,,1.0,,
Grippe A H5N1,772827006,SNOMED,,,,,,,,,1.0,,
Grippe un H5N8,708527000,SNOMED,,,,,,,,,1.0,,
Grippe un H7N7,715346008,SNOMED,,,,,,,,,1.0,,
Grippe un H7N9,609444009,SNOMED,,,,,,,,,1.0,,
Virus de la grippe,407479009,SNOMED,,,,,,,,,1.0,,
Virus de la grippe B,407480007,SNOMED,,,,,,,,,1.0,,
Virus de la grippe,725894000,SNOMED,,,,,,,,1.0,1.0,,
Je,52947006,SNOMED,,,,,,,,,,,
Fièvre lassa,19065005,SNOMED,,,,,,,1.0,,,,
Maladie du virus de Lujo,721784007,SNOMED,,,,,,,1.0,,,,
Maladie du virus de Marburg (MVD),77503002,SNOMED,,,,,,,1.0,,,,
Rougeole,14189004,SNOMED,,,,,,,,,,,
Syndrome respiratoire du Moyen-Orient (MERS),6.51E+11,SNOMED,,,,,,,,,,,
Mpox,359814004,SNOMED,1.0,,,1.0,,,,1.0,,,
Nipah,406597005,SNOMED,,,,,,,,,,,
Oropouche,72880002,SNOMED,,,,,,1.0,,,,,
Plague pneumonique (Yersinia pestis),38976008,SNOMED,,,,,,,,,,,
Infection du virus syncytial respiratoire (RSV),55256001,SNOMED,,,,,,,,,1.0,,
Hépatite pédiatrique aiguë sévère,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,,,,
Syndrome respiratoire aigu sévère (SARS-Not Covid-19),398447004,SNOMED,,,,,,,,,1.0,,
Fièvre sévère avec syndrome de thrombocytopaenia (SFTS),722401001,SNOMED,,,,,,,,,,,
Grippe non définie,155559006,SNOMED,,,,,,,,,1.0,,
