Paper-like section,Text,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Título,CRF do núcleo isárico,,
Projeto deste formulário de relato de caso (CRF),Este CRF é configurado em módulos a serem usados ​​para gravar dados em [Project_Name].  Um modelo para instruções de conclusão está abaixo. Isso deve ser adaptado aos objetivos da sua coleta de dados.,,
Formulário de apresentação,Sempre concluído no primeiro dia de apresentação/admissão/avaliação.,,
Formulário de apresentação,Tempo / eventos: admissão hospitalar / avaliação inicial,,
Forma diária,Sempre completo no primeiro dia de apresentação/admissão/avaliação,,
Forma diária,"Se aplicável, completo no dia da admissão na UTI/Unidade de Alta Dependência/Cuidados Críticos (se Data Diferente da Data da Primeira Apresentação/Admissão)",,
Forma diária,Opção para concluir em dias em que as amostras específicas de pesquisa são coletadas,,
Forma diária,Opção para concluir diariamente se interessa a análises específicas.,,
Forma diária,Tempo / eventos: admissão hospitalar / avaliação inicial | Admissão na UTI (se aplicável) | Amostra de pesquisa tomada (opcional) | De acordo com o protocolo do site (opcional),,
Forma de resultado,Sempre completo na alta ou morte ou no final do período do estudo,,
Forma de resultado,Tempo / eventos: descarga / morte / fim do estudo,,
Formulário de acompanhamento,Timing /eventos: conforme o protocolo do site (opcional),,
Formulário de retirada,Timing /eventos: conforme o protocolo do site (opcional),,
Detalhes de acompanhamento,Continue a acompanhar os pacientes que transferem entre as enfermarias.,,
Tempo /eventos,Admissão hospitalar / avaliação inicial | Admissão na UTI (se aplicável) | Amostra de pesquisa tomada (opcional) | De acordo com o protocolo do site (opcional) | Alta / morte / fim de estudo,,
Orientação geral,Entre em contato com o Isaric Global Support Center em data@isaric.org,,
Orientação geral,"A CRF foi projetada para coletar dados obtidos por meio de exame, entrevista, revisão das notas do hospital ou extração de registros eletrônicos de saúde.  Os dados podem ser coletados prospectivamente ou retrospectivamente se o paciente estiver inscrito após a data da apresentação em um centro de saúde.",,
Orientação geral,Consulte a diretriz de conclusão do CRF para obter orientações detalhadas sobre como concluir esses formulários.,,
Orientação geral,"Sua instituição pode capturar dados: <br/> (a) No banco de dados RedCap hospedado isarico - entre em contato com o ISARIC para acesso, <br/> (b) com um banco de dados RedCap hospedado na sua instituição - entre em contato com isaric se desejar suporte para definir Isso, ou <br/> (c) em um banco de dados ou sistema eletrônico de registros de saúde em sua instituição - entre em contato com o ISARIC para apoiar o mapeamento de dados.",,
Orientação geral,"Os números de identificação dos participantes consistem em um código do site de 5 dígitos e um número de participantes de 4 dígitos. <br/> Obtenha um código do site e registre -se no sistema de gerenciamento de dados entrando em contato com o ISARIC.  Os números dos participantes devem ser atribuídos sequencialmente para cada site, começando com 0001 ou em blocos, possivelmente incluindo caracteres alfa, quando útil.  Por exemplo, a ala X atribuirá números de 0001 ou A001 em diante e a ala Y atribuirá números de 5001 ou B001 em diante.",,
Orientação geral,"Para os participantes que retornam para re-admissão no mesmo site, inicie um novo formulário com um número de identificação de participantes diferente. Verifique ""sim, admitido anteriormente para esta instalação"" na seção de re-admissão. Digite como 2 registros separados se você estiver usando um banco de dados RedCap (ou similar).",,
Orientação geral,"Para os participantes que transferem entre dois sites que estão coletando dados sobre este formulário, é preferido ter os dados inseridos por um único site como uma única admissão, sob o mesmo número de identificação do participante. Quando isso não é possível, o primeiro site deve gravar ""transferência para outra instalação"" como resultado, e o segundo site deve iniciar um novo formulário com um novo número do paciente e indicar ""sim- ... depois transferido para esta instalação"" no re. -A admissão e seção anterior de pinos.",,
Orientação geral,As seleções com círculos () são uma seleção única (escolha apenas uma resposta). As seleções com caixas quadradas () são seleção múltipla (escolha quantas respostas aplicáveis). Unk = desconhecido,,
