Disease,Code,Library,Selected,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Study_Oropouche,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Grippe A H5N1,715346008,SNOMED,,,,,,,,
Aviaire grippe A H7N9 / H5N1 / H5N8 / H7N7,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,1.0,,,
Grippe non définie,155559006,SNOMED,,,,,,,,
Covid-19 (SARS-COV-2),840539006,SNOMED,,1.0,,,,,,
Dengue,38362002,SNOMED,,,1.0,,,,,
Mpox,359814004,SNOMED,1.0,,,1.0,,,,
Hépatite pédiatrique aiguë sévère,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,
Nipah,406597005,SNOMED,,,,,,,,
Je,52947006,SNOMED,,,,,,,,
HSV,88594005,SNOMED,,,,,,,,
Infection du virus des Andes (hantavirus),359761005,SNOMED,,,,,,,,
Fièvre hémorragique argentine (virus Junin),58868000,SNOMED,,,,,,,,
Fièvre hémorragique du Congo de Crimée (CCHF),43489008,SNOMED,,,,,,,,
Maladie du virus Ebola (EVD),37109004,SNOMED,,,,,,,,
Fièvre lassa,19065005,SNOMED,,,,,,,,
Maladie du virus de Lujo,721784007,SNOMED,,,,,,,,
Maladie du virus de Marburg (MVD),77503002,SNOMED,,,,,,,,
Syndrome respiratoire du Moyen-Orient (MERS),6.51E+11,SNOMED,,,,,,,,
Plague pneumonique (Yersinia pestis),38976008,SNOMED,,,,,,,,
Syndrome respiratoire aigu sévère (SARS-Not Covid-19),398447004,SNOMED,,,,,,,,
Fièvre sévère avec syndrome de thrombocytopaenia (SFTS),722401001,SNOMED,,,,,,,,
Exposition à l'agent CBRN,,,,,,,,,,
Exposition à l'énergie nocive,,,,,,,,,,
Entérovirus,53648006,SNOMED,,,,,,,,
Fièvre hémorragique bolivienne (virus Machupo),67247008,SNOMED,,,,,,,,
Oropouche,72880002,SNOMED,,,,,,1.0,,
