Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,apresentação,,Número de identificação do participante (PIN):,,O número de identificação do paciente ou o PIN é um número exclusivo usado para identificar os dados do paciente.,,,
inclu_disease,apresentação,Critérios de inclusão,Qual das alternativas a seguir é o indivíduo suspeito/confirmado?,,,,,
inclu_case,apresentação,Critérios de inclusão,Status do caso,"1, confirmado | 2, provável | 3, suspeito | 4, descartado | 5, erro",,,,
inclu_pathreg,apresentação,Critérios de inclusão,Região de infecção,"1, endêmico | 2, emergente | 99, desconhecido",,,,
inclu_fever,apresentação,Critérios de inclusão,"O paciente relatou/ mediu a febre (temperatura axilar> 38,5 ° C [101,3 ° F])?","1, sim | 0, não","Refere -se a um paciente relatado ou uma febre medida (temperatura axilar> 38,5 ° C [101,3 ° F]) nessa doença atual.","Indique 'sim', se o paciente atender a esse critério de inclusão. Se 'não', o paciente não atende aos critérios de inclusão, não continue com este formulário de relatório de caso.",,
inclu_enceph,apresentação,Critérios de inclusão,"O paciente tem evidências de patologia cerebral aguda (por exemplo, estado mental alterado, novas crises de início ou novo déficit neurológico difuso ou localizado no cérebro).","1, sim | 0, não","Refere -se à presença de patologia cerebral aguda nessa doença atual. Isso pode incluir o estado mental alterado, novas crises de início ou novo déficit neurológico difuso ou localizado no cérebro, conforme identificado pelo médico tratador.","Indique 'sim', se o paciente atender a esse critério de inclusão. Se 'não', o paciente não atende aos critérios de inclusão, não continue com este formulário de relatório de caso.",,
inclu_iccddrpat,apresentação,Critérios de inclusão,"O participante está inscrito no programa de vigilância da ICDDR, B-EDCR NIV.","1, sim | 0, não",Este é um requisito de inclusão neste estudo.,"Indique 'sim', se o paciente atender a esse critério de inclusão. Se 'não', o paciente não atende aos critérios de inclusão, não continue com este formulário de relatório de caso.",,
inclu_mpox,apresentação,Critérios de inclusão,MPOX suspeito ou confirmado,"1, sim | 0, não","Consulte as definições de caso da Organização Mundial da Saúde (OMS) ou suas definições locais de casos de saúde pública. 
O OMS define um caso confirmado como: uma pessoa com infecção por vírus MPOX confirmada por laboratório por detecção de sequências exclusivas de DNA viral por reação em cadeia da polimerase em tempo real (PCR) e/ou sequenciamento.
Quem define um caso suspeito como: 
eu. Uma pessoa que está em contato com um caso MPOX provável ou confirmado nos 21 dias antes do início de sinais ou sintomas e que apresenta qualquer um dos seguintes: início agudo da febre (> 38,5 ° C), dor de cabeça, mialgia (músculo dor/dores no corpo), dor nas costas, profunda fraqueza ou fadiga. 
OU
ii. Uma pessoa que se apresenta desde 01 de janeiro de 2022 com uma erupção cutânea aguda inexplicável, lesões mucosas orlymfadenopatia (linfonodos inchados). A erupção cutânea pode incluir lesões únicas ou múltiplas na região ano-genital ou em qualquer outro lugar do corpo. As lesões mucosas podem incluir lesões orais, conjuntivais, uretrais, penais, vaginais ou retais. As lesões ano-retais também podem se manifestar como inflamação anrotal (proctite), dor e/ou sangramento.
E
Para as quais as seguintes causas comuns de erupção cutânea aguda ou lesões cutâneas não explicam completamente o quadro clínico: Varicella Zoster, Herpes Zoster, Sarampo, Herpes simplex, infecções bacterianas de pele, infecção por gonococcus disseminados, sífilis primária ou secundária, chancroid, linfogranuloma venereum, grãnúlica, grão -criminoso inguinale, molusco contagioso, reação alérgica (por exemplo,, para plantas); e quaisquer outras causas comuns localmente relevantes de erupção cutânea papular ou vesicular.",Indique 'sim' se o paciente atender às definições de caso para um caso MPOX suspeito ou confirmado.,,
inclu_consent,apresentação,Critérios de inclusão,O participante (ou seu representante legal) forneceu consentimento para participar deste estudo.,"1, sim | 0, não",,Indique 'sim' se o paciente ou seu representante legal tiver fornecido seu consentimento informado para a participação neste estudo.,,
inclu_consukops,apresentação,Critérios de inclusão,Opções de consentimento <u> (selecione tudo o que o paciente concordou) </u>:,"1, dados e amostras podem ser usados ​​para outras pesquisas não relacionadas eticamente aprovadas no Reino Unido ou em outros lugares | 2, dados e amostras podem ser usados ​​para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais | 3, dados desidentificados e resultados das análises, podem ser compartilhados com outros cientistas, incluindo aqueles em outros países | 4, o participante pode ser contatado pelos investigadores para serem convidados a participar de trabalhos futuros, incluindo estudos de pesquisa",,,,
