Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics+extended,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_UserGenerated_Oropouche,preset_Score_CharlsonCI,preset_Module_Pregmpoxnompox,preset_Module_Pregnancy,preset_Module_Neonates,preset_Module_Paediatric,preset_Module_ExtendedMpoxPregnan,preset_Recommended Outcomes_Dengue,preset_Hospitalsed Outcomes_Dengue,preset_Early Stage Outcomes_Dengue,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Peau,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Pétéchies,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Nez,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Des gommes,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Tractus gastro-intestinal,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Voies urinaires,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Vagin,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,,
Intracrânien,,,,,,,,,,,,,,,,,,1,1,1,,
Intraspinal,,,,,,,,,,,,,,,,,,1,1,1,,
Intraoculaire,,,,,,,,,,,,,,,,,,1,1,1,,
Rétropéritonéal,,,,,,,,,,,,,,,,,,1,1,1,,
Intra-articulaire,,,,,,,,,,,,,,,,,,1,1,1,,
Péricardique,,,,,,,,,,,,,,,,,,1,1,1,,
Intramusculaire (avec syndrome des loges),,,,,,,,,,,,,,,,,,1,1,1,,
