Country,Region,Selected,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Afeganistão,Ásia,,,
Ilhas Aland,Europa,,,
Albânia,Europa,,,
Argélia,África,,,
Samoa americano,Oceânia,,,
Andorra,Europa,,,
Angola,África,,,
Anguilla,Américas,,,
Antártica,Polar,,,
Antígua e Barbuda,Américas,,,
Argentina,Américas,,,
Armênia,Ásia,,,
Aruba,Américas,,,
Austrália,Oceânia,,,
Áustria,Europa,,,
Azerbaijão,Ásia,,,
Bahrein,Ásia,,,
Bangladesh,Ásia,,,
Barbados,Américas,,,
Bielorrússia,Europa,,,
Bélgica,Europa,,,
Belize,Américas,,,
Benin,África,,,
Bermudas,Américas,,,
Butão,Ásia,,,
Bolívia,Américas,,,
"Bonaire, Sint Eustatius e Saba",Américas,,,
Bósnia e Herzegovina,Europa,,,
Botswana,África,,,
Ilha Bouvet,,,,
Brasil,Américas,,,
Território do Oceano Índico Britânico,África,,,
Brunei,Ásia,,,
Bulgária,Europa,,,
Burkina Faso,África,,,
Burundi,África,,,
Camboja,Ásia,,,
Camarões,África,,,
Canadá,Américas,,,
Cabo Verde,África,,,
Ilhas Cayman,Américas,,,
República da África Central,África,,,
Chade,África,,,
Chile,Américas,,,
China,Ásia,,,
Ilha Natal,Oceânia,,,
Ilhas Cocos (Keeling),Oceânia,,,
Colômbia,Américas,,,
Comores,África,,,
Congo,África,,,
Ilhas cozinheiras,Oceânia,,,
Costa Rica,Américas,,,
Cote D'ivoire (Costa do Marfim),África,,,
Croácia,Europa,,,
Cuba,Américas,,,
Curaçao,Américas,,,
Chipre,Europa,,,
República Tcheca,Europa,,,
República Democrática do Congo,África,,,
Dinamarca,Europa,,,
Djibuti,África,,,
Dominica,Américas,,,
República Dominicana,Américas,,,
Equador,Américas,,,
Egito,África,,,
El Salvador,Américas,,,
Guiné Equatorial,África,,,
Eritreia,África,,,
Estônia,Europa,,,
Eswatini,África,,,
Etiópia,África,,,
Ilhas das Malvinas,Américas,,,
Ilhas Faroe,Europa,,,
Ilhas Fiji,Oceânia,,,
Finlândia,Europa,,,
França,Europa,,,
Guiana francesa,Américas,,,
Polinésia francesa,Oceânia,,,
Territórios do Sul da França,África,,,
Gabão,África,,,
Gâmbia,África,,,
Geórgia,Ásia,,,
Alemanha,Europa,,,
Gana,África,,,
Gibraltar,Europa,,,
Grécia,Europa,,,
Groenlândia,Américas,,,
Granada,Américas,,,
Guadalupe,Américas,,,
Guam,Oceânia,,,
Guatemala,Américas,,,
Guernsey e Alderney,Europa,,,
Guiné,África,,,
Guiné-bissau,África,,,
Guiana,Américas,,,
Haiti,Américas,,,
Heard Island e McDonald Islands,,,,
Honduras,Américas,,,
Hong Kong S.A.R.,Ásia,,,
Hungria,Europa,,,
Islândia,Europa,,,
Índia,Ásia,,,
Indonésia,Ásia,,,
Irã,Ásia,,,
Iraque,Ásia,,,
Irlanda,Europa,,,
Israel,Ásia,,,
Itália,Europa,,,
Jamaica,Américas,,,
Japão,Ásia,,,
Jersey,Europa,,,
Jordânia,Ásia,,,
Cazaquistão,Ásia,,,
Quênia,África,,,
Kiribati,Oceânia,,,
Kosovo,Europa,,,
Kuwait,Ásia,,,
Quirguistão,Ásia,,,
Laos,Ásia,,,
Letônia,Europa,,,
Líbano,Ásia,,,
Lesoto,África,,,
Libéria,África,,,
Líbia,África,,,
Liechtenstein,Europa,,,
Lituânia,Europa,,,
Luxemburgo,Europa,,,
Macau S.A.R.,Ásia,,,
Madagáscar,África,,,
Malawi,África,,,
Malásia,Ásia,,,
Maldivas,Ásia,,,
Mali,África,,,
Malta,Europa,,,
Homem (Ilha de),Europa,,,
Ilhas Marshall,Oceânia,,,
Martinica,Américas,,,
Mauritânia,África,,,
Maurício,África,,,
Mayotte,África,,,
México,Américas,,,
Micronésia,Oceânia,,,
Moldávia,Europa,,,
Mônaco,Europa,,,
Mongólia,Ásia,,,
Montenegro,Europa,,,
Montserrat,Américas,,,
Marrocos,África,,,
Moçambique,África,,,
Mianmar,Ásia,,,
Namíbia,África,,,
Nauru,Oceânia,,,
Nepal,Ásia,,,
Holanda,Europa,,,
Nova Caledônia,Oceânia,,,
Nova Zelândia,Oceânia,,,
Nicarágua,Américas,,,
Níger,África,,,
Nigéria,África,,,
Niue,Oceânia,,,
Ilha de Norfolk,Oceânia,,,
Coréia do Norte,Ásia,,,
Macedônia do Norte,Europa,,,
Ilhas do norte da Mariana,Oceânia,,,
Noruega,Europa,,,
Omã,Ásia,,,
Paquistão,Ásia,,,
Palau,Oceânia,,,
Território palestino ocupado,Ásia,,,
Panamá,Américas,,,
Papua Nova Guiné,Oceânia,,,
Paraguai,Américas,,,
Peru,Américas,,,
Filipinas,Ásia,,,
Ilha Pitcairn,Oceânia,,,
Polônia,Europa,,,
Portugal,Europa,,,
Porto Rico,Américas,,,
Catar,Ásia,,,
Reunião,África,,,
Romênia,Europa,,,
Rússia,Europa,,,
Ruanda,África,,,
Saint Helena,África,,,
Saint Kitts e Nevis,Américas,,,
Saint Lucia,Américas,,,
São Pierre e Miquelon,Américas,,,
São Vicente e Granadinas,Américas,,,
Saint-Barthelemy,Américas,,,
Saint-Martin (parte francesa),Américas,,,
Samoa,Oceânia,,,
San Marino,Europa,,,
São tomo e príncipe,África,,,
Arábia Saudita,Ásia,,,
Senegal,África,,,
Sérvia,Europa,,,
Seychelles,África,,,
Serra Leoa,África,,,
Cingapura,Ásia,,,
Sint Maarten (parte holandesa),Américas,,,
Eslováquia,Europa,,,
Eslovênia,Europa,,,
Ilhas Salomão,Oceânia,,,
Somália,África,,,
África do Sul,África,,,
Geórgia do Sul,Américas,,,
Coréia do Sul,Ásia,,,
Sudão do Sul,África,,,
Espanha,Europa,,,
Sri Lanka,Ásia,,,
Sudão,África,,,
Suriname,Américas,,,
Svalbard e Jan Mayen Islands,Europa,,,
Suécia,Europa,,,
Suíça,Europa,,,
Síria,Ásia,,,
Taiwan,Ásia,,,
Tajiquistão,Ásia,,,
Tanzânia,África,,,
Tailândia,Ásia,,,
As Bahamas,Américas,,,
Timor-Leste,Ásia,,,
Ir,África,,,
Tokelau,Oceânia,,,
Tonga,Oceânia,,,
Trinidad e Tobago,Américas,,,
Tunísia,África,,,
Peru,Ásia,,,
Turquemenistão,Ásia,,,
Ilhas Turks e Caicos,Américas,,,
Tuvalu,Oceânia,,,
Uganda,África,,,
Ucrânia,Europa,,,
Emirados Árabes Unidos,Ásia,,,
Reino Unido,Europa,,,
Estados Unidos,Américas,,,
Ilhas Menores Estados Unidos,Américas,,,
Uruguai,Américas,,,
Uzbequistão,Ásia,,,
Vanuatu,Oceânia,,,
Estado da cidade do Vaticano (Santa Sé),Europa,,,
Venezuela,Américas,,,
Vietnã,Ásia,,,
Ilhas Virgens (britânico),Américas,,,
Ilhas Virgens (EUA),Américas,,,
Wallis e Futuna Islands,Oceânia,,,
Saara Ocidental,África,,,
Iémen,Ásia,,,
Zâmbia,África,,,
Zimbábue,África,,,
