Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,Completion Guideline2,Language Speaker Reviewed,Clinical Language Speaker Reviewed
presentación,,subjid,Número de identificación del participante (PIN),,El número de identificación del participante o PIN es un número único que se utiliza para identificar los datos del paciente (participante).,Escriba el número de identificación del participante (PIN).,Write the Participant Identification Number (PIN).,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_disease,Infección sospechada o confirmada,,Se refiere a cualquier infección sospechosa o confirmada.,"Si se sospecha más de una infección, seleccione la más probable y complete la sección PRUEBAS DE PATÓGENOS con la confirmación del laboratorio.","If more than one infection is suspected, select the most likely and complete the PATHOGEN TESTING section with laboratory confirmation.",,
presentación,CRITERIOS DE INCLUSIÓN,inclu_reason,¿Es la infección sospechada o confirmada el motivo del ingreso hospitalario?,"1, Sí | 0, No | 99, Desconocido",Se refiere a si la infección sospechosa o confirmada por el patógeno de interés es el motivo (indicación) del ingreso hospitalario.,Indique «Sí» si se sospecha o se confirma la infección por el patógeno de interés si es el motivo (indicación) del ingreso hospitalario. Indique «No» si la infección sospechada o confirmada por el patógeno de interés no es el motivo (indicación) del ingreso hospitalario.,Indicate 'Yes' if suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission. Indicate 'No' if the suspected or confirmed infection with the pathogen of interest is not the reason (indication) for hospital admission.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_case,Estado del caso,"1, Confirmado | 2, Probable | 3, Sospechoso | 4, Descartado | 5, Error","Confirmado se refiere a un caso confirmado por laboratorio y que puede cumplir los criterios clínicos descritos en la definición del caso. Probable se refiere a una enfermedad clínicamente compatible que está relacionada epidemiológicamente con un caso confirmado sin confirmación de laboratorio de la infección por el patógeno de interés. Sospechoso se refiere a una enfermedad clínicamente compatible sin relación epidemiológica ni confirmación de laboratorio. Descartado se refiere a un paciente con una prueba de laboratorio negativa y que no cumple los criterios para ser considerado un caso sospechoso, probable o confirmado. ",Seleccione la opción más adecuada que represente el estado del caso. ,Select the most appropriate option that represents the status of the case. ,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_testreason,Motivo por el que se realizó la prueba al paciente,"1, Sintomático | 2, Asintomático, rastreado | 3, Asintomático, campaña de pruebas masivas | 4, No se ha realizado la prueba",Se refiere al motivo por el que se realizó la prueba del patógeno de interés al paciente.,Seleccione la opción más adecuada que corresponda al motivo por el que se realizó la prueba del patógeno de interés al paciente.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentdes,Consentimiento:,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent,El participante (o su representante) ha dado su consentimiento para participar en este estudio.,"1, Sí | 0, No, el participante no aceptó participar en el estudio | 2, No, el comité de ética aprobó una exención del consentimiento | 99, Desconocido",Se refiere al consentimiento informado del paciente o su representante para participar en este estudio.,Indique «Sí» si el paciente o su representante han dado su consentimiento informado para participar en este estudio.,Indicate 'Yes' if the patient or their representative has provided their informed consent for participation in this study.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_date,Fecha del consentimiento,,Se refiere a la fecha en la que se obtuvo el consentimiento informado para la inclusión de los participantes en este estudio.,Escriba la fecha en la que se dio el consentimiento informado para la inclusión de los participantes en este estudio. Utilice el formato DD/MM/AAAA.,Write the date on which informed consent was given for the participants inclusion in this study. Use DD/MM/YYYY format.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_who,Consentimiento otorgado por,"1, Participante | 2, Padre/madre/tutor | 3, Persona consultada | 4, Médico independiente",Se refiere a quién dio el consentimiento para participar en este estudio.,Seleccione la opción más adecuada que represente quién dio el consentimiento para participar en este estudio.,Select the most appropriate option that represents who provided the consent for participation in this study.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_whopg,¿El niño o joven da su asentimiento?,"1, Sí | 0, No | 2, No competente",Se refiere al consentimiento dado por un menor o un adulto que no puede dar su consentimiento por sí mismo para participar en un estudio. El consentimiento debe ir acompañado del consentimiento de un padre o tutor legal para la participación plena en el estudio.,Seleccione la opción más adecuada que represente si se dio el consentimiento para participar en este estudio.,Select the most appropriate option that represents whether assent was provided for participation in this study.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent2des,"Uso secundario de los datos recopilados, el participante está de acuerdo con las siguientes declaraciones:",,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secrsch,"Uso futuro de datos seudonimizados en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",Se refiere al consentimiento para el uso secundario futuro de datos seudonimizados en investigaciones aprobadas éticamente.,Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,This is an optional consent question and is not required for completion of the remaining CRF.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secprod,"Uso futuro de datos seudonimizados para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de datos seudonimizados para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,This is an optional consent question and is not required for completion of the remaining CRF.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secgen,"Uso futuro de datos genéticos seudonimizados en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",Se refiere al consentimiento para el uso secundario futuro de datos genéticos seudonimizados en investigaciones aprobadas éticamente.,Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,This is an optional consent question and is not required for completion of the remaining CRF.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentsecsamp,"Uso secundario de las muestras recogidas, el participante está de acuerdo con las siguientes declaraciones:",,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsamprsch,"Uso futuro de muestras seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.,This is an optional consent question and is not required for completion of the remaining CRF.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsampprod,"Uso futuro de muestras o materiales seudonimizados o de datos derivados de dichas muestras para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras o materiales seudonimizados o datos derivados de dichas muestras para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.,This is an optional consent question and is not required for completion of the remaining CRF.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsampgen,"Uso futuro de muestras genéticas seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras genéticas seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.,This is an optional consent question and is not required for completion of the remaining CRF.,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentcont,Contacto:,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_contnstudy,"Ser contactado para participar en futuros trabajos, incluidos estudios de investigación.","1, Sí | 0, No","Se refiere al contacto que se utilizará para participar en trabajos futuros, incluida la investigación.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.,This is an optional consent question and is not required for completion of the remaining CRF.,,
presentación,INICIO Y PRESENTACIÓN,dates_onsetdate,Fecha de manifestación del primer síntoma o del síntoma más temprano,,Se refiere a la fecha de aparición del primer síntoma o del síntoma más temprano clínicamente relacionado con el episodio actual de la enfermedad.,"Indique la fecha del primer síntoma que, según su criterio clínico, estuvo relacionado con este episodio de enfermedad en formato DD/MM/AAAA.",Provide the date of the first symptom that you clinically believe was related to this episode of illness in DD/MM/YYYY format.,,
presentación,INICIO Y PRESENTACIÓN,dates_symptpres,¿Presenta síntomas en la evaluación inicial?,"1, Sí | 0, No | 99, Desconocido",Se refiere a si el paciente presentaba síntomas en la consulta inicial.,Indique «Sí» si el paciente presentaba síntomas en la consulta inicial.,"Indicate 'Yes', if the patient was symptomatic at the initial presentation.",,
presentación,INICIO Y PRESENTACIÓN,dates_firstsym,Síntoma(s) durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan),,"Se refiere al primer síntoma o síntomas (si se presentaron varios al mismo tiempo) que, según su criterio clínico, estaban relacionados con este episodio de la enfermedad.",Seleccione todos los síntomas que el paciente experimentó durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).,Select all symptoms which the patient experienced during the first 24 hours of illness (select all that apply).,,
presentación,INICIO Y PRESENTACIÓN,dates_consultdate,Fecha de la primera consulta clínica,,Se refiere a la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad.,Indique la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad en formato DD/MM/AAAA.,Provide the date of first clinical consultation related to the current episode of illness in DD/MM/YYYY format.,,
presentación,INICIO Y PRESENTACIÓN,dates_adm,Ingresado en el hospital,"1, Sí | 0, No | 99, Desconocido",Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Indique «Sí» si el paciente fue ingresado en su centro.,"Indicate 'Yes', if that patient was admitted to your site.",,
presentación,INICIO Y PRESENTACIÓN,dates_adm_reas,Motivo de la hospitalización,,Se refiere al motivo (indicación) de la hospitalización.,"Si la respuesta es «Sí», especifique el motivo (indicación) de la hospitalización.","If 'Yes', specify the reason (indication) for hospitalisation.",,
presentación,INICIO Y PRESENTACIÓN,dates_adm_date,Fecha de ingreso en el hospital,,Se refiere a la fecha de hospitalización/ingreso del paciente en su centro por la enfermedad actual.,Introduzca la fecha de hospitalización/ingreso en su centro (en formato DD/MM/AAAA).,Enter the date of hospitalisation / admission to your site (in DD/MM/YYYY format).,,
presentación,INICIO Y PRESENTACIÓN,dates_adm_time,Hora de ingreso en el hospital,,Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Introduzca la hora de ingreso en su centro en formato de 24 horas (00:00 - 24:00 horas).,Enter the time of admission to your site in 24-hour format (00:00 - 24:00 hours).,,
presentación,INICIO Y PRESENTACIÓN,dates_enrolmentdate,Fecha de inclusión/inicio de la recopilación de datos,,Se refiere a la fecha de inscripción/inicio de la recopilación de datos.,Introduzca la fecha de inscripción del paciente en el estudio en formato día/mes/año (DD/MM/AAAA).,Enter date of patient study enrolment in the format of day/month/year (DD/MM/YYYY).,,
