Sample_Type,Code,Library,Selected,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Liquide amniotique,TEMP,TEMP,,,,,,,,1,,
BAL (lavage bronchoalvéolaire),TEMP,TEMP,1.0,1.0,,,1.0,,1.0,2,,
Sang,TEMP,TEMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,,
Lait maternel,TEMP,TEMP,,,,,,,,4,,
Écouvillon buccal,TEMP,TEMP,,,,1.0,,1.0,,5,,
CSF (liquide céphalo-rachidien),TEMP,TEMP,,,1.0,1.0,,1.0,,6,,
Écouv contre la gorge nasal / NP + combiné,TEMP,TEMP,1.0,1.0,,,1.0,,1.0,7,,
ETA (Endotracheal Aspirate),TEMP,TEMP,1.0,1.0,,,1.0,,1.0,8,,
Tampon des yeux,TEMP,TEMP,,,,1.0,,1.0,1.0,9,,
Fèces / écouvillonnage rectal,TEMP,TEMP,,,,1.0,,1.0,,10,,
Lésion / croûte (peau) Écouvillon,TEMP,TEMP,,,,1.0,,1.0,,11,,
Écouvillon nasal / NP,TEMP,TEMP,1.0,1.0,,,1.0,,1.0,12,,
Sang-né,TEMP,TEMP,,,1.0,,,,,13,,
Sperme,TEMP,TEMP,,,,1.0,,1.0,,14,,
Expectorations,TEMP,TEMP,1.0,1.0,,,1.0,,1.0,15,,
Échantillon,TEMP,TEMP,,,,,,,,16,,
Écouvrage de la gorge,TEMP,TEMP,1.0,1.0,,1.0,1.0,1.0,1.0,17,,
Écouvillon urétral,TEMP,TEMP,,,,,,,,18,,
Urine,TEMP,TEMP,,,,1.0,,1.0,,19,,
Écouvillon vaginal,TEMP,TEMP,,,,1.0,,1.0,,20,,
