Country,Region,Selected
Afganistán,Asia,
Islas Aland,Europa,
Albania,Europa,
Argelia,África,
Samoa Americana,Oceanía,
Andorra,Europa,
Angola,África,
Anguila,Américas,
Antártida,Polar,
Antigua y Barbuda,Américas,
Argentina,Américas,
Armenia,Asia,
Aruba,Américas,
Australia,Oceanía,
Austria,Europa,
Azerbaiyán,Asia,
Bahréin,Asia,
Bangladés,Asia,
Barbados,Américas,
Bielorrusia,Europa,
Bélgica,Europa,
Belice,Américas,
Benín,África,
islas Bermudas,Américas,
Bután,Asia,
Bolivia,Américas,
"Bonaire, San Eustaquio y Saba",Américas,
Bosnia y Herzegovina,Europa,
Botsuana,África,
Isla Bouvet,,
Brasil,Américas,
Territorio Británico del Océano Índico,África,
Brunéi,Asia,
Bulgaria,Europa,
Burkina Faso,África,
Burundi,África,
Camboya,Asia,
Camerún,África,
Canadá,Américas,
Cabo Verde,África,
Islas Caimán,Américas,
República Centroafricana,África,
Chad,África,
Chile,Américas,
Porcelana,Asia,
Isla de Navidad,Oceanía,
Islas Cocos (Keeling),Oceanía,
Colombia,Américas,
Comoras,África,
Congo,África,
Islas Cook,Oceanía,
Costa Rica,Américas,
Costa de Marfil (Costa de Marfil),África,
Croacia,Europa,
Cuba,Américas,
Curazao,Américas,
Chipre,Europa,
República Checa,Europa,
República Democrática del Congo,África,
Dinamarca,Europa,
Yibuti,África,
Dominica,Américas,
República Dominicana,Américas,
Ecuador,Américas,
Egipto,África,
El Salvador,Américas,
Guinea Ecuatorial,África,
Eritrea,África,
Estonia,Europa,
Eswatini,África,
Etiopía,África,
Islas Malvinas,Américas,
Islas Feroe,Europa,
Islas Fiji,Oceanía,
Finlandia,Europa,
Francia,Europa,
Guayana Francesa,Américas,
Polinesia Francesa,Oceanía,
Territorios Australes Franceses,África,
Gabón,África,
Gambia La,África,
Georgia,Asia,
Alemania,Europa,
Ghana,África,
Gibraltar,Europa,
Grecia,Europa,
Tierra Verde,Américas,
Granada,Américas,
Guadalupe,Américas,
Guam,Oceanía,
Guatemala,Américas,
Guernsey y Alderney,Europa,
Guinea,África,
Guinea-Bissau,África,
Guayana,Américas,
