Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Aminophylline (Truphylline), R03DA05   , ATC     ,,,,,,,,,,1,,
"Béclométasone (Qvar, Beconase AQ)", R03BA01   , ATC     ,,,,,,,,,,2,,
Caspofongine (Cancidas), J02AX04   , ATC     ,,,,,,,,,,3,,
Chloroquine (Aralen), P01BA01   , ATC     ,,,1.0,,,,,1.0,,4,,
"Clobétasol (Temovate, Olux, Impoyz)",D07AD01,ATC,,,,,,,,,Topical,5,,
Fluconazole (Diflucan), J02AC01   , ATC     ,,,,,,,,,,6,,
"Fluticasone (Flovent, Flonase)", R03BA05   , ATC     ,,,,,,,,,,7,,
Furoate de fluticasone, R03BA09, ATC     ,,,,,,,,,,8,,
"Formotérol (Foradil, Perforomist)", R03AC13, ATC     ,,,,,,,,,,9,,
Formotérol et béclométasone (Fostair), R03AK11   , ATC     ,,,,,,,,,,10,,
Formotérol et budésonide (Symbicort), R03AK07   , ATC     ,,,,,,,,,,11,,
Bromure de glycopyrronium (Seebri), R03BB06   , ATC     ,,,,,,,,,,12,,
Hydroxychloroquine (Plaquenil), P01BA02   , ATC     ,,,,,,,,,,13,,
"Imiquimod (Aldara, Zyclara)",D06BB10  ,ATC,,,,,,,,,Topical/Locally acting,14,,
Indacatérol et bromure de glycopyrronium (Ultibro Breezhaler), R03AL04, ATC     ,,,,,,,,,,15,,
Interféron alpha, L03AB01 , ATC     ,,,1.0,,,,,1.0,,16,,
Interféron bêta, L03AB02 , ATC     ,,,1.0,,,,,1.0,,17,,
Bromure d'ipratropium (Atrovent), R03BB01   , ATC     ,,,,,,,,,,18,,
Ivermectine (Stromectol), P02CF01   , ATC     ,,,,,,,,,,19,,
Mafénide (Sulfamylon),D06BA03,ATC,,,,,,,,,Topical,20,,
"Mométasone (Asmanex, Nasonex)", R03BA07, ATC     ,,,,,,,,,,21,,
Montélukast (singulair), R03DC03   , ATC     ,,,,,,,,,,22,,
Mupirocine (Bactroban),D06AX09,ATC,,,,,,,,,Topical/Locally acting,23,,
"Nystatine (Bio-statine, Nyamyc)",A02AA01,ATC,,,,,,,,,Locally acting,24,,
"Podophyllotoxine (Podofilox, Condylox)",D06BB04 ,ATC,,,,,,,,,Topical,25,,
Primaquine, P01BA03   , ATC     ,,,,,,,,,,26,,
"Salbutamol (Ventoline, Proventil)", R03AC02   , ATC     ,,,,,,,,,,27,,
Salmétérol (Serevent), R03AC12   , ATC     ,1.0,,,,,,,,,28,,
"Salmétérol et Fluticasone (Advair, Seretide)", R03AK06   , ATC     ,,,,,,,,,,29,,
Soufre précipité dans la vaseline,D10AB02,ATC,,,,,,,,,Topical,30,,
"Théophylline (Théo-24, Elixophylline)", R03DA04   , ATC     ,,,,,,,,,,31,,
Bromure de tiotropium (Spiriva), R03BB04   , ATC     ,,,,,,,,,,32,,
Acide trichloroacétique,78151001,SNOMED,,,,,,,,,Topical,33,,
Vilantérol et furoate de fluticasone (Breo Ellipta), R03AK10   , ATC     ,,,,,,,,,,34,,
Vilantérol et bromure d'uméclidinium (Anoro Ellipta),R03AL03, ATC     ,1.0,,,,,,,,,35,,
