Drugs,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Analgésique,1.0,,1.0,,373265006 |Analgesic (substance)|,SNOMED,1,,
Antibiotique,1.0,1.0,,1.0,255631004 |Antibiotic (product)|,SNOMED,2,,
Anticoagulant,,1.0,,1.0,372862008 |Anticoagulant (substance)|,SNOMED,3,,
Antifongique,1.0,1.0,,1.0,373219008 |Substance with antifungal mechanism of action (substance)|,SNOMED,4,,
Antihistamine,,,,,6425004 |Product containing histamine receptor antagonist (product)|,SNOMED,5,,
Antiprotozoaire,,,,,788027008 |Medicinal product acting as antiprotozoal agent (product)|,SNOMED,6,,
Antiprurite,1.0,,,,312067003 |Local antipruritic agent (product)|,SNOMED,7,,
Antiviral,1.0,1.0,1.0,1.0,372701006,SNOMED,8,,
Plasma de convalescence,,,,,1179779000,SNOMED,9,,
Corticostéroïde,1.0,1.0,1.0,1.0,116566001,SNOMED,10,,
Diurétiques,,,,,372695000,SNOMED,11,,
Immunomodulateur,,,1.0,,372558009,SNOMED,12,,
Médicaments immunosuppresseurs (non-stéroïde),,,1.0,,69431002,SNOMED,13,,
Inotropes / vasopresseur,,1.0,,1.0,373213009 |Inotropic agent (substance)|870406003 |Vasopressor (substance)|,SNOMED,14,,
Immunoglobuline intraveineuse,,,1.0,,698802001,SNOMED,15,,
Antibiotique topique,1.0,,,,255631004 |Antibiotic (product)| 6064005 |Topical route (qualifier value)|,SNOMED,16,,
