Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Beclométhasone (Becometasone, Beconase)",,,,,,,,,,R03BA01,ATC,,1,,
"Bétaméthasone (Celestone, betnelan)",,,,,,,,,,H02AB01,ATC,,2,,
Budesonide (Pulmicort),,,,,,,,,,R03BA02,ATC,,3,,
Cortisone (Cortone),,,,,,1,,,,H02AB10,ATC,,4,,
"Dexaméthasone (décadron, dexasone, diodex)",1,,1,1,1,,1,1,1,H02AB02,ATC,,5,,
"Fludrocortisone (Astonin, Florinef)",,,,,,,,,,H02AA02,ATC,,6,,
"Fluticasone (Flovent, Flonase)",,,,,,,,,,R03BA05,ATC,,7,,
"Hydrocortisone (Cortef, Solu-Cortef)",1,,1,1,1,,1,1,1,H02AB09,ATC,,8,,
"Méthylprednisolone (medrol, solu-médrol)",1,,1,1,1,,1,1,1,H02AB04,ATC,,9,,
"Mometasone (Asmanex, Elocon, Nasonex)",,,,,,,,,,R03BA07,ATC,,10,,
"Prednisolone (prélone, orapred)",1,,1,1,,,1,1,,H02AB06,ATC,,11,,
Prednisone (deltasone),1,,,1,1,,,,1,H02AB07,ATC,,12,,
"Triamcinolone (Kenalog, Aristocort)",,,,,,,,,,H02AB08,ATC,,13,,
