Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Unnamed: 6,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acide acétylsalicylique (aspirine),1,,,1,,,,B01AC06,ATC,,,1,,
AltePlase (Activase),,,,,,,,B01AD02,ATC,,,2,,
Apixaban (Elimisis),1,,1,1,,,,B01AF02,ATC,,,3,,
Argatroban (ACOVA),,,,,,,,B01AE03,ATC,,,4,,
Bivalirudin (angiomax),,,,,,,,B01AE06,ATC,,,5,,
Clopidogrel (plavix),1,,,,,,,B01AC04,ATC,,,6,,
Étexilat du dabigatran (Pradaxa),1,,,,,,,B01AE07,ATC,,,7,,
Dalteparine (fragmin),,,,,,,,B01AB04,ATC,,,8,,
Desirudin (iPrivask),,,,,,,,B01AE01,ATC,,,9,,
"Edoxaban (Savaysa, Lixiana)",,,,,,,,B01AF03,ATC,,,10,,
Énoxaparine (lovenox),1,,1,1,,1,,B01AB05,ATC,,,11,,
Fondaparinux (Arixtra),,,,,,,,B01AX05,ATC,,,12,,
Héparine (héparine non fractionnée),1,,,1,,1,,B01AB01,ATC,,,13,,
Lépirudin (reflude),,,,,,,,B01AE02,ATC,,,14,,
Rivaroxaban (xarelto),1,,1,,,,,B01AF01,ATC,,,15,,
Streptokinase,,,,,,,,B01AD01,ATC,,,16,,
Ticagrelor (Brilinta),1,,,,,,,B01AC24,ATC,,,17,,
Ticlopidine (ticlid,,,,,,,,B01AC05,ATC,,,18,,
Tinzaparine (innohep),,,,,,,,B01AB10,ATC,,,19,,
Urokinase (kinlytique),,,,,,,,B01AD04,ATC,,,20,,
"Warfarine (Coumadin, Jantoven)",1,,,1,,,,B01AA03,ATC,,,21,,
