Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Beclometasona (Beclometasone, Beconase)",,,,,,,,,,R03BA01,ATC,,1,,
"Betametasona (Celestone, Betnelan)",,,,,,,,,,H02AB01,ATC,,2,,
Budesonide (pulmicort),,,,,,,,,,R03BA02,ATC,,3,,
Cortisona (cortone),,,,,,1,,,,H02AB10,ATC,,4,,
"Dexametasona (decadrón, dexasone, diodex)",1,,1,1,1,,1,1,1,H02AB02,ATC,,5,,
"Fludrocortisona (Astonin, Florinef)",,,,,,,,,,H02AA02,ATC,,6,,
"Fluticasona (Flovente, Flonase)",,,,,,,,,,R03BA05,ATC,,7,,
"Hidrocortisona (Cortef, Solu-Cortef)",1,,1,1,1,,1,1,1,H02AB09,ATC,,8,,
"Metilprednisolona (Medrol, Solu-Medrol)",1,,1,1,1,,1,1,1,H02AB04,ATC,,9,,
"Mometasone (Asmanex, Elocon, Nasonex)",,,,,,,,,,R03BA07,ATC,,10,,
"Prednisolona (prelone, orapred)",1,,1,1,,,1,1,,H02AB06,ATC,,11,,
Prednisona (Deltasone),1,,,1,1,,,,1,H02AB07,ATC,,12,,
"Triamcinolona (Kenalog, Aristocort)",,,,,,,,,,H02AB08,ATC,,13,,
