Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Aciclovir (Aciclovir, Zovirax)",J05AB01  ,ATC     ,,,,,,,,,,,1,,
"Amantadina (Gocovri, Osmolex ER, Symmetrel)",N04BB01,ATC,,,,,,,1.0,,,,2,,
Atazanavir (Reyataz),J05AE08,ATC     ,,,,,,,,,,,3,,
Baloxavir Marboxil (xofluza),782500006,SNOMED,,,,,,1.0,1.0,,,,4,,
Brincidofovir,J05AB17,ATC     ,1.0,,,,1.0,,,,1.0,,5,,
Bulevirtide (Hepcludex),J05AX28,ATC     ,,,,,,,,,,,6,,
Cidofovir (Vistide),J05AB12,ATC     ,1.0,,,,1.0,,,,1.0,,7,,
Darunavir (prezista),J05AE10,ATC     ,,,,,,,,,,,8,,
Dolutegravir (Tivicay),J05AJ03,ATC     ,,,,,,,,,,,9,,
Efavirenz (sustenta),J05AG03,ATC     ,,,,,,,,,,,10,,
Emtricitabina (Emtriva),J05AF09,ATC     ,,,,,,,,,,,11,,
Famciclovir (Famvir),J05AB09,ATC     ,,,,,,,,,,,12,,
Favipiravir (Avigan),J05AX27,ATC     ,,,1.0,,,1.0,1.0,1.0,,,13,,
Fluoxetina,N06AB03,ATC     ,,,,,,,,,,,14,,
Ganciclovir (citoveno),J05AB06,ATC     ,,,,,,,,,,,15,,
"Lamivudina (Epivir, 3TC)",J05AF05,ATC     ,,,,,,,,,,,16,,
Laninamivir,OMOP5173449,RxNorm Extension,,,,,,1.0,,,,,17,,
Lopinavir/Ritonavir (Kaletra),J05AR10  ,ATC     ,,,1.0,,,,,,,,18,,
Molnupiravir (Lagevrio),J05AB18 ,ATC     ,,,,,,,,,,,19,,
Nirmatrelvir/retonavir (Paxlovid),J05AE30,ATC     ,,,,,,,,,,,20,,
Oseltamivir (Tamiflu),J05AH02  ,ATC     ,,,1.0,,,1.0,1.0,,,,21,,
Penciclovir (Denavir),J05AB13  ,ATC     ,,,,,,,,,,,22,,
Peramivir,619693,RxNorm,,,,,,1.0,,,,,23,,
Pleconaril,J05AX06,ATC     ,,,,,,,,,,,24,,
Pocapavir,,,,,,,,,,,,,25,,
Raltegravir (isentress),J05AJ01,ATC     ,,,,,,,,,,,26,,
Remdesivir (Veklury),J05AB16,ATC     ,,,1.0,,,,,1.0,,,27,,
"Ribavirina (Rebetol, Copegus)",J05AP01,ATC     ,,,,,,,,1.0,,,28,,
Rimantadine (Flumadine),J05AC02,ATC     ,,,,,,,1.0,,,,29,,
Tecovirimat,J05AX24,ATC     ,1.0,,,,1.0,,,,1.0,,30,,
Tenofovir disoproxil (viread),J05AF07,ATC     ,,,,,,,,,,,31,,
Tenofovir alafenamida,J05AF13,ATC     ,,,,,,,,,,,32,,
Umifenovir (Arbidol),J05AX13,ATC     ,,,,,,1.0,1.0,,,,33,,
Valaciclovir (Valtrex),J05AB11,ATC     ,,,,,,,,,,,34,,
Valganciclovir (Valcyte),J05AB14,ATC     ,,,,,,,,,,,35,,
Zalcitabina,J05AF03,ATC     ,,,,,,,,,,,36,,
Zanamivir (relenza),J05AH01,ATC     ,,,1.0,,,1.0,1.0,,,,37,,
"Zidovudine (Retrovir, AZT)",J05AF01,ATC     ,,,,,,,,,,,38,,
