Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acingonium,63996006.0,SNOMED,fungi,1,,
Adénoviridae,424470006.0,SNOMED,virus,2,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",3,,
Andes orthohantavirus,442001008.0,SNOMED,virus,4,,
Arenaviridae,243624009.0,SNOMED,virus,5,,
Ascaris Lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,,
Aspergillus,2429008.0,SNOMED,fungi,7,,
Aspergillus flavus,66821001.0,SNOMED,fungi,8,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,,
Complexe d'Aspergillus fumigatus,719029007.0,SNOMED,fungi,10,,
Aspergillus Niger,89354002.0,SNOMED,fungi,11,,
Aspergillus terreus,26406003.0,SNOMED,fungi,12,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,,
Astroviridae,424055004.0,SNOMED,virus,14,,
Grippe aviaire A H5N1,772827006.0,SNOMED,virus,15,,
Aviaire grippe un H7N9,609444009.0,SNOMED,virus,16,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,18,,
Bocavirus (genre),430902006.0,SNOMED,virus,19,,
Brugia Malayi,112443002.0,SNOMED,"parasite, helminth",20,,
Bunyaviridae (famille),243615000.0,SNOMED,virus,21,,
Caliciviridae (famille),243627002.0,SNOMED,virus,22,,
Candidose,3265006.0,SNOMED,fungi,23,,
Candida albicans,53326005.0,SNOMED,fungi,24,,
Candida auris,3490000000000.0,SNOMED,fungi,25,,
Candida Dubliensis,115952006.0,SNOMED,fungi,26,,
Candida glabrata,444877006.0,SNOMED,fungi,27,,
Candida inconspicua,283871001.0,SNOMED,fungi,28,,
Orthopsilose Candida,3690000000000.0,SNOMED,fungi,29,,
Parapsilose candida,61302002.0,SNOMED,fungi,30,,
Candida tropicalis,47885008.0,SNOMED,fungi,31,,
Clavispora lusianiae,50164000.0,SNOMED,fungi,32,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,,
Coccidioides,8672004.0,SNOMED,fungi,34,,
Coccidioides immitis,23439005.0,SNOMED,fungi,35,,
Coronaviridae (famille),243607003.0,SNOMED,virus,36,,
Virus de fièvre hémorragique de Crimée (CCHF),79875007.0,SNOMED,virus,37,,
Cryptococcus gattii,450862004.0,SNOMED,fungi,38,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,39,,
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",40,,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",41,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",42,,
Curvularia lunata,33165007.0,SNOMED,fungi,43,,
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",44,,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45,,
Cytomégalovirus,407444007.0,SNOMED,virus,46,,
Deltavirus,83617006.0,SNOMED,virus,47,,
Virus de la dengue,34348001.0,SNOMED,virus,48,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50,,
Virus Ebola,424206003.0,SNOMED,virus,51,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",53,,
Entamoeba Dispar,415987008.0,SNOMED,"parasite, protozoa",54,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",55,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",56,,
Entérovirus (genre entérovirus),243633006.0,SNOMED,virus,57,,
Épidermyphyton,112403007.0,SNOMED,fungi,58,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,59,,
Falciformispora senegalensis (anciennement Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,60,,
Filoviridae (famille),407325004.0,SNOMED,virus,61,,
Flaviviridae (famille),243602009.0,SNOMED,virus,62,,
Champignons,414561005.0,SNOMED,fungi,63,,
Fusarium,35238009.0,SNOMED,fungi,64,,
Genre Marburgvirus,424421007.0,SNOMED,virus,65,,
Giardia,61419001.0,SNOMED,"parasite, protozoa",66,,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",67,,
Giardia Lamblia,78181009.0,SNOMED,"parasite, protozoa",68,,
Hantavirus,49445003.0,SNOMED,virus,69,,
Virus Hendra,115510008.0,SNOMED,virus,70,,
Hepadnaviridae,422951006.0,SNOMED,virus,71,,
Virus de l'hépatite A,32452004.0,SNOMED,virus,72,,
