Condition,Code,Library,Code.1,Library.1,Selected,Preset_H5Nx
Dolor abdominal,R10.9,ICD10,21522001,SNOMED,,
Alopecia (pérdida de cabello sin cicatrices),L65.9,ICD10,56317004,SNOMED,,
Alteración de la conciencia / Confusión (Desorientación),R41.0,ICD10,62476001 |Disorientated (finding)|,SNOMED,,
Anorexia,R63.0,ICD10,79890006,SNOMED,,
Apnea,R06.81,ICD10,1023001,SNOMED,,
Arritmia cardíaca,I49.9,ICD10,698247007,SNOMED,,
Ascitis,R18.8,ICD10,389026000,SNOMED,,
Sangrado (hemorragia),R58,ICD10,131148009,SNOMED,,
Hematomas (Equimosis espontáneas),R23.3,ICD10,308492005,SNOMED,,
No puedo sentir un lado del cuerpo o la cara (Hemiplejia),I69.959,ICD10,20022000,SNOMED,,
No puede moverse completamente ni controlar el movimiento (síndrome paralítico),G83.9,ICD10,44695005,SNOMED,,
Cambios en la menstruación (Menstruación irregular),N92.6,ICD10,80182007,SNOMED,,
Dolor en el pecho,R07.9,ICD10,29857009,SNOMED,,
Escalofríos (sin fiebre),R68.83,ICD10,43724002,SNOMED,,
Deterioro cognitivo (discapacidad intelectual no especificada),F79,ICD10,386806002,SNOMED,,
Conjuntivitis,H10.9,ICD10,9826008,SNOMED,,
Constipación,K59.0,ICD10,14760008,SNOMED,,
Tos,R05,ICD10,49727002,SNOMED,,
Palidez,R23.1,ICD10,398979000 ,SNOMED,,
Diarrea,R19.7,ICD10,267060006,SNOMED,,
Dificultad para comer o beber (disfagia),R13.10,ICD10,40739000,SNOMED,,
Alteración de la atención (Estado mental alterado),R41.82,ICD10,419284004,SNOMED,,
Mareos/aturdimiento (mareos y vértigo),R42,ICD10,271789005,SNOMED,,
Piel seca (xerosis cutis),L85.3,ICD10,52475004,SNOMED,,
Dolor de oído (otalgia),H92.0,ICD10,301354004,SNOMED,,
Disfunción eréctil,N52.9,ICD10,860914002,SNOMED,,
Incontinencia fecal,R15,ICD10,72042002,SNOMED,,
Desmayos / desmayos (síncope y colapso),R55,ICD10,309585006,SNOMED,,
Malestar y fatiga,R53,ICD10,271795006,SNOMED,,
Fiebre,R50.9,ICD10,386661006,SNOMED,1.0,1.0
Sangrado gastrointestinal (hemorragia gastrointestinal),K92.2,ICD10,74474003,SNOMED,,
Dolor de cabeza,R51,ICD10,25064002,SNOMED,,
Hepatomegalia,R16.0,ICD10,80515008,SNOMED,,
Dificultad para caminar,R26.2,ICD10,719232003,SNOMED,,
Aumento de la sed (polidipsia),R63.1,ICD10,249477003,SNOMED,,
Aumento de la micción (poliuria),R35.8,ICD10,28442001,SNOMED,,
Picor en los ojos,H57.8 ,ICD10,74776002,SNOMED,,
Dolor al orinar (disuria),R30.0,ICD10,49650001,SNOMED,,
Dificultad para alimentarse,R63.3,ICD10,78164000  ,SNOMED,,
Irritabilidad,R45.4,ICD10,55929007,SNOMED,,
Ictericia,R17,ICD10,18165001,SNOMED,,
Dolor en las articulaciones (artralgia),M25.5,ICD10,57676002,SNOMED,,
Queratitis,H16.9,ICD10,5888003,SNOMED,,
Debilidad/parálisis de las extremidades (monoplejia),G83.3,ICD10,713514005,SNOMED,,
Pérdida de apetito (anorexia),R63.0,ICD10,79890006,SNOMED,,
Pérdida del olfato (Anosmia),R43.0,ICD10,44169009,SNOMED,,
Pérdida del gusto (Parageusia),R43.2,ICD10,271801002,SNOMED,,
Linfadenitis,I88,ICD10,19471005,SNOMED,,
Lesión de la mucosa,,,427752005,SNOMED,1.0,1.0
Aftas bucales recurrentes,K12.0,ICD10,26284000,SNOMED,,
Dolores musculares (mialgia),M79.1,ICD10,68962001,SNOMED,,
Debilidad muscular,M62.81,ICD10,26544005,SNOMED,,
Náuseas o vómitos,R11,ICD10,16932000,SNOMED,,
Dolor en el pecho al respirar,R07.1,ICD10,274664007,SNOMED,,
Palpitaciones,R00.2,ICD10,80313002,SNOMED,,
Parestesia de la piel,R20.2,ICD10,91019004,SNOMED,,
Alteraciones visuales,H53,ICD10,63102001,SNOMED,,
Retención de orina,R33.9,ICD10,267064002,SNOMED,,
Trastorno del sueño,F51.9,ICD10,39898005,SNOMED,,
Trastornos del habla,R47.9,ICD10,29164008,SNOMED,,
Problemas para tragar o masticar (disfagia),R13.10,ICD10,40739000,SNOMED,,
Prurito,L29,ICD10,418363000,SNOMED,,
Latidos cardíacos rápidos/pulso (taquicardia),R00.0,ICD10,3424008,SNOMED,,
Erupciones o lesiones en la piel,R21,ICD10,271807003,SNOMED,,
Trastornos de la nariz y de los senos nasales,J34,ICD10,89488007,SNOMED,,
Convulsiones,R56.9,ICD10,91175000 ,SNOMED,,
Dificultad para respirar (disnea),R06.0,ICD10,267036007,SNOMED,,
Congestión nasal,R09.81,ICD10,68235000  ,SNOMED,,
Erupción cutánea,R21,ICD10,271807003,SNOMED,,1.0
Cambios en la textura de la piel,R23.4,ICD10,274672009,SNOMED,,
Estornudos,R06.7,ICD10,162367006,SNOMED,,
Dolor de garganta (Dolor en la garganta),R07.0,ICD10,267102003,SNOMED,,
Hematomas espontáneos (Equimosis espontáneas),R23.3,ICD10,161887000,SNOMED,,
Sudoración (hiperhidrosis),R61,ICD10,312230002,SNOMED,,
Edema localizado,R60.0,ICD10,274724004,SNOMED,,
Ganglios linfáticos inflamados (ganglios linfáticos agrandados),R59.9,ICD10,30746006,SNOMED,,
Tinnitus,H93.1,ICD10,60862001,SNOMED,,
Temblor,R25.1,ICD10,26079004,SNOMED,,
Pérdida de peso anormal,R63.4,ICD10,267024001,SNOMED,,
Incontinencia urinaria,R32,ICD10,165232002,SNOMED,,
Sibilancia,R06.2,ICD10,56018004,SNOMED,,
Lesión cutánea,,,,SNOMED,1.0,
