Condition,Code,Library,Charlson,Elixhauser
Enfermedad por el virus de la inmunodeficiencia humana [VIH],19030005,SNOMED,1.0,1.0
Enfermedad autoinmune,85828009,SNOMED,,
Enfermedad hematológica crónica,398983000,SNOMED,,
Trastorno de la coagulación sanguínea,64779008,SNOMED,,
Ataque,230690007,SNOMED,1.0,1.0
Enfermedad cerebrovascular,62914000,SNOMED,1.0,1.0
Hemiplejia,50582007,SNOMED,1.0,1.0
Paraplejía,60389000,SNOMED,1.0,1.0
Enfermedad cardíaca crónica,128238001,SNOMED,,1.0
Enfermedad cardíaca isquémica,414545008,SNOMED,1.0,1.0
Fibrilación auricular,49436004,SNOMED,,1.0
Infarto de miocardio,22298006,SNOMED,1.0,1.0
Insuficiencia cardíaca congestiva,42343007,SNOMED,1.0,1.0
Enfermedad cardíaca congénita,13213009,SNOMED,,1.0
Miocardiopatía,85898001,SNOMED,,1.0
Trastorno de la válvula cardíaca,368009,SNOMED,,1.0
Trastorno inflamatorio crónico,128294001,SNOMED,,
Trastorno metabólico crónico,128289001,SNOMED,,1.0
Trastorno neurológico confirmado,407626008,SNOMED,,1.0
Enfermedad pulmonar crónica,413839001,SNOMED,,1.0
Enfermedad indiferenciada del tejido conectivo,239918008,SNOMED,,1.0
Demencia,52448006,SNOMED,1.0,1.0
Diabetes mellitus (todos los tipos),73211009,SNOMED,1.0,1.0
Hipertensión esencial,59621000,SNOMED,,1.0
Inmunosupresión,38013005,SNOMED,,1.0
Trastorno del metabolismo lipídico,267431006,SNOMED,,1.0
Enfermedad del hígado,235856003,SNOMED,,1.0
Enfermedad hepática moderada o grave,235856003 |Disorder of liver (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1.0,1.0
Hepatitis viral crónica,10295004,SNOMED,,1.0
Neoplasia maligna primaria,372087000,SNOMED,1.0,1.0
Leucemia,93143009,SNOMED,1.0,1.0
Linfoma maligno,118600007,SNOMED,1.0,1.0
Mieloma múltiple,109989006,SNOMED,1.0,1.0
Tumor carcinoide metastásico Cáncer,705176003,SNOMED,1.0,1.0
Configuración de tumor sólido,369757002,SNOMED,1.0,1.0
Trastornos neurodegenerativos,80690008,SNOMED,,1.0
Obesidad,414916001,SNOMED,,1.0
Enfermedad vascular periférica,400047006,SNOMED,1.0,1.0
Psicosis reactivas,231437006,SNOMED,,1.0
Trastorno de la circulación pulmonar,39785005,SNOMED,,1.0
Infección crónica,177010002,SNOMED,,
Enfermedades raras y errores congénitos del metabolismo,4121882,SNOMED,,
Enfermedad renal crónica,709044004,SNOMED,1.0,1.0
Enfermedad renal moderada o grave,90708001 |Kidney disease (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1.0,1.0
Insuficiencia renal crónica aguda,236433006,SNOMED,1.0,1.0
Trastornos reumatoides,396332003,SNOMED,1.0,1.0
Trasplante presente,737294004,SNOMED,1.0,1.0
Asplenia,707147002,SNOMED,,1.0
De fumar,77176002,SNOMED,,1.0
Trastorno por consumo de sustancias psicoactivas,11061003,SNOMED,,1.0
Trombosis venosa profunda recurrente,710167004,SNOMED,,1.0
Hipotiroidismo,40930008,SNOMED,,1.0
Hipertiroidismo,34486009,SNOMED,,1.0
Tuberculosis,56717001,SNOMED,1.0,1.0
