Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Aminofilina (Trufilina), R03DA05   , ATC     ,,,,,,,,,,1,,
"Beclometasona (Qvar, Beconase AQ)", R03BA01   , ATC     ,,,,,,,,,,2,,
Caspofungina (Cancidas), J02AX04   , ATC     ,,,,,,,,,,3,,
Cloroquina (Aralen), P01BA01   , ATC     ,,,1.0,,,,,1.0,,4,,
"Clobetasol (Temovate, Olux, Impoyz)",D07AD01,ATC,,,,,,,,,Topical,5,,
Fluconazol (Diflucan), J02AC01   , ATC     ,,,,,,,,,,6,,
"Fluticasona (Flovent, Flonase)", R03BA05   , ATC     ,,,,,,,,,,7,,
Furoato de fluticasona, R03BA09, ATC     ,,,,,,,,,,8,,
"Formoterol (Foradil, Perforomista)", R03AC13, ATC     ,,,,,,,,,,9,,
Formoterol e Beclometasona (Fostair), R03AK11   , ATC     ,,,,,,,,,,10,,
Formoterol e Budesonida (Symbicort), R03AK07   , ATC     ,,,,,,,,,,11,,
Brometo de glicopirrônio (Seebri), R03BB06   , ATC     ,,,,,,,,,,12,,
Hidroxicloroquina (Plaquenil), P01BA02   , ATC     ,,,,,,,,,,13,,
"Imiquimode (Aldara, Zyclara)",D06BB10  ,ATC,,,,,,,,,Topical/Locally acting,14,,
Indacaterol e brometo de glicopirrônio (Ultibro Breezhaler), R03AL04, ATC     ,,,,,,,,,,15,,
Interferon alfa, L03AB01 , ATC     ,,,1.0,,,,,1.0,,16,,
Interferon beta, L03AB02 , ATC     ,,,1.0,,,,,1.0,,17,,
Brometo de ipratrópio (Atrovent), R03BB01   , ATC     ,,,,,,,,,,18,,
Ivermectina (Stromectol), P02CF01   , ATC     ,,,,,,,,,,19,,
Mafenida (Sulfamilona),D06BA03,ATC,,,,,,,,,Topical,20,,
"Mometasona (Asmanex, Nasonex)", R03BA07, ATC     ,,,,,,,,,,21,,
Montelucaste (Singulair), R03DC03   , ATC     ,,,,,,,,,,22,,
Mupirocina (Bactroban),D06AX09,ATC,,,,,,,,,Topical/Locally acting,23,,
"Nistatina (Bio-estatina, Nyamyc)",A02AA01,ATC,,,,,,,,,Locally acting,24,,
"Podofilotoxina (Podofilox, Condylox)",D06BB04 ,ATC,,,,,,,,,Topical,25,,
Primaquina, P01BA03   , ATC     ,,,,,,,,,,26,,
"Salbutamol (Ventolin, Proventil)", R03AC02   , ATC     ,,,,,,,,,,27,,
Salmeterol (Serevent), R03AC12   , ATC     ,1.0,,,,,,,,,28,,
"Salmeterol e Fluticasona (Advair, Seretide)", R03AK06   , ATC     ,,,,,,,,,,29,,
"Enxofre, precipitado em petrolato",D10AB02,ATC,,,,,,,,,Topical,30,,
"Teofilina (Theo-24, Elixofilina)", R03DA04   , ATC     ,,,,,,,,,,31,,
Brometo de Tiotrópio (Spiriva), R03BB04   , ATC     ,,,,,,,,,,32,,
Ácido tricloroacético,78151001,SNOMED,,,,,,,,,Topical,33,,
Furoato de Vilanterol e Fluticasona (Breo Ellipta), R03AK10   , ATC     ,,,,,,,,,,34,,
Vilanterol e brometo de umeclidínio (Anoro Ellipta),R03AL03, ATC     ,1.0,,,,,,,,,35,,
