Condition,Code,Library,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Choc septique,76571007.0,SNOMED,,
Syndrome de détresse respiratoire aiguë (SDRA),67782005.0,SNOMED,,
Syndrome d'insuffisance rénale aiguë,14669001.0,SNOMED,,
Thrombose veineuse profonde,128053003.0,SNOMED,,
Embolie pulmonaire,59282003.0,SNOMED,,
Infarctus du myocarde,22298006.0,SNOMED,,
Accident vasculaire cérébral,422504002.0,SNOMED,,
Coup cardiombolique,413758000.0,SNOMED,,
Accident vasculaire cérébral,1.63717810001191e+16,SNOMED,,
Accident vasculaire cérébral hémorragique,1078001000000100.0,SNOMED,,
Coup thrombotique,371040005.0,SNOMED,,
Saignement gastro-intestinal récurrent,307296008.0,SNOMED,,
Pneumothorax,36118008.0,SNOMED,,
Coagulation intravasculaire disséminée (DIC),67406007.0,SNOMED,,
État septique,91302008.0,SNOMED,,
Arrêt cardiaque,410429000.0,SNOMED,,
Ischémie cérébrale transitoire,266257000.0,SNOMED,,
Bactérimie,5758002.0,SNOMED,,
Infection récurrente des voies urinaires,197927001.0,SNOMED,,
Pneumonie,233604007.0,SNOMED,,
Hypotension transitoire,94501000000000.0,SNOMED,,
Trouble de coagulation acquis,234466008.0,SNOMED,,
Grand foie,80515008.0,SNOMED,,
Méningite,7180009.0,SNOMED,,
Syndrome inflammatoire multisystème chez les adultes,1119306006.0,SNOMED,,
Syndrome inflammatoire multisystème chez les enfants,895448002.0,SNOMED,,
Encéphalite,45170000.0,SNOMED,,
Pneumonie associée au ventilateur,429271009.0,SNOMED,,
Empyème,312682007.0,SNOMED,,
Encéphalopathie ischémique,389100007.0,SNOMED,,
Saignement,131148009.0,SNOMED,,
Choc cardiogénique,89138009.0,SNOMED,,
Décompensation,87228002.0,SNOMED,,
Découverte neurologique,102957003.0,SNOMED,,
Pneumonie acquise à l'hôpital,425464007.0,SNOMED,,
