Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
,,,,,,,,,,1,,
,,,,,,,1.0,,,2,,
,,,,,,,,,,3,,
,,,,,,1.0,1.0,,,4,,
,1.0,,,,1.0,,,,1.0,5,,
,,,,,,,,,,6,,
,1.0,,,,1.0,,,,1.0,7,,
,,,,,,,,,,8,,
,,,,,,,,,,9,,
,,,,,,,,,,10,,
,,,,,,,,,,11,,
,,,,,,,,,,12,,
,,,1.0,,,1.0,1.0,1.0,,13,,
,,,,,,,,,,14,,
,,,,,,,,,,15,,
,,,,,,,,,,16,,
,,,,,,1.0,,,,17,,
,,,1.0,,,,,,,18,,
,,,,,,,,,,19,,
,,,,,,,,,,20,,
,,,1.0,,,1.0,1.0,,,21,,
,,,,,,,,,,22,,
,,,,,,1.0,,,,23,,
,,,,,,,,,,24,,
,,,,,,,,,,25,,
,,,,,,,,,,26,,
,,,1.0,,,,,1.0,,27,,
,,,,,,,,1.0,,28,,
,,,,,,,1.0,,,29,,
,1.0,,,,1.0,,,,1.0,30,,
,,,,,,,,,,31,,
,,,,,,,,,,32,,
,,,,,,1.0,1.0,,,33,,
,,,,,,,,,,34,,
,,,,,,,,,,35,,
,,,,,,,,,,36,,
,,,1.0,,,1.0,1.0,,,37,,
,,,,,,,,,,38,,
