Drugs (Generic),Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
,1,,,,,,,,,1,,
,1,1.0,1.0,,,,1.0,,,2,,
,1,1.0,1.0,,,,1.0,,,3,,
,,,,,,,,,,4,,
,1,,,,,,,,,5,,
,1,,,,,,,,,6,,
,2,,,,,,,,,7,,
,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,,
,2,,,,,,,,,9,,
,2,,,,,,,,,10,,
,2,,,,,,,,,11,,
,,,,,,,,,,12,,
,1,,,,,,,,,13,,
,2,,,,,,,,,14,,
,2,,,,,,,,,15,,
,,,,,,,,,,16,,
,2,,,,,,,,,17,,
,2,,,,,,,,,18,,
,1,,,,,,,,,19,,
,2,,,,,,,,,20,,
,1,,,,,,,,,21,,
,2,,,,,,,,,22,,
,2,,,,,,,,,23,,
,1,,,,,,,,,24,,
,2,,,,,,,,,25,,
,2,,,,,,,,,26,,
,,,,,,,,,,27,,
,1,1.0,,,,,,,,28,,
,2,,,,,,,,,29,,
,2,,,,,,,,,30,,
,2,,,,,,,,,31,,
,2,,,,,,,,,32,,
,1,,,,,,,,,33,,
,1,1.0,,,,,,,,34,,
,,1.0,,,,,,,,35,,
,2,,,,,,,,,36,,
,,,,,,,,,,37,,
,1,,,,,,,,,38,,
,1,1.0,1.0,1.0,,1.0,1.0,1.0,,39,,
,1,1.0,,,,,,,,40,,
,2,,,,,,,,,41,,
,2,,,,,,,,,42,,
,2,,,,,,,,,43,,
,2,,,,,,,,,44,,
,,1.0,,,,,,,,45,,
,2,,,,,,,,,46,,
,1,,,,,,,,,47,,
,1,1.0,,,,,,,,48,,
,1,,,,,,,,,49,,
,,,,,,,,,,50,,
,,,,,,,,,,51,,
,2,,,,,,,,,52,,
,,,,,,,,,,53,,
,2,,,,,,,,,54,,
,2,,,,,,,,,55,,
,2,,,,,,,,,56,,
,2,,,,,,,,,57,,
,1,1.0,1.0,,1.0,,,,1.0,58,,
,2,,,,,,,,,59,,
,1,,,,,,,,,60,,
,1,1.0,,,,,,,,61,,
,,,,,,,,,,62,,
,1,,,,,,,,,63,,
,1,,,,,,,,,64,,
,1,,,,,,,,,65,,
,,,,,,,,,,66,,
,,,,,,,,,,67,,
,2,,,,,,,,,68,,
,1,,,,,,,,,69,,
,2,,,,,,,,,70,,
,1,,,,,,,,,71,,
,1,,,,,,,,,72,,
,,,,,,,,,,73,,
,1,1.0,,,,1.0,1.0,,,74,,
,2,,,,,,,,,75,,
,1,1.0,,,,,,,,76,,
,2,,,,,,,,,77,,
,1,1.0,,,,,,,,78,,
,2,,,,,,,,,79,,
,2,,,,,,,,,80,,
,1,,,,,,,,,81,,
,2,,,,,,,,,82,,
,2,,,,,,,,,83,,
,1,,,,,,,,,84,,
,2,,,,,,,,,85,,
,2,,,,,,,,,86,,
,2,,,,,,,,,87,,
,,,,,,,,,,89,,
,2,,,,,,,,,90,,
,1,,,,,,,,,91,,
,2,,,,,,,,,92,,
,2,,,,,,,,,93,,
,2,,,,,,,,,94,,
,2,,,,,,,,,95,,
,2,,,,,,,,,96,,
,,,,,,,,,,97,,
,1,1.0,,,,,,,,98,,
,1,,,,,,,,,100,,
,,,,,,,,,,101,,
,,,,,,,,,,102,,
,,,,,,,,,,103,,
,,,,,,,,,,104,,
,2,,,,,,,,,105,,
,2,,,,,,,,,106,,
,1,,,,,,,,,107,,
,2,,,,,,,,,108,,
,1,,,,,,,,,109,,
,,,,,,,,,,110,,
,2,,,,,,,,,111,,
,2,,,,,,,,,112,,
,2,,,,,,,,,113,,
,2,,,,,,,,,114,,
,1,,,,,,,,,115,,
,1,1.0,,,,,,,,116,,
,2,,,,,,,,,117,,
,,1.0,,,,,,,,118,,
,2,,,,,,,,,119,,
,2,,,,,,,,,120,,
,2,,,,,,,,,121,,
,2,,,,,,,,,122,,
,2,,,,,,,,,123,,
,1,,,,,,,,,124,,
,1,,,,,,,,,125,,
,1,,,,,,,,,126,,
,,,,,,,,,,127,,
,1,1.0,,,,,1.0,,,128,,
,,,,,,,,,,129,,
,,,,,,,,,,130,,
