Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
,,,,1,,,1,1,,1,,
,,,,1,,,1,1,,2,,
,,,,1,,,1,1,,3,,
,,,,1,,,1,1,,4,,
,,,,1,,,1,1,,5,,
,,,,1,,,1,1,,6,,
,,,,1,,,1,1,,7,,
,,,,1,,,1,1,,8,,
,,,,1,,,1,1,,9,,
,,,,1,,,1,1,,10,,
,,,,1,,,1,1,,11,,
