Disease,Code,Library,Selected,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_UserGenerated_Oropouche,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Influenza a h5n1,715346008,SNOMED,,,,,,,,
Influenza aviária A H7N9/ H5N1/ H5N8/ H7N7,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,1.0,,,
Influenza indefinida,155559006,SNOMED,,,,,,,,
CoVID-19 (SARS-COV-2),840539006,SNOMED,,1.0,,,,,,
Dengue,38362002,SNOMED,,,1.0,,,,,
MPOX,359814004,SNOMED,1.0,,,1.0,,,,
Hepatite pediátrica aguda grave,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,
Nipah,406597005,SNOMED,,,,,,,,
JE,52947006,SNOMED,,,,,,,,
HSV,88594005,SNOMED,,,,,,,,
Infecção por vírus dos Andes (hantavírus),359761005,SNOMED,,,,,,,,
Febre hemorrágica argentina (vírus Junin),58868000,SNOMED,,,,,,,,
Febre Hemorrágica do Congo da Crimeia (CCHF),43489008,SNOMED,,,,,,,,
Doença do vírus Ebola (EVD),37109004,SNOMED,,,,,,,,
Febre lassa,19065005,SNOMED,,,,,,,,
Doença do vírus Lujo,721784007,SNOMED,,,,,,,,
Doença do vírus de Marburg (MVD),77503002,SNOMED,,,,,,,,
Síndrome respiratória do Oriente Médio (MERS),6.51E+11,SNOMED,,,,,,,,
Praga pneumônica (Yersinia pestis),38976008,SNOMED,,,,,,,,
Síndrome respiratória aguda grave (SARS-NOT COVID-19),398447004,SNOMED,,,,,,,,
Febre grave com síndrome de trombocitopaenia (SFTs),722401001,SNOMED,,,,,,,,
Exposição ao agente CBRN,,,,,,,,,,
Exposição a energia prejudicial,,,,,,,,,,
Enterovírus,53648006,SNOMED,,,,,,,,
Febre hemorrágica boliviana (vírus machupo),67247008,SNOMED,,,,,,,,
Oropoche,72880002,SNOMED,,,,,,1.0,,
