Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,presentación,,Número de identificación del participante (PIN):,,El número de identificación del paciente o el PIN es un número único utilizado para identificar los datos del paciente.,,,
inclu_disease,presentación,Criterios de inclusión,¿Cuál de los siguientes es el individuo sospechoso/confirmado que tiene?,,,,,
inclu_case,presentación,Criterios de inclusión,Estado del caso,"1, confirmado | 2, probable | 3, sospecha | 4, descartado | 5, error",,,,
inclu_pathreg,presentación,Criterios de inclusión,Región de infección,"1, endémico | 2, emergente | 99, desconocido",,,,
inclu_fever,presentación,Criterios de inclusión,¿El paciente ha informado/ midió fiebre (temperatura axilar> 38.5 ° C [101.3 ° F])?,"1, sí | 0, no",Se refiere a un paciente informado o una fiebre medida (temperatura axilar> 38.5 ° C [101.3 ° F]) en esta enfermedad actual.,"Indique 'sí', si el paciente cumple con este criterio de inclusión. Si 'no', entonces el paciente no cumple con los criterios de inclusión, no continúe con este formulario de informe de caso.",,
inclu_enceph,presentación,Criterios de inclusión,"¿El paciente tiene evidencia de patología cerebral aguda (por ejemplo, estado mental alterado, nuevas convulsiones de inicio o un nuevo déficit neurológico, ya sea difuso o localizado en el cerebro).","1, sí | 0, no","Se refiere a la presencia de patología cerebral aguda en esta enfermedad actual. Esto puede incluir el estado mental alterado, las nuevas convulsiones de inicio o el nuevo déficit neurológico, ya sea difuso o localizado en el cerebro, identificado por el clínico tratante.","Indique 'sí', si el paciente cumple con este criterio de inclusión. Si 'no', entonces el paciente no cumple con los criterios de inclusión, no continúe con este formulario de informe de caso.",,
inclu_iccddrpat,presentación,Criterios de inclusión,"El participante está inscrito en el Programa de Vigilancia NIV de ICDDR, B-IDIR.","1, sí | 0, no",Este es un requisito de inclusión en este estudio.,"Indique 'sí', si el paciente cumple con este criterio de inclusión. Si 'no', entonces el paciente no cumple con los criterios de inclusión, no continúe con este formulario de informe de caso.",,
inclu_mpox,presentación,Criterios de inclusión,MPOX sospechado o confirmado,"1, sí | 0, no","Consulte las definiciones de casos de la Organización Mundial de la Salud (OMS) o sus definiciones locales de casos de salud pública. 
La OMS defina un caso confirmado como: una persona con infección por el virus MPOX confirmada de laboratorio mediante la detección de secuencias únicas de ADN viral por reacción en cadena de polimerasa en tiempo real (PCR) y/o secuenciación.
El quién define un caso sospechoso como: 
i. Una persona que es un contacto de un caso MPOX probable o confirmado en los 21 días previos al inicio de signos o síntomas, y que presenta cualquiera de los siguientes: inicio agudo de fiebre (> 38.5 ° C), dolor de cabeza, mialgia (muscle dolor/dolor corporal), dolor de espalda, profunda debilidad o fatiga. 
O
II. Una persona que se presenta desde el 1 de enero de 2022 con una erupción aguda inexplicada de la piel, lesiones mucosas o mfadenopatía (ganglios linfáticos hinchados). La erupción cutánea puede incluir lesiones simples o múltiples en la región anogenital o en otra parte del cuerpo. Las lesiones mucosas pueden incluir lesiones orales o múltiples orales, conjuntivales, uretrales, de pene, vaginales o ano-rectales. Las lesiones ano-rectales también pueden manifestarse como inflamación ano-rectal (proctitis), dolor y/o sangrado.
Y
para lo cual las siguientes causas comunes de erupción aguda o lesiones cutáneas no explican completamente el panorama clínico: varicela zoster, herpes zoster, sarampión, herpes simple, infecciones bacterianas de la piel, infección por gonococcus diseminada, sífilis primaria o secundaria, ilancroide, linfogranuloma venereos, granuloma de granuloma Inguinale, molusco contagioso, reacción alérgica (por ejemplo, a plantas); y cualquier otra causa común localmente relevante de erupción papular o vesicular.",Indique 'sí' si el paciente cumple con las definiciones del caso para un caso MPOX sospechado o confirmado.,,
inclu_consent,presentación,Criterios de inclusión,El participante (o su representante legal) ha dado su consentimiento para participar en este estudio.,"1, sí | 0, no",,Indique 'sí' si el paciente o su representante legal han proporcionado su consentimiento informado para participar en este estudio.,,
inclu_consukops,presentación,Criterios de inclusión,Opciones de consentimiento <u> (seleccione todo a lo que el paciente estuvo de acuerdo) </u>:,"1, los datos y las muestras pueden usarse para otras investigaciones aprobadas éticamente no relacionadas en el Reino Unido o en otros lugares | 2, los datos y las muestras se pueden utilizar para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales | 3, los datos desidentificados y los resultados de los análisis, se pueden compartir con otros científicos, incluidos los de otros países | 4, los investigadores pueden ser contactados para ser invitados a ser invitados a participar en trabajos futuros, incluidos estudios de investigación.",,,,
inclu_cons,presentación,Criterios de inclusión,Consentimiento isarico,,,,,
inclu_cons_yn,presentación,Criterios de inclusión,El paciente acepta participar en este estudio de investigación,"1, sí | 0, no",,,,
inclu_cons_who,presentación,Criterios de inclusión,Consentimiento proporcionado por,"1, paciente | 2, padre/tutor | 3, consultor",,,,
inclu_cons_rsch,presentación,Criterios de inclusión,Uso futuro de los datos en la investigación aprobada éticamente,"1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_futgen,presentación,Criterios de inclusión,Uso futuro de datos genéticos,"1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_futsmpl,presentación,Criterios de inclusión,Uso futuro de muestras,"1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_nstudy,presentación,Criterios de inclusión,Contactado en el futuro para otros estudios,"1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_photo,presentación,Criterios de inclusión,"Estoy de acuerdo en que las fotografías digitales de partes relevantes de mi cuerpo pueden tomarse como parte de este estudio, y puedo negarme a tener áreas específicas de mi cuerpo fotografiadas.","1, sí | 0, no",,Esta es una pregunta de consentimiento opcional y no es necesario para completar el CRF restante.,,
inclu_cons_usage,presentación,Criterios de inclusión,Permito que el consentimiento opcional sea utilizado por,"1, otros investigadores | 2, entidades comerciales (excluyendo compañías de seguros)",,,,
exclu_othdiag,presentación,Criterios de exclusión,¿El paciente tiene un diagnóstico no infeccioso alternativo claro (ya sea un diagnóstico clínico o confirmado de laboratorio/imagen) que explica la presentación aguda?,"1, sí | 0, no",,"Indique 'sí', si hay un diagnóstico claro no infeccioso que explica esta presentación aguda. Si 'sí', el paciente cumple este criterio de exclusión, no continúe con este formulario de informe de caso.",,
dates_consent,presentación,Inicio y admisión,Fecha de consentimiento,,,Escriba la fecha en que se dio el consentimiento informado para la inclusión de los participantes en este estudio. Use el formato DD/MM/A yyyy.,,
dates_enrolment,presentación,Inicio y admisión,Fecha de inscripción / inicio de la recopilación de datos,,,Ingrese la fecha de la inscripción del estudio del paciente en el formato de día/mes/año (DD/mm/aaa yyyy).,,
dates_case,presentación,Inicio y admisión,El caso de la fecha se informó por primera vez,,,,,
dates_consult,presentación,Inicio y admisión,Fecha de la primera consulta clínica,,,,,
dates_hosp,presentación,Inicio y admisión,¿En qué hospital/comunidad se ha inscrito el participante?,,,Escriba el nombre del centro de salud o la comunidad en la que se inscribió el paciente.,,
dates_onsetdate,presentación,Inicio y admisión,Fecha de inicio del primer / primer síntoma,,Proporcione la fecha del inicio del paciente informado del primer síntoma que cree clínicamente estaba relacionado con este episodio de enfermedad.,Proporcione la fecha del primer síntoma que cree clínicamente estaba relacionado con este episodio de enfermedad en formato DD/MM/A yyyy.,,
dates_firstsym,presentación,Inicio y admisión,Primer síntoma (seleccione Múltiplo si se produce al mismo tiempo),,"Esto se refiere al primer síntoma, o síntomas (si se produjeron múltiples al mismo tiempo), que clínicamente cree que estaba relacionado con este episodio de enfermedad.","Seleccione la opción u opciones más apropiadas (si se produjo múltiples al mismo tiempo). Si 'otros síntomas sistémicos', especifique en el espacio a continuación.",,
dates_firstsymoth,presentación,Inicio y admisión,Especificar otros síntomas,,,"Especifique el primer síntoma o síntomas (si se produjeron múltiples al mismo tiempo), que clínicamente cree que estaba relacionado con este episodio de enfermedad.",,
dates_adm,presentación,Inicio y admisión,Ingresado en el hospital,"1, sí | 0, no | 99, desconocido",,"Indique 'sí', si ese paciente fue ingresado en su sitio.",,
dates_adm_reas,presentación,Inicio y admisión,Razón para la hospitalización,,,,,
dates_admdate,presentación,Inicio y admisión,Fecha de admisión al hospital,,,Ingrese la fecha de admisión a su sitio (en formato DD/mm/aaa yyyy).,,
dates_admtime,presentación,Inicio y admisión,Tiempo de ingreso hospitalario,,,Ingrese la hora de admisión a su sitio en formato las 24 horas (00:00 - 24:00 horas).,,
dates_recadm,presentación,Inicio y admisión,Fecha del ingreso hospitalario más reciente,,,Ingrese la fecha de admisión más reciente (en formato DD/mm/aaa yyyy).,,
dates_mpoxhist,presentación,Inicio y admisión,¿Historial de contacto con un caso MPOX sospechado o confirmado?,"1, sí | 0, no | 99, desconocido","Esto se refiere al paciente que tiene antecedentes de contacto con cualquier persona que se presente con síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechado o confirmado (por ejemplo, fluidos, objetos, ropa de cama, etc.).","¿Indica 'sí', si hay un historial de contacto con un caso MPOX sospechado o confirmado?",,
dates_contactid,presentación,Inicio y admisión,ID de contacto confirmado/sospechado,,,,,
dates_mpoxknown,presentación,Inicio y admisión,¿Conoce el participante la fecha de contacto con el caso sospechado o confirmado?,"1, sí | 0, no | 99, desconocido",,Indique 'sí' si se conoce la fecha de contacto.,,
dates_mpoxdate,presentación,Inicio y admisión,"En caso afirmativo, fecha de contacto:",,,Escriba la fecha de contacto con el caso MPOX sospechado o confirmado en formato DD/mm/aaa yyyy.,,
dates_mpoxexpo,presentación,Inicio y admisión,Tipo de exposición,"1, Contacto comunitario | 2, transmisión vertical | 3, Exposición a los trabajadores de la salud | 88, otro | 4, desconocido",Esto se refiere al modo de exposición a un caso sospechado o confirmado. El contacto con la comunidad se refiere al evento de exposición fuera del entorno de atención médica. La transmisión vertical se refiere a la transmisión de madre a hijo. La exposición a los trabajadores de la salud se refiere a un evento de exposición en un entorno de atención médica.,Seleccione todo lo que se aplique.,,
dates_mpoxexpo_oth,presentación,Inicio y admisión,Especificar otro tipo de exposición,,,,,
dates_setting,presentación,Inicio y admisión,Configuración de contacto,"1, hogar | 2, lugar de trabajo | 3, escuela/guardería | 4, atención médica | 5, fiesta | 6, bar/restaurante/pequeño evento | 7, gran evento | 8, gran evento con contacto sexual | 88, otro | 99, desconocido",,"""Party"" se refiere al contacto sexual en un club nocturno, una fiesta privada, sauna, etc. ""gran evento"" se refiere a festivales, eventos deportivos, etc.",,
dates_setting_oth,presentación,Inicio y admisión,Especificar otra configuración de contacto,,,,,
readm_prevadm,presentación,Readmisión y pin anterior,¿Fue el paciente admitido anteriormente o transferido de cualquier otra instalación durante este episodio de enfermedad?,"1, sí admitido previamente a esta instalación y descargada | 2, sí admitido a otras instalaciones y descargados | 3, sí admitido a otra instalación, luego transferido a esta instalación | 0, no | 99, desconocido",,,,
readm_prevsite,presentación,Readmisión y pin anterior,Nombre de la instalación de transferencia,,,Ingrese el nombre de la instalación desde la cual fue transferido al paciente.,,
readm_numprev,presentación,Readmisión y pin anterior,Número total de admisiones anteriores para esta infección,,"Esto se refiere al número de veces (para esta infección), el paciente ha sido ingresado en un centro de salud.",Escribe el número de admisiones hospitalarias anteriores.,,
readm_firstadmdt,presentación,Readmisión y pin anterior,Fecha de admisión más temprana para esta infección,,"Esto se refiere a la fecha de la primera admisión para esta enfermedad. Si el paciente fue primero ""ingresado a otra instalación, entonces se transfirió a esta instalación"" registra la fecha en que el paciente fue ingresado en la otra instalación.",Escriba la fecha en formato DD/mm/aaa yyyy.,,
readm_difpin,presentación,Readmisión y pin anterior,¿Se han recopilado previamente los datos del paciente bajo un número de identificación del paciente diferente?,"1, sí | 0, no | 99, desconocido",El número de identificación del paciente o el PIN es un número único utilizado para identificar los datos del paciente.,"Indique 'sí', si al paciente se le ha asignado previamente un número de identificación de participantes diferente.",,
readm_prevpin,presentación,Readmisión y pin anterior,Número de identificación del participante anterior (PIN),,,,,
readm_covid,presentación,Readmisión y pin anterior,¿El paciente está siendo readmitido o debido a Covid-19?,"1, sí | 0, no | 99, desconocido",,,,
demog_sex,presentación,Demografía,Sexo al nacer,"1, hombre | 2, mujer | 88, otro | 99, no especificado/desconocido",,,,
demog_sex_oth,presentación,Demografía,Especificar sexo al nacer,,,,,
demog_birthdate,presentación,Demografía,Fecha de nacimiento,,,Registre la fecha de nacimiento de los participantes en formato DD/mm/aaa yyyy.,,
demog_gender,presentación,Demografía,Género,"1, hombre | 2, mujer | 3, transgénero | 4, no binario | 88, otro | 99, desconocido",,,,
demog_gender_oth,presentación,Demografía,Especificar género,,,,,
demog_age,presentación,Demografía,Edad,,Esto se refiere a la edad del paciente.,"Ingrese el valor numérico para la edad del paciente, como un número entero. En la siguiente pregunta, especifique las unidades (años, meses o días). Para los participantes mayores de dos años, informe la edad en años. Para los niños menores de un año, informe en meses. Para neonatos, por debajo de la edad de un mes, informe en días.",,
demog_age_units,presentación,Demografía,Unidades de edad,"1, años | 2, meses | 3, días",,Seleccione la opción más apropiada para indicar unidades para la edad del paciente.,,
demog_height,presentación,Demografía,Altura (seleccionar unidades),,Estimación real o más cercana a la altura al momento de la admisión.,,,
demog_height_cm,presentación,Demografía,Altura (cm),,Estimación real o más cercana a la altura al momento de la admisión.,"Inijar la altura de los pacientes en centímetros (cm). Para niños menores de 2 años, use la longitud.",,
demog_height_in,presentación,Demografía,Altura (in),,Estimación real o más cercana a la altura al momento de la admisión.,"Indique la altura de los pacientes en pulgadas (in). Para niños menores de 2 años, use la longitud.",,
demog_weight,presentación,Demografía,Peso (unidades seleccionadas),,Estimación real o más cercana al peso al momento de la admisión.,,,
demog_weight_kg,presentación,Demografía,Peso (kg),,Estimación real o más cercana al peso al momento de la admisión.,Indique el peso de los pacientes en kilogramos (kg).,,
demog_weight_lb,presentación,Demografía,Peso (lb),,Estimación real o más cercana al peso al momento de la admisión.,Indique el peso de los pacientes en libras (LB).,,
