Condition,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Syndrome de détresse respiratoire aiguë (SDRA),67782005.0,SNOMED,1,,
Bactérimie,5758002.0,SNOMED,2,,
Infarctus du myocarde,22298006.0,SNOMED,3,,
Découverte neurologique,102957003.0,SNOMED,4,,
Pneumonie,233604007.0,SNOMED,5,,
Embolie pulmonaire,59282003.0,SNOMED,6,,
Choc septique,76571007.0,SNOMED,7,,
Trouble de coagulation acquis,234466008.0,SNOMED,8,,
Syndrome d'insuffisance rénale aiguë,14669001.0,SNOMED,9,,
Saignement,131148009.0,SNOMED,10,,
Arrêt cardiaque,410429000.0,SNOMED,11,,
Coup cardiombolique,413758000.0,SNOMED,12,,
Choc cardiogénique,89138009.0,SNOMED,13,,
Accident vasculaire cérébral,1.63717810001191e+16,SNOMED,14,,
Décompensation,87228002.0,SNOMED,15,,
Thrombose veineuse profonde,128053003.0,SNOMED,16,,
Coagulation intravasculaire disséminée (DIC),67406007.0,SNOMED,17,,
Empyème,312682007.0,SNOMED,18,,
Encéphalite,45170000.0,SNOMED,19,,
Accident vasculaire cérébral hémorragique,1078001000000100.0,SNOMED,20,,
Pneumonie acquise à l'hôpital,425464007.0,SNOMED,21,,
Encéphalopathie ischémique,389100007.0,SNOMED,22,,
Accident vasculaire cérébral,422504002.0,SNOMED,23,,
Grand foie,80515008.0,SNOMED,24,,
Méningite,7180009.0,SNOMED,25,,
Syndrome inflammatoire multisystème chez les adultes,1119306006.0,SNOMED,26,,
Syndrome inflammatoire multisystème chez les enfants,895448002.0,SNOMED,27,,
Pneumothorax,36118008.0,SNOMED,28,,
Saignement gastro-intestinal récurrent,307296008.0,SNOMED,29,,
Infection récurrente des voies urinaires,197927001.0,SNOMED,30,,
État septique,91302008.0,SNOMED,31,,
Coup thrombotique,371040005.0,SNOMED,32,,
Ischémie cérébrale transitoire,266257000.0,SNOMED,33,,
Hypotension transitoire,94501000000000.0,SNOMED,34,,
Pneumonie associée au ventilateur,429271009.0,SNOMED,35,,
